Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,531.29,10.16,541.45,122.93,93.68,-7.1,49.17,22.94,75.97,0.0,119.65,64.21,11.23,75.44,6.53,68.91,0.0,68.91,19.7,49.21,0.0,49.21,10.4,47.32,47.32,0.3,28.95,0.74,100.0,71.05
2013-03-31,589.13,16.64,605.77,128.53,166.34,-24.97,54.66,24.36,62.81,0.0,115.81,78.23,9.69,87.92,6.03,81.89,0.0,81.89,22.1,59.79,0.0,59.79,10.4,57.5,57.5,0.3,28.95,0.74,100.0,71.05
2013-06-30,600.07,14.9,614.97,113.83,129.09,25.09,59.18,21.65,72.37,0.0,137.3,56.46,12.91,69.37,5.74,63.63,-35.38,28.25,4.9,23.35,0.0,23.35,10.4,22.46,22.46,0.3,28.95,0.74,100.0,71.05
2013-09-30,590.56,12.93,603.49,131.24,109.71,2.64,54.87,20.97,71.7,0.0,146.62,65.74,4.82,70.56,13.93,56.63,0.0,56.63,18.38,38.25,0.0,38.25,10.4,36.78,36.78,0.3,28.95,0.74,100.0,71.05
2013-12-31,623.35,16.98,640.33,147.34,103.37,-6.78,55.43,22.68,75.88,0.0,132.08,110.33,2.53,112.86,4.51,108.35,0.0,108.35,37.61,70.74,0.0,70.74,10.4,68.02,68.02,0.3,28.95,0.74,100.0,71.05
2014-03-31,603.53,19.8,623.33,138.5,104.88,11.93,47.17,21.25,77.3,0.0,160.37,61.93,4.03,65.96,4.51,61.45,0.0,61.45,23.15,38.3,0.0,38.3,10.4,36.84,36.84,0.3,28.95,0.74,100.0,71.05
2014-06-30,683.29,15.55,698.84,142.86,150.25,-1.99,57.82,28.08,58.83,0.0,147.37,115.62,6.44,122.06,2.69,119.37,0.0,119.37,39.18,80.19,0.0,80.19,10.4,77.12,77.12,0.3,28.95,0.74,100.0,71.05
2014-09-30,553.78,16.14,569.92,132.48,133.77,-44.79,59.73,27.79,71.45,0.0,156.67,32.82,17.18,50.0,6.06,43.94,0.0,43.94,11.45,32.49,0.0,32.49,10.4,31.24,31.24,0.3,28.95,0.74,100.0,71.05
2014-12-31,521.0,16.58,537.58,139.23,95.32,-14.48,57.89,22.96,89.12,0.0,127.43,20.11,2.57,22.68,6.64,16.04,0.0,16.04,5.4,10.64,0.0,10.64,10.4,2.06,2.06,1.51,28.95,3.69,100.0,71.05
2015-03-31,762.95,21.12,784.07,157.15,180.19,4.09,73.25,23.43,96.74,0.0,156.03,93.19,2.61,95.8,3.75,92.05,0.0,92.05,32.29,59.76,0.0,59.76,10.4,11.49,11.49,1.48,28.51,3.72,100.0,71.49
2015-06-30,570.97,12.77,583.74,108.12,109.71,22.74,61.29,22.33,39.78,0.0,138.13,81.64,5.78,87.42,3.47,83.95,0.0,83.95,25.07,58.88,0.0,58.88,10.4,11.32,11.32,0.0,0.0,0.0,0.0,0.0
2015-09-30,566.41,14.31,580.72,125.08,127.96,-14.67,58.15,22.79,58.98,0.0,140.04,62.39,11.93,74.32,2.5,71.82,0.0,71.82,22.1,49.72,0.0,49.72,10.4,9.57,9.57,1.45,27.94,3.75,100.0,72.06
