Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,1086.41,1022.89,1075.46,986.45,684.22,746.99,818.87,767.64,900.54,1151.15,1387.5,1048.77,849.11,938.09,888.35,664.05,547.55,503.7,536.83,267.45,466.18,481.62,542.67,478.24,493.24,562.94,551.72,527.56,487.55,495.13,480.78,494.87,432.61,372.2,336.84,306.8,322.38,284.33,316.57,305.72,294.93,308.46,359.14,349.4,364.03,334.59,308.46,288.57,330.17,305.26
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.65,12.09,24.67,--,10.31,60.01,26.53,14.29,17.76,61.92,48.74,23.11,29.91,47.52,57.36,25.96,32.76
Total Income From Operations,1086.41,1022.89,1075.46,986.45,684.22,746.99,818.87,767.64,900.54,1151.15,1387.5,1048.77,849.11,938.09,888.35,664.05,547.55,503.7,536.83,267.45,466.18,481.62,542.67,478.24,493.24,562.94,551.72,527.56,487.55,495.13,480.78,494.87,432.61,385.85,348.93,331.47,322.38,294.64,376.58,332.25,309.22,326.22,421.06,398.14,387.14,364.5,355.98,345.93,356.13,338.02
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,643.93,719.95,597.52,517.43,502.56,459.34,449.59,504.59,580.57,765.59,805.81,791.5,560.66,670.75,606.08,520.27,440.3,363.68,359.36,199.34,298.91,299.21,302.61,287.88,313.28,326.86,342.25,306.96,319.92,362.8,302.78,293.44,298.29,279.62,272.34,261.6,225.88,202.57,199.12,201.43,182.58,228.52,268.01,263.3,275.73,243.49,248.2,216.98,213.14,219.46
Purchase of Traded Goods,--,0.36,2.15,36.75,-0.08,--,3.19,47.13,0.12,-3.07,6.57,103.91,--,-0.23,27.75,36.35,-0.72,0.97,0.21,0.11,0.24,0.33,0.21,0.19,0.35,-0.04,0.46,0.02,-6.18,8.63,4.88,0.48,0.07,0.13,0.2,18.28,0.91,0.09,0.33,0.4,0.64,0.99,0.89,0.87,0.88,1.06,0.88,0.88,0.88,1.08
Increase/Decrease in Stocks,86.41,-72.46,-11.03,-29.69,-3.98,7.58,48.27,-25.39,21.72,3.16,144.07,-172.94,54.25,-23.68,-42.21,-62.63,-39.63,-4.16,-25.6,-7.85,-7.38,-0.75,6.77,8.31,1.59,14.27,-0.84,-7.37,28.2,-23.18,-0.13,8.4,34.98,1.25,-27.06,-55.22,-10.83,5.22,-2.73,2.68,39.88,--,0.29,-14.04,-6.21,2.28,-34.95,-14.74,24.53,17.98
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,61.65,55.26,55.42,50.95,53.07,41.33,52.62,31.17,49.5,53.13,43.04,35.39,37.47,49.18,40.53,41.46,39.5,37.95,30.87,27.68,29.88,42.5,38.16,35.2,33.14,35.12,31.44,30.47,36.96,34.31,31.91,30.37,26.98,30.62,29.27,29.38,27.35,32.16,41.27,34.27,34.4,31.39,31.21,30.6,20.22,28.87,29.04,34.2,28.59,28.01
Depreciation,23.75,27.91,22.98,22.21,21.58,21.79,22.87,20.64,20.37,20.34,20.06,18.19,18.54,18.94,18.77,18.55,19.08,18.23,17.75,17.12,17.73,17.56,16.04,17.29,13.94,11.78,14.35,14.22,25.51,14.38,14.36,14.33,14.56,13.44,12.34,12.09,13.14,10.89,11.21,9.13,7.27,7.75,7.1,6.47,8.63,5.06,5.49,5.43,6.6,5.5
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,164.72,130.63,114.14,137.97,132.82,99.62,137.86,104.49,143.83,121.07,152.2,122.63,123.97,115.46,105.7,94.56,84.15,77.37,76.09,59.14,85.86,82.77,87.79,76.91,80.21,74.28,84.6,71.71,79.7,77.63,63.48,67.08,60.01,56.82,59.51,53.72,64.78,55.19,88.95,63.62,62.52,76.47,73.21,71.64,85.06,69.21,74.27,78.85,74.55,62.07
"P/L Before Other Inc. , Int., Excpt. Items & Tax",105.95,161.24,294.28,250.83,-21.75,117.33,104.47,85.01,84.43,190.93,215.75,150.09,54.22,107.67,131.73,15.49,4.87,9.66,78.15,-28.09,40.94,40.0,91.09,52.46,50.73,100.67,79.46,111.55,3.44,20.56,63.5,80.77,-2.28,3.97,2.33,11.62,1.15,-11.48,38.43,20.72,-18.07,-18.9,40.35,39.3,2.83,14.53,33.05,24.33,7.84,3.92
Other Income,25.68,28.04,35.17,31.36,23.67,13.74,29.31,28.09,17.69,12.91,25.02,13.38,20.71,14.47,12.46,26.97,19.42,17.22,18.75,8.66,14.09,20.69,13.52,13.58,12.29,9.81,18.69,9.06,10.0,7.85,7.35,8.23,20.33,6.5,13.23,6.82,14.57,2.54,3.82,20.99,15.0,6.96,9.97,5.69,4.56,4.05,18.2,13.96,11.4,8.09
"P/L Before Int., Excpt. Items & Tax",131.63,189.28,329.45,282.19,1.92,131.07,133.78,113.1,102.12,203.84,240.77,163.47,74.93,122.14,144.19,42.46,24.29,26.88,96.9,-19.43,55.03,60.69,104.61,66.04,63.02,110.48,98.15,120.61,13.44,28.41,70.85,89.0,18.05,10.47,15.56,18.44,15.72,-8.94,42.25,41.71,-3.07,-11.94,50.32,44.99,7.39,18.58,51.25,38.29,19.24,12.01
Interest,199.45,189.08,176.93,176.93,156.02,145.5,139.89,140.98,127.87,125.47,119.1,105.19,98.76,98.81,87.55,78.78,65.8,61.77,58.31,51.63,53.4,52.01,59.69,63.89,62.3,60.02,60.13,57.14,52.98,50.72,53.79,54.94,52.3,52.78,50.53,52.25,51.32,41.96,58.88,48.08,46.35,34.67,34.57,32.15,29.81,26.22,22.57,16.24,16.4,12.46
P/L Before Exceptional Items & Tax,-67.82,0.2,152.52,105.26,-154.1,-14.43,-6.11,-27.88,-25.75,78.37,121.67,58.28,-23.83,23.33,56.64,-36.32,-41.51,-34.89,38.59,-71.06,1.63,8.68,44.92,2.15,0.72,50.46,38.02,63.47,-39.54,-22.31,17.06,34.06,-34.25,-42.31,-34.97,-33.81,-35.6,-50.9,-16.63,-6.37,-49.42,-46.61,15.75,12.84,-22.42,-7.64,28.68,22.05,2.84,-0.45
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,-17.53,-49.04,2.56,--,--,--,1.27,--,-0.67,--,-11.94,-13.01,-243.79,--,--,--,0.61,266.77,--,--,--,--,--,--,-40.91,102.03,56.64,18.38,71.0,58.52,39.04,31.05,79.21,--,--,25.0,-2.32,136.76
P/L Before Tax,-67.82,0.2,152.52,105.26,-154.1,-14.43,-6.11,-27.88,-25.75,78.37,121.67,58.28,-41.36,-25.71,59.2,-36.32,-41.51,-34.89,39.86,-71.06,0.96,8.68,32.98,-10.86,-243.07,50.46,38.02,63.47,-38.93,244.46,17.06,34.06,-34.25,-42.31,-34.97,-33.81,-76.51,51.13,40.01,12.01,21.58,11.91,54.79,43.89,56.79,-7.64,28.68,47.05,0.52,136.31
Tax,0.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.06,--,--,--,-0.12,--,--,--,-0.07,--,--,--,9.25,6.0,--,--,-0.11,--,--,--,-10.64,1.71,1.36,--,-22.32,--,2.88,2.8,3.11,0.9,-1.16,2.34,-3.05,4.94
P/L After Tax from Ordinary Activities,-68.32,0.2,152.52,105.26,-154.1,-14.43,-6.11,-27.88,-25.75,78.37,121.67,58.28,-41.36,-25.71,59.2,-36.32,-41.45,-34.89,39.86,-71.06,1.08,8.68,32.98,-10.86,-243.0,50.46,38.02,63.47,-48.18,238.46,17.06,34.06,-34.14,-42.31,-34.97,-33.81,-65.87,49.42,38.65,12.01,43.9,11.91,51.91,41.09,53.68,-8.54,29.84,44.71,3.57,131.37
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,-68.32,0.2,152.52,105.26,-154.1,-14.43,-6.11,-27.88,-25.75,78.37,121.67,58.28,-41.36,-25.71,59.2,-36.32,-41.45,-34.89,39.86,-71.06,1.08,8.68,32.98,-10.86,-243.0,50.46,38.02,63.47,-48.18,238.46,17.06,34.06,-34.14,-42.31,-34.97,-33.81,-65.87,49.42,38.65,12.01,43.9,11.91,51.91,41.09,53.68,-8.54,29.84,44.71,3.57,131.37
Equity Share Capital,33.68,33.68,33.68,33.67,33.67,33.67,33.67,33.66,33.66,33.66,33.66,33.66,33.66,33.67,33.66,33.66,33.66,33.65,33.65,33.65,33.65,33.65,33.65,33.64,33.64,33.64,33.64,33.64,33.63,33.63,33.63,33.63,33.61,33.61,33.61,33.61,33.6,33.6,33.6,33.59,33.59,33.55,33.55,33.55,33.55,33.55,33.55,33.52,33.52,33.51
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,-2.03,0.01,4.53,3.13,-4.58,-0.43,-0.18,-0.83,-0.77,2.33,3.61,1.73,-1.23,-0.76,1.76,-1.08,-1.24,-1.04,1.18,-2.11,0.03,0.26,0.98,-0.32,-7.22,1.5,1.13,1.89,-1.43,7.09,0.51,1.01,-1.02,-1.26,-1.04,-1.01,-1.96,1.47,1.15,0.36,1.31,0.35,1.55,1.22,1.6,-0.25,0.89,1.33,0.11,4.01
Diluted EPS,-2.03,0.01,4.53,3.13,-4.58,-0.43,-0.18,-0.83,-0.76,2.33,3.61,1.73,-1.23,-0.76,1.76,-1.08,-1.24,-1.04,1.18,-2.11,0.03,0.26,0.98,-0.32,-7.22,1.5,1.13,1.89,-1.43,7.09,0.51,1.01,-1.01,-1.26,-1.04,-1.01,-1.96,1.46,1.15,0.36,1.31,0.35,1.55,1.22,1.59,-0.25,0.88,1.33,0.11,4.0
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.46,8.45,8.42,8.42,8.42,8.42,8.42,8.42,8.39,8.39,8.39
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25.17,25.17,25.11,25.11,25.11,25.11,25.11,25.11,25.04,25.04,25.02
