headline,link,date_str,parsed_date_iso,sentiment_score
"Who was Parmeshwar Godrej: The socialite, philanthropist wife of Adi Godrej; know about her lifestyle and her relationship with Pakistan’s Imran Khan",https://www.financialexpress.com/life/lifestyle-who-was-parmeshwar-godrej-the-socialite-philanthropist-wife-of-adi-godrej-know-about-her-lifestyle-and-her-relationship-with-pakistans-imran-khan-3247495/,2023-09-21T14:12:37+05:30,2023-09-21T08:42:37,0.0
Motilal Oswal’s top 10 Buy recommendations at this hour,https://www.financialexpress.com/market/motilal-oswals-top-10-buy-recommendations-at-this-hour-3837066/,2025-05-08T14:21:01+05:30,2025-05-08T08:51:01,0.2023
Bullish about FMCG revival in next 12-18 months: Sudhir Sitapati,https://www.financialexpress.com/business/industry/bullish-about-fmcg-revival-in-next-12-18-months-sudhir-sitapati/3836524/,2025-05-08T08:41:01+05:30,2025-05-08T03:11:01,0.0
"Godrej Consumer Q4 profit up, shares fall 3%: 3 reasons why",https://www.financialexpress.com/market/godrej-consumer-q4-profit-up-shares-fall-3-3-reasons-why-3836062/,2025-05-07T16:25:13+05:30,2025-05-07T10:55:13,0.6249
"Stocks To Watch: From Coforge, Swiggy, BSE to Godrej Consumer- Here are 8 stocks to watch",https://www.financialexpress.com/market/stocks-to-watch-from-coforge-swiggy-bse-to-godrej-consumer-here-are-8-stocks-to-watch-3835323/,2025-05-07T08:23:58+05:30,2025-05-07T02:53:58,0.0
"UBS says consumer sector in ‘sweet spot’; 7 top Buys include ITC, Trent, DMart",https://www.financialexpress.com/market/ubs-says-consumer-sector-in-sweet-spot-7-top-buys-include-itc-trent-dmart-3817748/,2025-04-22T11:17:42+05:30,2025-04-22T05:47:42,0.2023
Godrej Consumer shares surge 2.4%: 3 reasons why Nuvama expects 26% upside,https://www.financialexpress.com/market/godrej-consumer-shares-surge-2-4-3-reasons-why-nuvama-expects-26-upside-3802730/,2025-04-08T10:50:15+05:30,2025-04-08T05:20:15,0.296
2 stocks with declining promoter holding – time to be cautious?,https://www.financialexpress.com/market/stock-insights/2-stocks-with-declining-promoter-holding-time-to-be-cautious/3795943/,2025-04-02T06:00:00+05:30,2025-04-02T00:30:00,-0.1027
"PLI for leather, footwear at draft Cabinet note stage",https://www.financialexpress.com/business/industry/pli-for-leather-footwear-at-draft-cabinet-note-stage/3786131/,2025-03-24T05:09:08+05:30,2025-03-23T23:39:08,0.0
Larger Nifty upside yet to unfold. Here’s what to watch out for…,https://www.financialexpress.com/market/stock-insights-larger-nifty-upside-yet-to-unfold-heres-what-to-watch-out-for-3786035/,2025-03-24T05:00:00+05:30,2025-03-23T23:30:00,0.4019
Stocks To Watch: From Godrej Consumer to IndusInd Bank- Here’s a list of 7 stocks in news today,https://www.financialexpress.com/market/stocks-to-watch-godrej-consumer-products-indusind-bank-vodafone-idea-syngene-international-sun-pharmaceutical-icici-securities-adani-energy-solutions-3773850/,2025-03-11T07:27:08+05:30,2025-03-11T01:57:08,0.0
"Godrej Consumer opens Rs 515 crore Chennai plant, eyes Rs 2,000 crore revenue from new facility",https://www.financialexpress.com/business/industry-godrej-consumer-opens-rs-515-crore-chennai-plant-eyes-rs-2000-crore-revenue-from-new-facility-3773670/,2025-03-11T00:05:00+05:30,2025-03-10T18:35:00,0.0
Non-food items post steady rise in FMCG pie despite inflation,https://www.financialexpress.com/business/industry-non-food-items-post-steady-rise-in-fmcg-pie-despite-inflation-3764892/,2025-03-02T20:55:42+05:30,2025-03-02T15:25:42,0.0
"GCPL Q3 profit falls 14%, misses estimates",https://www.financialexpress.com/business/industry-gcpl-q3-profit-falls-14-misses-estimates-3725361/,2025-01-25T04:00:00+05:30,2025-01-24T22:30:00,0.25
Explained: Here’s why Godrej Consumer Product shares tanked 10% intra-day,https://www.financialexpress.com/market/explained-heres-why-godrej-consumer-product-shares-tanked-10-intra-day-3687560/,2024-12-09T12:30:21+05:30,2024-12-09T07:00:21,0.296
"A weak Q3 in making: Godrej Consumer Products raises red flag on margin, volume growth; Find out why",https://www.financialexpress.com/business/industry-a-weak-q3-in-making-godrej-consumer-products-raises-red-flag-on-margin-volume-growth-find-out-why-3687474/,2024-12-09T11:24:17+05:30,2024-12-09T05:54:17,-0.0772
"Godrej Consumer profit rises 13%, revenue up 2%",https://www.financialexpress.com/business/industry-godrej-consumer-profit-rises-13-revenue-up-2-3648929/,2024-10-24T22:18:02+05:30,2024-10-24T16:48:02,0.4404
Godrej Consumer plunges 4%; What ‘s the concern even as brokerages give a thumbs up to stock?,https://www.financialexpress.com/market/godrej-consumer-plunges-4-what-s-the-concern-even-as-brokerages-give-a-thumbs-up-to-stock-3577073/,2024-08-08T11:44:06+05:30,2024-08-08T06:14:06,0.0
"Godrej Consumer Products posts Q1 profit at Rs 450.69 crore, up 41.4%; announces entry into pet care business",https://www.financialexpress.com/business/industry-godrej-consumer-products-posts-q1-profit-at-rs-450-69-crore-up-414-announces-entry-into-pet-care-business-3576498/,2024-08-07T17:05:35+05:30,2024-08-07T11:35:35,0.7269
Nisa Godrej to Yashasvini Jindal: 10 lesser-known daughters of Indian billionaires making waves in the business world,https://www.financialexpress.com/life/lifestyle-nisa-godrej-to-yashasvini-jindal-10-lesser-known-daughters-of-indian-billionaires-making-waves-in-the-business-world-3485323/,2024-05-13T01:32:50+05:30,2024-05-12T20:02:50,0.0
Godrej Consumer Products Q4 Update: India organic business volume growth at high single digit,https://www.financialexpress.com/business/industry-godrej-consumer-products-q4-update-india-organic-business-volume-growth-at-high-single-digit-3447849/,2024-04-05T18:02:06+05:30,2024-04-05T12:32:06,0.3818
"Godrej Consumer Products Q3 Results: Profit up 6.4% at Rs 581.06 crore, revenue at Rs 3,659.64 crore",https://www.financialexpress.com/business/industry-godrej-consumer-products-q3-results-profit-up-6-4-at-rs-58106-crore-revenue-at-rs-365964-crore-3380277/,2024-01-31T18:04:01+05:30,2024-01-31T12:34:01,0.4404
"Godrej Consumer Products lists out strategies on devaluation of Argentine Peso, says overall impact on profitability remains minimal",https://www.financialexpress.com/business/industry-godrej-consumer-products-lists-out-strategies-on-devaluation-of-argentine-peso-says-overall-impact-on-profitability-remains-minimal-3363031/,2024-01-12T15:20:48+05:30,2024-01-12T09:50:48,0.2732
"Godrej Consumer Products Q2 profit rises 20.6% to Rs 432.77 crore, revenue up 6.2% on-year",https://www.financialexpress.com/business/industry-godrej-consumer-products-q2-profit-rises-20-6-to-rs-43277-crore-revenue-up-62-on-year-3294151/,2023-11-01T17:34:32+05:30,2023-11-01T12:04:32,0.4404
GCPL to invest Rs 515 cr to build new factory in Tamil Nadu,https://www.financialexpress.com/business/industry-gcpl-to-invest-rs-515-cr-to-build-new-factory-in-tamil-nadu-3206852/,2023-08-11T00:15:00+05:30,2023-08-10T18:45:00,0.0
"Godrej Consumer Products signs MoU with Tamil Nadu govt to establish manufacturing plant, to invest Rs 515 crore",https://www.financialexpress.com/business/industry-godrej-consumer-products-signs-mou-with-tamil-nadu-govt-to-establish-manufacturing-plant-to-invest-rs-515-crore-3206422/,2023-08-10T14:47:02+05:30,2023-08-10T09:17:02,0.0
Godrej Consumer Products stock tanks 2% after PAT falls 7.6% in Q1; should you buy or sell GCPL shares?,https://www.financialexpress.com/market/godrej-consumer-products-stock-tanks-2-after-pat-falls-7-6-in-q1-should-you-buy-or-sell-gcpl-shares-3203250/,2023-08-08T10:18:03+05:30,2023-08-08T04:48:03,0.296
Godrej Consumer Products Q1 profit down 7.6% at Rs 318.82 crore; Rs 900 crore capex approved,https://www.financialexpress.com/business/industry-godrej-consumer-products-q1-profit-down-7-6-at-rs-31882-crore-rs-900-crore-capex-approved-3203061/,2023-08-08T06:34:14+05:30,2023-08-08T01:04:14,0.6908
Godrej Consumer Products estimates double digit volume growth in India business in Q1FY24,https://www.financialexpress.com/business/industry-godrej-consumer-products-estimates-double-digit-volume-growth-in-india-business-in-q1fy24-3157921/,2023-07-06T07:36:28+05:30,2023-07-06T02:06:28,0.3818
Godrej Consumer Rating: Add | In fair value zone,https://www.financialexpress.com/market/godrej-consumer-rating-add-in-fair-value-zone-3154031/,2023-07-04T01:30:00+05:30,2023-07-03T20:00:00,0.5719
Godrej Consumer Products appoints Tata Motors’ Aasif Malbari as CFO,https://www.financialexpress.com/business/industry-godrej-consumer-products-appoints-tata-motors-aasif-malbari-as-cfo-3114771/,2023-06-05T21:54:54+05:30,2023-06-05T16:24:54,0.0
Rating: Buy; Godrej Consumer: Expect double-digit sales growth,https://www.financialexpress.com/market/rating-buy-godrej-consumer-expectdouble-digit-sales-growth-3087632/,2023-05-15T03:40:00+05:30,2023-05-14T22:10:00,0.3818
"Godrej Consumer Q4 net profit up 24.5% to Rs 452.11 cr, revenue up 9.6% to Rs 3,172.21 cr",https://www.financialexpress.com/business/industry-godrej-consumer-q4-net-profit-up-24-5-to-rs-45211-cr-revenue-up-96-to-rs-317221-cr-3082281/,2023-05-10T19:42:53+05:30,2023-05-10T14:12:53,0.4404
"Godrej Consumer may raise up to Rs 5,000 crore via NCDs",https://www.financialexpress.com/business/industry-godrej-consumer-may-raise-up-to-rs-5000-crore-via-ncds-3072076/,2023-05-03T01:55:00+05:30,2023-05-02T20:25:00,0.0
"Godrej Consumer Products acquires Raymond’s FMCG business for Rs 2,825 crore",https://www.financialexpress.com/market/godrej-consumer-products-acquires-raymonds-fmcg-business-for-rs-2825-crore-3065494/,2023-04-27T16:02:17+05:30,2023-04-27T10:32:17,0.0
"Unfazed by competition from Reliance, expect broad-based growth in FY24, says Godrej Consumer Products",https://www.financialexpress.com/business/industry-unfazed-by-competition-from-reliance-expect-broad-based-growth-in-fy24-says-godrej-consumer-products-3040539/,2023-04-10T10:31:25+05:30,2023-04-10T05:01:25,0.3818
"FMCG cos expect 5-15% surge in summer sales; which items sell the most, who will buy",https://www.financialexpress.com/business/industry-fmcg-cos-expects-5-15-surge-in-summer-sales-which-items-sell-the-most-who-will-buy-3016455/,2023-03-20T17:20:56+05:30,2023-03-20T11:50:56,0.0
Rating: buy; Godrej Consumer: Poised for growth,https://www.financialexpress.com/market/rating-buy-godrej-consumer-poised-for-growth-3001444/,2023-03-07T03:55:00+05:30,2023-03-06T22:25:00,0.5574
"FE Exclusive | Prevention methods of mosquito-borne diseases should not be worse than the problem: Sudhir Sitapati, MD & CEO, Godrej Consumer Products",https://www.financialexpress.com/business/healthcare-fe-exclusive-prevention-methods-of-mosquito-borne-diseases-should-not-be-worse-than-the-problem-sudhir-sitapati-md-ceo-godrej-consumer-products-2974459/,2023-02-07T19:56:57+05:30,2023-02-07T14:26:57,0.091
Godrej revamps its mosquito repellents; Launches affordable device and no-gas instant kill spray,https://www.financialexpress.com/business/healthcare-godrej-revamps-its-mosquito-repellents-launches-affordable-device-and-no-gas-instant-kill-spray-2974416/,2023-02-07T19:03:01+05:30,2023-02-07T13:33:01,-0.6908
Godrej Consumer profit rises 3.6% y-o-y on improved sales,https://www.financialexpress.com/business/industry-godrej-consumer-profit-rises-3-6-y-o-y-on-improved-sales-2966586/,2023-02-01T05:00:00+05:30,2023-01-31T23:30:00,0.7184
GCPL: On track for robust growth,https://www.financialexpress.com/market/gcpl-on-track-for-robust-growth-2940222/,2023-01-09T01:10:00+05:30,2023-01-08T19:40:00,0.6124
Godrej Consumer sees surge in sales in Q3,https://www.financialexpress.com/business/industry-godrej-consumer-sees-surge-in-sales-in-q3-2938247/,2023-01-06T02:04:00+05:30,2023-01-05T20:34:00,0.0
Godrej Consumer profit falls 25% to Rs 359 cr,https://www.financialexpress.com/business/industry-godrej-consumer-profit-falls-25-to-rs-359-cr-2792833/,2022-11-09T01:10:00+05:30,2022-11-08T19:40:00,0.4404
Godrej Appliances betting on premium products to drive more than 50% growth this festive season,https://www.financialexpress.com/business/industry-godrej-appliances-betting-on-premium-products-to-drive-more-than-50-growth-this-festive-season-2695151/,2022-09-29T13:28:14+05:30,2022-09-29T07:58:14,0.7479
Godrej Consumer may cut prices in festive season,https://www.financialexpress.com/business/industry-godrej-consumer-may-cut-prices-in-festive-season-2634020/,2022-08-18T22:09:00+05:30,2022-08-18T16:39:00,0.2263
"Inflation temporary, demand will bounce back, says GCPL’s Sudhir Sitapati",https://www.financialexpress.com/business/industry-inflation-temporary-demand-will-bounce-back-says-gcpls-sudhir-sitapati-2599510/,2022-07-20T05:50:00+05:30,2022-07-20T00:20:00,-0.128
Covid impact on discretionary spends bigger concern than inflation for FMCG firms: Godrej Consumer Products,https://www.financialexpress.com/business/industry-covid-impact-on-discretionary-spends-bigger-concern-than-inflation-for-fmcg-firms-godrej-consumer-products-2599177/,2022-07-19T18:19:30+05:30,2022-07-19T12:49:30,0.0
Godrej Appliances launches new InsuliCool for insulin storage,https://www.financialexpress.com/business/healthcare-godrej-appliances-launches-new-health-care-innovation-godrej-insulicool-for-insulin-storage-2591903/,2022-07-13T14:47:41+05:30,2022-07-13T09:17:41,0.0
"FMCG players not to reduce prices; focus on margin recovery, more ad spend",https://www.financialexpress.com/business/industry-fmcg-players-not-to-reduce-prices-focus-on-margin-recovery-more-ad-spend-2590510/,2022-07-12T01:15:00+05:30,2022-07-11T19:45:00,0.0
Godrej Consumer expects double-digit volume growth; To focus on category development and innovation,https://www.financialexpress.com/business/industry-godrej-consumer-expects-double-digit-volume-growth-to-focus-on-category-development-and-innovation-2590347/,2022-07-11T18:04:26+05:30,2022-07-11T12:34:26,0.6369
Godrej Consumer Q4 net profit declines marginally to Rs 363 crore,https://www.financialexpress.com/business/industry-godrej-consumer-q4-net-profit-declines-marginally-to-rs-363-crore-2531546/,2022-05-20T06:00:00+05:30,2022-05-20T00:30:00,0.4404
"Godrej Consumer Products Q3 net profit up 5% at 527.60 crore, net sales rise 8% to Rs 3,302.58 crore",https://www.financialexpress.com/business/industry-godrej-consumer-products-q3-net-profit-up-5-at-527-60-crore-net-sales-rise-8-to-rs-3302-58-crore-2428654/,2022-02-08T17:41:34+05:30,2022-02-08T12:11:34,0.4404
Analyst Corner: Godrej Consumers – Upgrade to ‘buy’ with revised TP of Rs 850,https://www.financialexpress.com/market/analyst-corner-godrej-consumers-upgrade-to-buy-with-revised-tp-of-rs-850-2252195/,2021-05-15T06:00:05+05:30,2021-05-15T00:30:05,0.0
"Godrej Consumer Products shares zoom 25% on HUL’s Sudhir Sitapati’s appointment as MD and CEO, Q4 results",https://www.financialexpress.com/market/godrej-consumer-products-shares-zoom-25-on-hul-hindustan-unilever-ltd-sudhir-sitapatis-appointment-as-md-and-ceo-q4-results-2250421/,2021-05-12T11:38:19+05:30,2021-05-12T06:08:19,0.296
HUL’s Sudhir Sitapati appointed MD & CEO of Godrej Consumer Products,https://www.financialexpress.com/business/industry-huls-sudhir-sitapati-appointed-md-ceo-of-godrej-consumer-products-2250179/,2021-05-12T01:15:55+05:30,2021-05-11T19:45:55,0.0
"Godrej Properties eyes Rs 32,500 crore bookings in FY26",https://www.financialexpress.com/business/industry-godrej-properties-eyes-rs-32500-crore-bookings-in-fy26-3830658/,2025-05-02T20:48:12+05:30,2025-05-02T15:18:12,0.0
