Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,64.36,34.25,98.6,0.0,0.0,3.2,0.89,62.69,31.82,19.12,50.95,19.0,31.95,31.95,4.16,27.8,27.8,78.05,0.0,3.56,3.56,1.95,25.01,5.85,100.0,74.99
2013-03-31,100.55,49.64,150.19,0.0,0.0,4.66,0.99,102.54,42.0,-3.76,38.24,-1.85,40.09,40.09,3.47,36.63,36.63,78.05,0.0,4.65,4.65,1.95,25.01,5.85,100.0,74.99
2013-06-30,81.57,27.57,109.14,0.0,0.0,5.0,1.01,83.53,19.59,17.97,37.57,23.39,14.18,14.18,0.1,14.08,14.08,78.05,0.0,1.8,1.8,1.95,25.02,5.85,100.0,74.98
2013-09-30,90.56,32.04,122.6,0.0,0.0,5.6,1.21,87.89,27.9,25.45,53.35,28.59,24.75,24.75,0.47,24.28,24.28,99.62,0.0,2.79,2.79,2.49,25.04,7.47,100.0,74.96
2013-12-31,42.47,32.29,74.76,0.0,0.0,5.49,1.3,48.61,19.35,34.14,53.49,35.0,18.49,18.49,0.14,18.36,18.36,99.62,0.0,0.92,0.92,4.99,25.04,14.93,100.0,74.95
2014-03-31,297.78,59.73,357.51,0.0,0.0,7.79,1.42,302.94,45.36,24.99,70.35,31.56,38.79,38.79,-2.14,40.93,40.93,99.62,0.0,2.05,2.05,4.99,25.04,14.93,100.0,74.96
2014-06-30,128.5,26.88,155.38,0.0,0.0,8.17,2.01,115.85,29.36,57.44,86.8,35.3,51.5,51.5,9.11,42.39,42.39,99.62,0.0,2.13,2.13,4.99,25.05,14.93,100.0,74.95
2014-09-30,127.54,13.4,140.94,0.0,0.0,8.55,1.96,91.76,38.67,43.19,81.86,37.64,44.22,44.22,2.84,41.37,41.37,99.67,0.0,2.08,2.07,5.0,25.08,14.93,100.0,74.92
2014-12-31,54.98,49.34,104.33,0.0,0.0,9.76,2.04,67.53,25.0,54.85,79.85,44.63,35.22,35.22,4.02,31.21,31.21,99.67,0.0,1.57,1.56,5.0,25.08,14.93,100.0,74.92
2015-03-31,92.44,23.6,116.04,0.0,0.0,8.74,2.69,98.38,6.23,46.53,52.76,39.97,12.79,12.79,-0.17,12.96,12.96,99.68,0.0,0.65,0.65,5.0,25.09,14.93,100.0,74.91
2015-06-30,40.8,44.57,85.37,0.0,0.0,12.18,3.08,56.99,13.12,52.02,65.14,46.76,18.38,18.38,1.59,16.79,16.79,99.68,0.0,0.84,0.84,5.0,25.09,14.93,100.0,74.91
