Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Raw Materials,Capital Goods,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,3.21,3.21,36.0,36.0,39.21,41.47,0.0,0.0,0.0,41.47,0.0,0.0,5.19,0.15,5.34,90.02,45.97,0.0,3.54,0.0,49.51,5.41,0.0,0.18,55.09,0.0,13.41,4.99,0.26,16.26,0.0,34.93,90.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,16.15,16.15,47.01,47.01,63.16,59.48,0.0,0.0,0.0,59.48,19.14,3.36,13.88,0.7,37.08,160.72,38.87,0.0,65.5,0.0,104.37,9.1,0.0,0.39,113.85,0.0,25.72,8.05,1.09,11.67,0.33,46.86,160.72,56.7,0.02,0.0,0.0,12.92,0.0,9.1,0.0,0.0,4.96,0.46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,16.15,16.15,81.37,81.37,97.52,105.6,0.0,0.0,0.0,105.6,55.5,10.95,6.6,3.95,77.0,280.12,141.88,0.0,47.08,0.0,188.96,9.36,0.0,0.87,199.19,0.0,42.2,15.95,3.12,18.1,1.55,80.93,280.12,172.7,0.05,0.0,0.0,12.92,0.0,9.36,0.0,0.0,7.09,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,24.84,24.84,180.27,180.27,205.11,224.75,0.0,0.0,0.0,224.75,52.74,18.72,15.84,8.99,96.28,526.15,262.86,0.0,103.19,0.0,366.05,20.57,0.0,0.01,386.63,0.0,71.1,23.45,12.03,32.64,0.29,139.52,526.15,152.46,0.4,0.0,5.25,12.92,0.0,20.57,0.0,0.0,0.0,13.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,28.07,28.07,356.01,356.01,384.08,224.52,0.0,0.0,0.0,224.52,59.69,37.88,17.37,13.97,128.9,740.73,383.73,0.0,12.74,0.0,396.47,31.97,0.0,0.0,428.44,0.0,166.04,47.51,63.41,35.33,0.0,312.29,740.73,231.32,2.19,0.0,1.45,12.92,0.0,31.97,0.0,0.0,0.0,0.53,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,28.07,28.07,405.16,405.16,433.23,254.74,0.0,0.0,0.0,254.74,77.03,44.09,11.47,18.48,151.06,842.26,379.97,0.0,171.39,0.0,551.36,23.01,0.0,0.0,574.37,0.0,134.81,30.28,41.01,40.22,21.57,267.89,842.26,386.05,0.0,0.0,0.0,12.92,0.0,44.58,0.0,0.0,15.24,44.34,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,28.07,28.07,451.59,451.59,479.66,318.83,0.0,0.0,0.0,318.83,72.67,39.67,38.26,18.6,169.2,967.69,580.58,0.0,60.17,0.0,640.74,52.14,0.0,0.0,692.89,0.0,158.64,35.84,13.67,47.26,19.4,274.8,967.69,172.6,0.13,0.0,0.0,12.92,0.0,51.24,0.0,0.0,0.17,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,31.76,31.76,527.37,527.37,559.12,383.62,0.0,1.63,1.1,386.34,175.93,55.74,93.37,17.76,342.79,1288.25,683.67,2.07,36.85,0.0,722.6,212.09,3.6,4.43,942.73,0.0,228.73,54.03,5.72,57.05,0.0,345.53,1288.25,69.81,0.31,0.67,0.0,12.92,61.4,182.54,0.0,0.0,20.28,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,31.76,31.76,597.09,597.09,628.84,410.77,0.0,31.8,1.38,443.96,171.04,97.55,118.34,22.89,409.82,1482.62,658.5,18.56,135.92,0.0,812.98,212.33,5.14,6.59,1037.04,0.0,262.26,82.14,39.14,62.04,0.0,445.58,1482.62,257.03,4.28,3.0,0.11,12.92,27.86,188.47,0.0,0.0,70.83,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,32.76,32.76,670.82,670.82,716.57,707.68,58.26,2.3,1.56,769.8,209.12,182.51,127.38,12.04,531.05,2017.43,671.92,18.81,412.39,0.0,1103.12,252.56,4.49,7.62,1367.8,0.0,272.86,102.25,31.99,242.52,0.0,649.63,2017.43,160.13,10.25,2.57,0.32,12.92,15.06,228.7,0.0,0.0,82.92,126.51,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
