Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,262.89,227.04,245.98,251.28,269.63,252.61,214.92,234.73,250.57,227.26,208.13,220.66,168.56,194.7,159.62,193.43,198.4,182.66,158.98,161.94,196.58,199.23,177.62,180.13,174.73,171.1,176.01,165.49,162.68,151.67,169.06,156.74,154.75,163.95,154.67,154.1,152.13,140.42,172.87,165.54,169.59,157.15,155.82,144.09,128.51,117.98,113.05,114.1,107.58,86.47
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.83,14.41,8.23,12.52,6.88,13.29,8.71,11.76,22.46,14.9,12.97,12.45,12.12,16.73,8.25,8.93,10.37,11.21,7.85
Total Income From Operations,262.89,227.04,245.98,251.28,269.63,252.61,214.92,234.73,250.57,227.26,208.13,220.66,168.56,194.7,159.62,193.43,198.4,182.66,158.98,161.94,196.58,199.23,177.62,180.13,174.73,171.1,176.01,165.49,162.68,151.67,169.06,174.57,169.16,172.18,167.19,160.99,165.42,149.13,184.63,188.0,184.49,170.12,168.27,156.2,145.24,126.24,121.99,124.47,118.79,94.33
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,23.86,21.21,20.77,19.35,20.0,19.85,19.93,16.53,18.83,19.22,20.0,17.48,21.23,17.15,18.04,16.82,18.75,15.33,16.25,14.15,14.4,13.65,14.5,15.03,14.53,15.2,14.93,13.69,13.1,13.02,13.08,11.84,11.24,12.47,12.87,7.48,12.83,13.82,12.97,12.25,11.84,11.37,13.13,13.15,9.84,11.19,10.88,10.14,9.53,9.05
Depreciation,30.7,29.14,29.05,28.93,29.18,28.8,28.7,27.57,29.61,28.94,30.03,30.73,31.81,33.33,33.41,33.46,33.27,33.59,33.13,33.84,33.27,32.74,31.61,31.04,27.52,27.29,26.99,26.73,25.09,25.31,26.44,25.95,27.49,27.99,25.09,24.69,24.95,22.72,24.01,16.19,16.27,16.35,17.08,17.39,16.8,14.92,15.09,13.98,13.82,13.7
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
