Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Other Long Term Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Trade/Other Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,29.38,29.38,352.46,352.46,381.84,34.86,103.79,93.37,78.76,5.95,25.13,203.21,688.83,334.86,0.0,17.57,0.0,352.44,14.07,0.0,0.67,369.47,0.0,122.86,145.29,4.74,46.48,0.0,319.36,688.83,3.6,13.16,0.68,273.86,0.0,0.0,14.07,0.0,68.93,0.0,77.54,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,29.38,29.38,384.93,384.93,414.31,38.55,167.32,129.91,97.69,6.4,25.03,259.04,840.67,370.21,0.0,44.54,0.0,414.76,28.86,0.0,0.4,446.67,0.0,154.38,158.79,2.38,78.45,0.0,394.0,840.67,103.31,12.86,0.95,247.37,1.12,0.0,28.86,0.0,128.76,0.0,98.56,0.0,6.12,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,29.38,29.38,424.61,424.61,454.0,51.0,353.77,222.17,136.54,8.94,27.98,395.63,1203.4,444.52,0.0,28.97,0.0,473.49,50.07,0.0,0.13,527.88,0.0,219.49,220.11,142.62,93.3,0.0,675.52,1203.4,118.21,17.23,1.22,323.81,5.84,0.0,50.07,0.0,302.76,0.0,131.52,0.0,14.33,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,29.38,29.38,564.81,564.81,594.19,67.56,373.9,275.46,170.64,11.75,19.01,476.85,1444.94,507.55,1.85,8.49,0.0,517.88,147.07,0.0,0.0,668.7,0.0,310.62,259.85,82.58,123.18,0.0,776.24,1444.94,111.84,20.42,1.62,472.97,10.56,0.0,147.07,0.0,306.34,0.0,190.02,0.0,16.66,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,30.22,30.22,667.69,667.69,697.91,72.41,308.14,237.31,208.87,10.51,63.99,520.68,1526.73,486.79,2.03,9.45,0.0,498.27,147.07,0.0,0.0,647.73,0.0,337.57,366.57,48.36,126.49,0.0,878.99,1526.73,90.65,28.49,3.67,635.27,9.69,0.0,147.07,0.0,235.73,0.0,228.72,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,30.22,30.22,984.19,984.19,1014.41,79.51,299.22,132.52,174.19,15.6,74.32,396.62,1714.24,487.6,2.06,13.97,0.0,503.62,166.42,0.0,0.0,686.78,0.0,530.63,199.91,144.09,152.82,0.0,1027.46,1714.24,83.31,24.39,3.67,588.11,13.3,0.0,166.42,0.0,219.72,0.0,293.12,0.0,0.0,16.74,0.0,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,34.3,34.3,1149.22,1149.22,1183.53,76.35,212.43,113.18,151.17,8.1,89.24,361.69,1757.64,462.96,2.97,19.55,0.0,485.48,252.76,0.0,0.0,740.82,0.0,576.46,250.59,75.57,114.2,0.0,1016.82,1757.64,112.37,16.13,4.55,519.17,4.02,0.0,252.76,0.0,136.08,0.0,294.41,0.0,2.94,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,39.08,39.08,1364.42,1364.42,1403.5,63.02,130.5,198.19,142.35,59.97,123.7,524.21,2058.2,440.2,0.8,95.03,0.0,536.03,91.85,21.19,0.1,649.18,180.93,759.82,285.54,30.14,128.77,23.83,1409.03,2058.2,208.37,18.43,5.31,581.96,5.27,0.0,71.64,180.93,66.98,0.5,359.92,4.45,20.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,39.08,39.08,1522.84,1522.84,1561.91,70.82,225.55,308.45,163.84,67.58,126.28,666.15,2453.62,542.7,0.6,126.66,0.0,669.96,205.07,9.0,0.07,884.1,128.41,854.91,375.29,11.12,163.83,35.95,1569.51,2453.62,126.74,24.14,3.35,873.5,35.83,37.57,170.96,128.41,153.27,1.46,441.08,7.83,33.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,39.08,39.08,1605.92,1605.92,1645.0,95.04,223.53,440.87,167.61,104.04,124.33,836.84,2705.36,658.93,0.97,2.53,0.14,662.57,109.33,7.71,0.04,779.65,236.41,977.7,509.6,6.02,175.78,20.2,1925.71,2705.36,87.38,37.68,3.35,729.14,5.07,0.0,109.33,236.41,126.75,1.74,514.32,7.48,1.17,0.0,13.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
