Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,8120.28,7623.33,6893.87,6767.51,6400.25,6442.02,6237.55,6645.83,6195.6,6745.24,7253.04,6376.39,5784.74,4933.03,3762.68,4394.25,3671.79,3438.24,1943.62,4312.5,4498.89,4797.44,5000.58,5352.27,5292.94,5118.45,4789.18,4605.55,4428.29,4037.27,2740.29,2876.13,2494.71,2488.65,2395.89,2542.87,2303.18,2119.72,1921.3,1701.59,1543.31,1582.28,1423.63,1528.35,1455.82,1405.52,1148.92,1376.48,1203.96,1334.48
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31.24,28.46,30.57,--,31.43,25.04,25.71,31.59,15.97,17.51,15.17,20.5,14.32,15.92,14.15,19.71,15.78,18.87
Total Income From Operations,8120.28,7623.33,6893.87,6767.51,6400.25,6442.02,6237.55,6645.83,6195.6,6745.24,7253.04,6376.39,5784.74,4933.03,3762.68,4394.25,3671.79,3438.24,1943.62,4312.5,4498.89,4797.44,5000.58,5352.27,5292.94,5118.45,4789.18,4605.55,4428.29,4037.27,2740.29,2876.13,2525.95,2517.11,2426.46,2542.87,2334.61,2144.76,1947.01,1733.18,1559.28,1599.79,1438.8,1548.85,1470.14,1421.44,1163.07,1396.19,1219.74,1353.35
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,3839.5,3749.25,3467.07,3003.99,3113.61,3059.59,3008.26,3246.93,2829.31,3277.49,3341.34,2994.47,2763.77,2210.08,1826.16,1804.06,1545.55,1563.4,853.88,2021.93,2196.5,2347.3,2480.96,2475.71,2554.7,2371.95,2163.0,1959.09,1961.74,1840.23,1364.78,1238.75,1196.61,1161.53,1083.38,1185.77,1131.01,1125.82,947.07,925.93,939.89,902.87,853.64,828.6,788.7,718.41,646.9,651.89,690.01,626.9
Purchase of Traded Goods,1057.86,785.91,681.67,618.45,362.07,219.43,225.72,233.36,43.02,92.53,97.31,52.07,53.37,23.13,24.34,10.89,21.85,66.57,77.07,45.05,120.07,68.04,77.69,23.22,117.2,66.92,60.0,38.58,79.56,47.89,4.45,17.13,13.56,10.15,18.84,2.73,17.94,13.79,6.12,17.81,1.57,0.57,1.15,2.65,1.08,2.12,0.95,--,--,0.96
Increase/Decrease in Stocks,-184.53,-305.27,-309.26,73.12,-138.88,118.12,-136.17,41.88,49.63,-251.23,-102.19,25.09,-276.62,109.95,-396.99,66.13,43.02,83.6,96.02,44.51,-15.3,-49.95,-143.28,176.87,-167.03,-63.66,-72.42,111.9,30.77,14.53,-105.33,148.86,-96.39,-10.64,53.64,70.15,-41.83,-87.26,52.11,66.13,-82.42,-22.13,-26.62,78.05,27.98,-11.35,-90.63,82.11,-91.15,50.41
Power & Fuel,1021.14,--,--,949.13,--,--,--,1086.28,--,--,--,1045.68,--,--,--,623.63,--,610.96,400.62,723.07,750.92,785.64,734.79,707.38,786.78,793.3,724.25,664.04,646.48,570.38,408.82,383.62,383.16,370.94,352.54,356.66,365.91,366.64,314.54,260.08,268.71,268.89,242.94,216.78,206.07,202.35,189.38,171.83,183.48,179.68
Employees Cost,689.68,652.73,589.62,488.25,586.92,533.08,536.76,530.49,519.35,503.51,470.14,476.59,455.13,432.49,410.09,434.56,357.78,309.44,310.63,416.79,406.63,403.86,392.97,425.05,383.46,356.52,346.51,343.59,318.57,301.75,178.82,186.46,172.79,164.2,154.55,158.12,163.56,154.83,140.83,140.14,117.13,116.77,108.21,81.95,96.38,104.36,96.19,96.5,99.4,89.25
Depreciation,421.08,405.78,348.57,339.01,296.45,291.85,287.75,300.45,275.51,266.19,255.14,282.94,221.76,207.48,201.78,214.51,200.19,215.26,212.64,222.71,212.33,208.51,203.22,197.43,192.78,187.44,182.74,185.27,165.79,166.36,110.25,113.27,110.61,111.9,110.36,125.78,123.25,100.64,95.2,84.34,62.86,62.44,52.91,63.52,54.68,52.97,48.44,45.11,39.51,38.62
