Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Share Capital Suspense,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Deferred Tax Assets [Net],Revaluation Reserves,Preference Share Capital,Money Received Against Share Warrants,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,91.67,91.67,3513.83,3519.14,0.0,3610.81,0.0,1710.75,686.36,0.0,0.0,2397.11,354.48,520.51,231.59,194.27,1300.85,7308.79,3116.61,0.0,79.09,0.0,3195.7,2540.65,0.0,0.0,5790.21,0.0,459.46,484.63,227.48,324.44,22.57,1518.58,7308.79,260.97,10.05,29.75,153.96,5.6,29.53,2494.62,1398.97,0.0,0.0,376.13,0.0,0.0,4.18,0.02,53.86,5.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,91.67,91.67,4231.96,4236.66,0.0,4328.33,0.0,1716.09,649.35,0.0,0.0,2365.44,292.25,597.81,230.08,280.41,1400.55,8094.34,3048.36,0.51,145.94,0.0,3194.81,2982.02,0.0,0.0,6226.68,0.0,678.59,522.01,86.7,566.63,13.73,1867.66,8094.34,325.98,9.14,43.89,155.09,5.86,29.53,2704.57,793.78,0.0,0.0,678.28,0.0,0.0,25.86,0.02,49.85,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,91.67,91.67,4886.11,4890.39,0.0,4982.06,0.0,1636.75,620.47,0.0,0.0,2257.22,342.92,740.96,228.19,304.22,1616.29,8855.59,3002.27,2.36,293.64,0.0,3298.27,3481.71,0.0,0.0,6816.07,0.0,750.73,413.45,155.58,707.0,12.76,2039.52,8855.59,645.36,14.09,56.29,194.15,6.15,29.53,5121.01,1274.82,0.0,0.0,652.97,0.0,0.0,15.22,0.02,36.09,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,91.67,91.67,6134.46,6138.35,0.0,6230.02,0.0,2544.85,629.21,0.0,0.0,3174.06,406.71,903.11,363.75,183.2,1856.77,11260.87,3379.83,10.61,1192.35,0.0,4582.79,4274.7,0.0,0.0,8904.15,0.0,824.14,576.48,116.38,825.39,14.33,2356.72,11260.87,3540.02,26.56,161.53,272.9,7.78,29.53,7329.31,1791.67,0.0,0.0,728.37,0.0,0.0,154.97,0.02,46.66,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,91.67,91.67,8045.42,8049.02,0.0,8140.69,0.0,2457.87,654.63,0.0,0.0,3112.5,744.0,1186.76,417.41,540.21,2888.38,14141.59,4000.78,22.73,3026.31,0.0,7049.82,4080.79,0.0,0.0,11178.37,0.0,978.44,711.98,127.47,1141.19,4.14,2963.22,14141.59,1188.35,39.66,217.81,377.81,9.05,29.53,8025.73,1480.97,0.0,0.0,836.2,0.0,0.0,558.82,0.02,47.76,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,91.67,91.67,9382.53,9385.89,0.0,9477.56,0.0,2921.22,916.62,0.0,0.0,3837.84,473.73,1249.17,437.76,590.88,2751.54,16066.96,7058.1,0.55,1248.27,0.0,8306.92,4609.1,0.0,0.0,12968.27,0.0,1378.24,559.93,113.38,1046.29,0.85,3098.69,16066.96,761.68,18.3,263.34,500.3,15.72,29.53,5035.7,1606.88,0.0,0.0,1297.71,0.0,0.0,232.63,0.02,52.25,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,91.68,91.68,7044.16,7044.16,0.0,7135.84,0.0,500.52,264.33,0.0,0.0,764.85,537.1,201.44,100.93,580.55,1420.02,9330.24,1778.64,7.42,42.98,0.0,1829.04,6324.79,0.0,0.0,8166.0,0.0,417.24,345.01,15.92,386.07,0.0,1164.24,9330.24,119.68,11.57,795.21,728.26,11.92,29.53,11129.18,3124.34,0.0,0.0,908.58,0.0,0.0,277.45,9.53,12.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,91.7,91.7,8042.02,8042.02,0.0,8133.72,0.01,487.82,229.82,9.83,37.19,764.66,61.92,223.53,401.53,421.23,1108.21,10006.6,1541.15,0.66,56.53,0.0,1598.34,3668.78,142.92,0.0,5410.04,3241.47,421.65,455.63,14.65,425.79,37.37,4596.56,10006.6,889.05,39.72,529.12,825.07,20.44,29.53,22128.31,415.06,3382.51,258.83,739.84,6.58,0.0,24.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,91.71,91.71,9007.67,9007.67,0.0,9099.38,0.01,567.34,239.24,12.12,39.04,857.74,63.0,295.05,290.06,430.83,1078.94,11036.07,1547.11,1.42,476.94,0.0,2025.47,4474.45,604.87,0.0,7104.79,2355.29,630.91,509.23,11.02,401.27,23.56,3931.28,11036.07,1912.68,27.99,795.51,1118.78,21.65,29.53,28770.78,768.13,2199.79,210.47,836.42,16.27,0.0,166.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,91.78,91.78,10030.07,10030.07,0.0,10121.85,0.01,980.92,343.91,12.91,43.44,1381.18,190.82,345.69,539.65,472.57,1548.73,13051.77,2070.25,1.71,2425.09,0.0,4497.05,4518.81,439.45,0.0,9455.31,1705.62,789.34,516.63,16.27,542.01,26.59,3596.46,13051.77,688.79,22.28,5.95,1263.14,21.34,29.53,34624.96,939.97,837.45,909.55,1150.83,18.01,0.0,637.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,91.83,91.83,10735.74,10735.74,0.0,10827.57,0.01,1004.38,462.0,14.66,42.31,1523.35,127.16,451.39,481.98,466.19,1526.72,13877.65,3545.66,2.08,1807.45,0.0,5355.19,4420.1,478.6,0.0,10253.89,1183.54,1212.27,613.79,26.3,551.49,36.37,3623.76,13877.65,806.82,14.38,5.94,1500.63,6.76,29.53,40668.36,994.2,1182.81,96.0,1802.63,48.62,0.0,175.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,91.87,91.87,11091.05,11091.05,0.0,11182.92,0.01,856.54,614.51,20.98,67.63,1559.66,74.2,628.93,485.71,435.78,1624.62,14367.21,5181.9,5.64,450.36,0.0,5637.9,4486.14,526.05,0.0,10650.09,864.2,1433.15,687.49,53.19,642.96,36.13,3717.12,14367.21,751.52,14.25,0.0,1605.41,3.18,29.53,53210.39,1033.34,850.74,100.0,2536.98,18.97,0.0,91.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,93.35,93.35,12277.15,12277.15,0.0,12370.5,0.01,633.33,959.41,23.39,73.73,1689.86,981.85,593.22,775.75,571.39,2922.21,16982.58,7016.68,19.36,317.65,0.0,7353.69,4632.59,802.26,0.0,12788.54,1054.83,1609.41,992.37,36.1,464.87,36.46,4194.04,16982.58,509.09,16.69,0.0,2214.89,2.75,29.53,57105.26,956.47,1092.2,75.46,2809.86,18.08,109.25,83.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,93.37,93.37,16116.82,16116.82,20.79,16230.98,0.0,383.68,662.98,32.19,7.6,1086.45,60.81,1113.93,1203.96,154.97,2533.67,19851.1,6857.98,28.83,375.48,0.0,7262.29,7424.09,141.8,90.69,14918.87,1572.33,1732.74,1189.55,52.74,50.55,334.32,4932.23,19851.1,403.67,0.0,0.0,0.0,0.0,29.53,70759.46,1290.87,12.81,1559.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,131.47,131.47,44635.58,44635.58,22.77,44789.82,0.01,853.16,1834.96,44.26,31.32,2763.7,1729.32,2131.79,1836.83,477.39,6175.33,53728.86,9539.69,1276.87,745.11,0.0,11561.67,33586.74,138.32,305.21,45591.94,1959.85,2591.66,2609.32,41.88,84.9,849.31,8136.92,53728.86,1118.02,5879.22,0.0,0.0,2987.27,29.53,95736.73,1772.63,78.47,1881.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,131.52,131.52,41797.82,41797.82,29.84,41959.18,0.01,1055.11,1878.88,66.24,30.73,3030.96,1848.48,2373.83,2170.07,430.66,6823.04,51813.19,10053.14,1179.1,1567.2,0.0,12799.44,28161.62,140.93,318.66,41420.65,2965.95,2931.66,3484.07,42.47,118.28,850.11,10392.54,51813.19,11555.87,6327.35,0.0,0.0,2890.3,29.53,84550.57,1982.0,989.63,1976.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,131.56,131.56,37507.37,37507.37,52.66,37691.59,0.01,2714.18,1405.16,169.16,29.55,4318.05,2205.57,2690.33,2141.33,532.06,7569.29,49578.94,11081.01,1153.34,2793.17,0.0,15027.52,25771.74,219.25,251.06,41269.57,1770.4,2657.27,2927.39,78.96,125.35,750.0,8309.37,49578.94,9520.71,2593.44,0.0,0.0,6390.6,29.53,3277.1,798.65,251.99,1518.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,131.61,131.61,42759.53,42759.53,56.71,42947.85,0.01,3089.46,1733.94,166.99,37.55,5027.94,921.65,2706.89,2808.46,287.36,6724.36,54700.16,10020.48,946.02,4033.43,0.0,14999.93,30627.71,227.46,206.83,46061.93,3012.02,2178.99,1312.03,132.69,103.8,1898.7,8638.23,54700.16,9449.99,4248.46,0.0,0.0,1929.46,29.53,7981.58,889.29,346.0,2666.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,131.66,131.66,48413.3,48413.3,70.82,48615.78,0.01,3034.49,1841.38,130.4,54.87,5061.14,1086.28,4650.73,2935.23,287.05,8959.29,62636.22,13958.74,898.96,1740.14,2.65,16600.49,33941.79,9.14,577.01,51128.43,4748.98,3940.84,1690.42,225.33,26.44,875.78,11507.79,62636.22,19902.27,8764.83,0.0,0.0,3107.21,29.53,11319.62,766.61,351.93,4397.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,131.69,131.69,46726.01,46726.01,97.23,46954.93,0.01,4273.23,1534.8,92.06,64.23,5964.32,981.0,4711.2,3243.26,322.39,9257.85,62177.11,15399.1,820.53,2919.09,6.6,19145.32,30841.15,100.31,1370.77,51457.55,3055.63,4492.78,1597.26,474.37,3.68,1095.84,10719.56,62177.11,5145.96,10715.45,0.0,0.0,3206.6,29.53,7741.46,799.66,389.09,2666.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,132.8,132.8,51861.77,51861.77,120.02,52114.59,0.0,7392.24,2297.09,249.5,74.06,10012.89,2060.67,5482.63,3702.57,764.4,12010.27,74137.75,16348.84,756.33,7115.64,15.31,24236.12,36291.78,90.94,918.54,61537.38,2920.39,5215.04,1974.31,309.59,163.51,2017.53,12600.37,74137.75,2640.27,11395.81,0.0,0.0,2927.42,29.53,11465.8,1657.13,169.18,2751.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
