Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,687.67,679.87,671.98,688.55,677.84,651.64,658.5,656.18,615.66,550.76,577.74,615.97,555.97,499.66,509.26,434.43,505.35,453.46,434.96,228.79,355.89,397.07,384.24,402.74,395.12,379.85,405.96,371.06,375.37,355.57,338.04,328.86,318.72,304.57,303.54,301.33,314.22,274.7,275.99,286.91,290.04,271.55,282.26,249.08,237.47,220.98,225.14,215.78,226.28,233.38
Other Operating Income,3.56,3.35,--,2.39,3.61,--,--,3.91,--,4.01,4.59,--,--,--,3.15,3.15,2.16,3.74,2.84,1.61,1.79,3.24,3.66,3.72,3.66,7.13,1.87,2.2,2.2,1.79,1.81,1.74,2.35,2.95,1.2,1.77,1.56,1.5,1.53,2.04,1.4,2.3,1.95,11.81,11.05,10.87,11.36,8.96,8.06,8.63
Total Income From Operations,691.23,683.21,671.98,690.94,681.45,651.64,658.5,660.09,615.66,554.77,582.33,615.97,555.97,499.66,512.41,437.58,507.51,457.2,437.8,230.4,357.68,400.31,387.9,406.46,398.78,386.98,407.83,373.26,377.57,357.36,339.85,330.6,321.07,307.52,304.74,303.1,315.78,276.2,277.52,288.95,291.44,273.85,284.21,260.89,248.52,231.85,236.5,224.74,234.34,242.01
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,215.98,218.93,223.61,221.34,215.62,206.36,216.78,234.48,183.86,225.28,213.92,221.38,166.31,177.02,189.82,178.02,143.55,169.65,143.97,78.45,146.53,137.35,150.17,173.07,160.48,168.51,164.5,153.99,140.41,135.36,120.36,134.9,105.13,127.8,119.37,120.73,119.3,106.09,113.44,104.33,111.61,110.01,108.01,98.46,98.22,93.19,96.89,81.58,87.98,89.86
Purchase of Traded Goods,82.2,84.69,89.1,90.89,89.7,79.0,89.69,74.92,68.26,49.09,72.33,77.4,77.68,62.2,60.13,58.54,78.62,35.49,26.07,25.12,22.95,28.26,38.83,32.33,33.35,23.25,30.87,21.65,21.18,31.98,28.37,24.88,18.98,30.91,25.93,23.86,23.6,24.07,19.02,19.48,19.8,20.91,19.28,23.88,18.94,24.82,15.66,17.13,13.7,14.7
Increase/Decrease in Stocks,22.0,15.03,-13.39,3.36,3.34,4.46,-8.54,-8.88,24.04,-23.15,-14.3,-11.81,-7.06,-9.67,-10.19,-45.13,-0.05,-4.32,36.04,-0.12,-3.43,20.8,-5.5,-11.58,-7.15,-8.8,-0.43,-12.69,16.01,-6.65,6.9,-10.94,21.76,-15.27,-3.66,-1.63,0.3,-4.38,-9.67,-0.35,-3.56,-6.63,4.26,-3.09,0.33,-13.32,-5.44,4.55,9.99,-6.67
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.33,18.06,18.45,16.01,15.07,9.0,14.55,22.89,14.58,14.51,16.28,14.97,16.22,15.65,12.58,12.47,13.63,12.95,11.33,11.21,10.01,10.44,9.53,9.91,15.37,16.34,15.2,15.73,14.8,14.76,14.85,15.86,15.0,12.07,13.69,16.86
Employees Cost,81.63,81.44,81.75,88.96,89.02,77.49,77.47,78.93,77.55,64.71,65.53,66.1,67.61,62.17,61.38,56.96,56.32,53.85,50.3,44.95,53.51,46.48,50.9,50.92,46.16,46.71,48.44,48.24,37.22,44.73,46.31,46.0,45.12,43.84,40.67,38.54,39.76,37.99,37.03,35.76,35.18,30.97,33.32,31.13,28.98,27.93,27.1,28.11,27.45,26.22
Depreciation,24.05,22.85,22.18,20.83,18.91,16.99,16.52,16.41,13.64,14.31,14.08,12.83,12.68,12.42,12.75,13.39,13.25,13.32,13.29,12.03,13.7,13.86,13.6,13.5,10.62,10.79,10.58,10.23,10.43,11.05,10.43,10.27,10.79,9.68,9.71,9.65,9.65,8.88,8.95,8.72,8.96,8.44,9.45,8.49,6.8,6.83,6.46,5.85,5.59,5.3
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,166.56,164.55,165.56,155.84,158.94,157.35,153.24,146.84,135.49,126.18,129.99,137.5,129.0,118.64,91.08,82.96,96.63,87.83,74.48,53.75,65.95,80.75,75.87,79.52,86.05,81.22,80.03,80.22,79.9,77.51,69.15,73.84,69.21,67.61,69.73,64.08,74.68,65.46,63.31,71.41,68.92,61.57,64.19,56.57,53.32,52.87,55.01,46.5,46.59,64.68
"P/L Before Other Inc. , Int., Excpt. Items & Tax",98.82,95.72,103.17,109.72,105.92,109.99,113.34,117.39,112.82,98.35,100.78,112.57,109.75,76.88,89.11,74.78,100.74,85.37,78.58,7.22,43.92,49.92,49.45,54.19,52.99,50.33,57.62,55.97,59.84,50.91,44.7,38.7,38.75,31.74,32.98,37.43,38.96,28.18,30.07,33.26,35.33,32.85,30.9,30.69,27.08,23.67,25.82,28.95,29.35,31.06
Other Income,22.74,17.95,23.4,15.77,17.29,13.83,22.59,14.6,21.45,4.03,14.96,10.88,11.53,17.21,10.09,14.23,12.44,4.94,7.61,25.98,14.0,9.55,10.75,11.87,11.17,11.69,5.48,9.33,6.86,7.37,8.24,6.54,8.4,9.42,8.87,6.25,5.82,4.8,7.0,5.22,5.3,4.11,5.91,4.69,4.99,3.49,3.81,2.5,3.98,3.25
"P/L Before Int., Excpt. Items & Tax",121.56,113.67,126.57,125.49,123.21,123.82,135.93,131.99,134.27,102.38,115.74,123.45,121.28,94.09,99.2,89.01,113.18,90.31,86.19,33.2,57.92,59.47,60.2,66.06,64.16,62.02,63.1,65.3,66.7,58.28,52.94,45.24,47.15,41.16,41.85,43.68,44.78,32.98,37.07,38.48,40.63,36.96,36.81,35.38,32.07,27.16,29.63,31.45,33.33,34.31
Interest,2.32,1.93,2.11,2.29,1.67,1.72,1.6,1.93,1.53,3.92,0.82,0.39,2.0,0.8,0.65,0.51,1.04,0.78,0.66,0.76,1.43,0.96,0.86,1.03,0.67,0.35,0.22,0.24,0.26,0.26,0.25,0.28,0.57,0.19,0.12,0.23,0.16,0.18,0.14,0.16,0.22,0.12,0.16,0.05,0.09,0.12,0.15,0.08,0.19,0.18
P/L Before Exceptional Items & Tax,119.25,111.74,124.46,123.2,121.54,122.1,134.33,130.06,132.74,98.46,114.92,123.06,119.28,93.29,98.55,88.5,112.14,89.53,85.53,32.44,56.49,58.51,59.34,65.03,63.49,61.67,62.88,65.06,66.44,58.02,52.69,44.96,46.58,40.97,41.73,43.45,44.62,32.8,36.93,38.32,40.41,36.84,36.65,35.33,31.98,27.04,29.48,31.37,33.14,34.13
Exceptional Items,--,--,--,--,--,--,-3.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,119.25,111.74,124.46,123.2,121.54,122.1,131.13,130.06,132.74,98.46,114.92,123.06,119.28,93.29,98.55,88.5,112.14,89.53,85.53,32.44,56.49,58.51,59.34,65.03,63.49,61.67,62.88,65.06,66.44,58.02,52.69,44.96,46.58,40.97,41.73,43.45,44.62,32.8,36.93,38.32,40.41,36.84,36.65,35.33,31.98,27.04,29.48,31.37,33.14,34.13
Tax,27.92,28.18,30.42,31.29,28.04,30.01,33.1,32.96,33.86,24.96,28.17,31.5,30.58,23.14,25.24,22.66,29.08,22.66,21.87,3.95,11.83,14.18,7.5,22.91,22.74,21.02,22.89,22.61,22.75,18.64,17.82,15.74,13.83,14.38,13.25,15.27,15.5,10.82,12.18,12.65,13.38,11.76,11.58,11.49,10.23,8.5,9.16,9.66,7.77,10.07
P/L After Tax from Ordinary Activities,91.33,83.55,94.04,91.91,93.5,92.09,98.03,97.1,98.88,73.5,86.75,91.56,88.7,70.15,73.31,65.84,83.06,66.87,63.66,28.49,44.66,44.33,51.84,42.12,40.75,40.65,39.99,42.45,43.69,39.38,34.87,29.22,32.75,26.59,28.48,28.18,29.12,21.98,24.75,25.67,27.03,25.08,25.07,23.84,21.75,18.54,20.32,21.71,25.37,24.06
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,91.33,83.55,94.04,91.91,93.5,92.09,98.03,97.1,98.88,73.5,86.75,91.56,88.7,70.15,73.31,65.84,83.06,66.87,63.66,28.49,44.66,44.33,51.84,42.12,40.75,40.65,39.99,42.45,43.69,39.38,34.87,29.22,32.75,26.59,28.48,28.18,29.12,21.98,24.75,25.67,27.03,25.08,25.07,23.84,21.75,18.54,20.32,21.71,25.37,24.06
