Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17
Net Sales/Income from operations,1642.04,1271.01,1152.92,1009.72,1015.73,923.1,897.91,755.9,601.17,699.15,682.01,579.77,544.61,486.88,421.83,304.19,398.83,359.6,272.44,109.96,456.69,369.63,439.02,167.96,489.21,488.59,217.7,187.18,627.38,225.99
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1642.04,1271.01,1152.92,1009.72,1015.73,923.1,897.91,755.9,601.17,699.15,682.01,579.77,544.61,486.88,421.83,304.19,398.83,359.6,272.44,109.96,456.69,369.63,439.02,167.96,489.21,488.59,217.7,187.18,627.38,225.99
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1044.54,874.42,807.2,598.53,466.06,545.98,602.9,445.43,331.51,432.91,357.3,373.53,309.59,266.76,198.54,160.31,144.16,162.37,107.05,33.66,185.17,184.69,258.64,63.2,262.07,276.39,77.58,64.33,341.37,84.58
Purchase of Traded Goods,102.31,23.33,28.61,116.98,137.72,21.39,36.7,1.26,28.63,6.11,71.64,5.73,0.01,0.01,1.18,7.17,3.18,3.75,8.3,8.69,28.86,17.89,3.58,3.94,35.96,17.44,18.9,19.77,79.5,22.23
Increase/Decrease in Stocks,-40.38,16.94,-3.52,-33.57,3.89,-1.62,-23.27,14.94,3.72,-3.73,1.49,3.24,-2.27,1.74,-0.03,0.94,0.21,3.28,4.46,3.37,-0.32,-1.51,-2.9,-19.46,-6.17,-6.64,4.07,-0.43,1.47,-3.42
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,97.28,90.77,82.51,90.28,94.4,86.26,82.88,85.4,83.2,78.24,75.59,79.87,82.17,63.27,69.91,67.35,76.32,75.75,53.35,63.96,73.4,75.29,78.82,69.43,72.14,79.82,72.69,70.29,66.75,81.96
Depreciation,10.01,11.34,10.71,10.44,10.41,10.44,10.35,10.13,10.02,9.92,9.75,9.47,9.65,9.86,8.83,7.38,7.77,7.7,5.97,7.65,7.89,7.49,7.76,6.95,6.66,6.77,6.77,6.89,7.62,7.05
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,217.31,190.25,169.38,181.25,223.09,222.38,149.94,162.81,133.66,138.75,127.74,83.93,122.48,103.11,97.31,66.42,137.41,72.89,65.91,40.69,135.06,94.48,85.73,58.92,94.09,80.49,56.46,61.89,103.0,55.43
"P/L Before Other Inc. , Int., Excpt. Items & Tax",210.97,63.96,58.03,45.81,80.15,38.28,38.42,35.93,10.42,36.94,38.51,24.0,22.99,42.12,46.09,-5.38,29.77,33.87,27.41,-48.07,26.61,-8.69,7.41,-15.02,24.45,34.31,-18.78,-35.56,27.67,-21.85
Other Income,113.94,72.12,74.91,73.87,75.92,81.51,71.55,70.64,69.92,50.24,40.82,40.85,40.39,43.83,36.21,39.83,50.93,39.34,47.36,49.96,52.79,51.24,70.06,51.4,49.96,41.5,36.92,42.85,62.14,35.8
"P/L Before Int., Excpt. Items & Tax",324.91,136.08,132.94,119.68,156.07,119.8,109.97,106.57,80.34,87.17,79.33,64.86,63.38,85.95,82.3,34.45,80.71,73.21,74.76,1.89,79.41,42.55,77.47,36.38,74.42,75.81,18.15,7.29,89.81,13.95
Interest,1.36,2.31,2.41,4.24,3.26,1.13,2.48,4.63,4.04,1.27,0.55,0.61,0.19,0.0,0.65,0.31,2.17,0.24,0.17,0.12,-0.35,1.09,0.46,0.14,1.38,2.38,0.96,0.39,4.37,1.37
P/L Before Exceptional Items & Tax,323.55,133.76,130.53,115.44,152.82,118.67,107.49,101.94,76.3,85.9,78.78,64.24,63.19,85.95,81.65,34.14,78.54,72.97,74.59,1.76,79.76,41.46,77.01,36.24,73.03,73.43,17.19,6.89,85.44,12.58
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-7.69,--,--,-20.75,--,-10.61,--,--,--,-0.02,-2.18,--,--,--,--
