Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2017-12-31,225.99,225.99,84.58,22.23,-3.42,81.96,7.05,55.43,-21.85,35.8,13.95,1.37,12.58,0.0,12.58,7.31,5.27,5.27,114.55,0.0,0.46,0.46
2018-03-31,627.38,627.38,341.37,79.5,1.47,66.75,7.62,103.0,27.67,62.14,89.81,4.37,85.44,0.0,85.44,21.97,63.47,63.47,114.55,901.39,0.0,0.0
2018-06-30,187.18,187.18,64.33,19.77,-0.43,70.29,6.89,61.89,-35.56,42.85,7.29,0.39,6.89,0.0,6.89,1.87,5.03,5.03,114.55,0.0,0.0,0.0
2018-09-30,217.7,217.7,77.58,18.9,4.07,72.69,6.77,56.46,-18.78,36.92,18.15,0.96,17.19,0.0,17.19,4.41,12.78,12.78,114.55,0.0,0.0,1.12
2018-12-31,488.59,488.59,276.39,17.44,-6.64,79.82,6.77,80.49,34.31,41.5,75.81,2.38,73.43,-2.18,71.25,26.35,44.91,44.91,114.55,0.0,3.92,3.92
2019-03-31,489.21,489.21,262.07,35.96,-6.17,72.14,6.66,94.09,24.45,49.96,74.42,1.38,73.03,-0.02,73.01,39.39,33.62,33.62,114.55,0.0,2.94,2.94
2019-06-30,167.96,167.96,63.2,3.94,-19.46,69.43,6.95,58.92,-15.02,51.4,36.38,0.14,36.24,0.0,36.24,10.97,25.28,25.28,114.55,0.0,2.21,2.21
2019-09-30,439.02,439.02,258.64,3.58,-2.9,78.82,7.76,85.73,7.41,70.06,77.47,0.46,77.01,0.0,77.01,17.99,59.02,59.02,114.55,0.0,5.15,5.15
2019-12-31,369.63,369.63,184.69,17.89,-1.51,75.29,7.49,94.48,-8.69,51.24,42.55,1.09,41.46,0.0,41.46,11.97,29.5,29.5,114.55,0.0,2.57,2.57
2020-03-31,456.69,456.69,185.17,28.86,-0.32,73.4,7.89,135.06,26.61,52.79,79.41,-0.35,79.76,-10.61,69.15,19.47,49.69,49.69,114.55,0.0,4.34,4.34
2020-06-30,109.96,109.96,33.66,8.69,3.37,63.96,7.65,40.69,-48.07,49.96,1.89,0.12,1.76,0.0,1.76,1.62,0.15,0.15,114.55,0.0,0.01,0.01
2020-09-30,272.44,272.44,107.05,8.3,4.46,53.35,5.97,65.91,27.41,47.36,74.76,0.17,74.59,-20.75,53.84,16.15,37.7,37.7,114.55,0.0,3.29,3.29
2020-12-31,359.6,359.6,162.37,3.75,3.28,75.75,7.7,72.89,33.87,39.34,73.21,0.24,72.97,0.0,72.97,15.35,57.62,57.62,114.55,0.0,5.03,5.03
