Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2017-06-30,390.42,390.42,42.94,2.21,140.03,205.24,26.58,231.82,0.0,231.82,231.82,67.25,164.57,164.57,25.17,0.0,8.17,8.06
2017-09-30,430.01,430.01,49.02,2.31,142.03,236.65,27.61,264.26,0.0,264.26,264.26,84.45,179.81,179.81,25.17,0.0,0.0,8.91
2017-12-31,467.66,467.66,50.29,2.48,157.36,257.53,27.57,285.1,0.0,285.1,285.1,90.04,195.06,195.06,26.32,0.0,9.26,9.25
2018-03-31,471.66,471.66,32.7,4.44,178.92,255.6,25.74,281.34,0.0,281.34,281.34,99.16,182.18,182.18,105.28,2054.69,0.0,0.0
2018-06-30,471.23,471.23,53.78,2.6,150.13,264.72,29.92,294.64,0.0,294.64,294.64,89.38,205.26,205.26,105.99,0.0,9.7,9.68
2018-09-30,480.36,480.36,54.37,3.07,160.59,262.33,34.88,297.21,0.0,297.21,297.21,91.3,205.91,205.91,106.17,0.0,9.71,9.69
2018-12-31,477.09,477.09,50.51,3.71,110.42,312.45,55.85,368.3,0.0,368.3,368.3,125.04,243.26,243.26,106.22,0.0,11.45,11.43
2019-03-31,486.5,486.5,47.61,3.47,81.82,353.6,60.95,414.55,0.0,414.55,414.55,138.38,276.17,276.17,106.29,0.0,12.99,12.97
2019-06-30,504.39,504.39,56.68,11.88,51.98,383.85,48.36,432.21,2.29,429.92,429.92,138.13,291.79,291.79,106.3,0.0,13.72,13.69
2019-09-30,498.0,498.0,57.83,12.46,48.97,378.74,51.07,429.81,2.28,427.53,427.53,59.29,368.24,368.24,106.3,0.0,17.32,17.27
2019-12-31,524.73,524.73,57.05,12.64,54.07,400.97,67.26,468.23,2.2,466.03,466.03,113.48,352.55,352.55,106.31,0.0,16.58,16.53
2020-03-31,476.13,476.13,43.15,13.39,61.3,358.29,-26.51,331.78,2.21,329.57,329.57,79.74,249.83,249.83,106.4,0.0,11.74,11.72
2020-06-30,411.49,411.49,52.61,13.73,42.4,302.75,79.82,382.57,2.2,380.37,380.37,78.01,302.36,302.36,106.42,0.0,14.2,14.17
2020-09-30,456.25,456.25,53.45,14.06,37.28,351.46,113.7,465.16,2.21,462.95,462.95,124.89,338.06,338.06,106.45,0.0,15.88,15.85
2020-12-31,481.86,481.86,56.86,14.0,39.23,371.77,113.05,484.82,2.2,482.62,482.62,113.36,369.26,369.26,106.47,0.0,17.34,17.31
2021-03-31,502.93,502.93,63.83,13.62,42.77,382.71,42.64,425.35,2.34,423.01,423.01,106.93,316.08,316.08,106.48,0.0,14.84,14.84
2021-06-30,507.08,507.08,83.46,13.51,42.67,367.44,100.91,468.35,2.23,466.12,466.12,120.67,345.45,345.45,106.53,0.0,16.22,16.19
2021-09-30,542.33,542.33,79.84,13.59,51.39,397.51,66.07,463.58,2.21,461.37,461.37,116.99,344.38,344.38,106.58,0.0,16.16,16.14
2021-12-31,549.67,549.67,77.47,13.34,57.77,401.09,86.21,487.3,2.15,485.15,485.15,125.4,359.75,359.75,106.6,0.0,16.88,16.86
2022-03-31,516.28,516.28,71.43,13.41,51.39,380.05,64.65,444.7,2.05,442.65,442.65,99.1,343.55,343.55,106.64,0.0,16.11,16.1
2022-06-30,521.58,521.58,77.99,13.5,53.94,376.15,11.32,387.47,2.49,384.98,384.98,70.79,314.19,314.19,106.65,0.0,14.73,14.72
2022-09-30,544.72,544.72,83.85,13.22,56.3,391.35,104.21,495.56,2.43,493.13,493.13,129.0,364.13,364.13,106.66,0.0,17.07,17.06
2022-12-31,559.56,559.56,78.98,13.37,67.47,399.74,103.37,503.11,2.39,500.72,500.72,131.32,369.4,369.4,106.69,0.0,17.32,17.31
2023-03-31,540.95,540.95,71.85,13.25,58.55,397.3,96.86,494.16,2.38,491.78,491.78,115.58,376.2,376.2,106.71,0.0,17.63,17.63
2023-06-30,574.54,574.54,83.78,12.9,62.19,415.67,158.03,573.7,2.34,571.36,571.36,93.85,477.51,477.51,106.73,0.0,22.37,22.37
2023-09-30,643.08,643.08,92.93,12.98,67.91,469.26,122.14,591.4,2.27,589.13,589.13,151.57,437.56,437.56,106.74,0.0,20.5,20.49
2023-12-31,671.32,671.32,90.32,13.07,69.59,498.34,142.43,640.77,2.16,638.61,638.61,148.89,489.72,489.72,106.74,0.0,22.94,22.91
2024-03-31,695.43,695.43,86.43,13.31,69.74,525.95,155.46,681.41,2.32,679.09,679.09,138.0,541.09,541.09,106.74,0.0,25.35,25.26
2024-06-30,775.24,775.24,100.81,13.25,79.5,581.68,173.1,754.78,2.31,752.47,752.47,148.49,603.98,603.98,106.79,0.0,28.29,28.19
2024-09-30,887.21,887.21,95.69,13.7,87.48,690.34,170.61,860.95,2.27,858.68,858.68,281.8,576.88,576.88,106.81,0.0,27.01,26.9
2024-12-31,934.36,934.36,94.92,14.86,75.14,749.44,92.74,842.18,2.23,839.95,839.95,198.49,641.46,641.46,106.87,0.0,30.02,29.91
2025-03-31,901.22,901.22,96.83,16.6,73.63,714.16,123.78,837.94,2.6,835.34,835.34,196.61,638.73,638.73,106.9,0.0,29.88,29.78
