Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Long Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,39.94,39.94,1098.87,1098.87,0.0,1138.81,90.02,0.0,0.0,264.72,698.99,304.87,256.19,1260.05,2663.58,531.7,39.42,17.69,0.0,588.81,1565.1,0.0,0.0,2154.59,0.0,188.2,43.8,37.12,239.87,0.0,508.99,2663.58,106.0,0.0,126.74,145.37,117.4,0.81,23.96,249.02,1330.0,0.0,0.0,0.68,325.44,0.0,56.06,174.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,39.94,39.94,1453.44,1453.44,0.0,1493.38,101.53,0.0,0.0,303.29,661.96,353.8,484.71,1500.47,3297.14,615.3,59.18,40.85,0.0,715.33,2026.65,0.0,0.0,2742.61,0.0,204.26,89.55,17.6,243.12,0.0,554.53,3297.14,0.0,0.0,209.21,51.92,180.42,1.28,23.96,170.35,1858.99,0.0,0.0,0.63,280.49,0.0,60.79,201.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,39.94,39.94,1969.39,1969.39,0.0,2009.33,120.1,0.0,0.0,305.88,646.27,426.61,489.92,1562.8,3878.01,828.3,121.07,44.19,0.0,993.56,2061.89,0.0,0.0,3056.77,0.0,226.55,158.66,158.72,277.31,0.0,821.24,3878.01,73.48,0.0,299.33,103.84,252.0,1.61,23.96,186.54,1876.42,0.0,0.0,1.32,203.06,0.0,77.13,185.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,39.94,39.94,2430.12,2430.12,0.0,2470.06,129.58,0.0,0.0,294.75,554.82,487.1,437.24,1479.16,4243.97,1014.36,151.17,189.92,0.0,1355.45,1973.87,0.0,0.0,3330.7,0.0,275.58,335.25,35.78,266.66,0.0,913.27,4243.97,165.59,0.0,371.61,103.84,262.56,0.94,23.96,157.85,1809.12,0.0,0.0,1.38,173.94,0.0,109.13,165.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,39.94,39.94,2946.3,2946.3,0.0,2986.24,130.59,0.0,0.0,262.59,756.07,568.91,499.76,1824.74,5073.57,973.77,182.49,408.49,0.0,1564.75,2566.82,0.0,0.0,4136.79,0.0,317.1,297.44,131.09,191.15,0.0,936.78,5073.57,56.37,0.0,332.49,88.26,242.79,0.85,23.96,209.2,2357.62,0.0,0.0,5.22,507.92,0.0,66.14,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,39.94,39.94,3760.81,3760.81,0.0,3800.75,153.08,0.0,0.0,231.57,703.03,822.82,526.97,2052.82,6085.14,1367.17,206.54,120.54,0.0,1694.25,3368.75,0.0,0.0,5071.65,0.0,326.83,149.94,219.57,317.15,0.0,1013.49,6085.14,100.54,0.0,377.8,98.65,247.04,1.07,23.96,40.55,3305.14,0.0,0.0,8.65,427.54,0.0,48.51,78.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,39.94,39.94,3425.08,3425.08,0.0,3465.02,160.63,0.0,0.0,226.66,1111.44,2693.62,1026.35,4831.41,8523.09,1427.04,231.74,48.14,0.0,1706.92,3925.71,0.0,0.0,5640.51,0.0,436.4,108.39,1907.21,430.58,0.0,2882.58,8523.09,73.04,0.0,485.46,103.84,337.27,0.32,23.96,25.03,3900.68,0.0,0.0,7.88,579.9,0.0,44.83,66.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,39.94,39.94,2916.12,2916.12,0.0,2956.06,246.77,0.0,35.68,1753.49,2073.3,2898.02,1045.39,6016.71,10726.26,1612.53,2467.75,49.96,0.0,4130.24,465.46,342.29,16.43,4954.42,4663.29,524.93,130.59,71.52,344.72,36.79,5771.84,10726.26,131.9,0.0,2694.26,571.11,444.23,0.39,23.96,54.64,410.0,7.5,4655.91,0.0,21.42,752.38,63.32,1471.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,39.94,39.94,4249.89,4249.89,0.0,4289.83,208.26,0.0,38.0,1257.65,2293.17,996.2,1052.07,4341.44,9888.92,1743.14,2042.37,38.84,0.0,3824.35,673.96,533.64,26.01,5057.96,3290.3,675.57,272.31,76.82,475.6,40.36,4830.96,9888.92,252.62,0.0,231.78,0.0,598.64,0.91,23.96,260.64,409.72,41.56,3249.79,0.0,14.56,923.73,84.03,1011.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,39.94,39.94,4966.3,4966.3,0.0,5006.24,132.41,0.0,30.16,464.73,1873.34,887.64,1409.7,4170.68,9641.65,1891.76,1179.22,62.09,0.0,3133.07,614.47,780.06,36.44,4564.04,3009.36,636.76,665.0,181.04,553.55,31.9,5077.61,9641.65,502.0,0.0,203.09,0.0,620.24,4.22,23.96,254.48,62.25,98.8,2057.55,0.0,36.7,1011.16,106.09,302.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
