Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,25116.0,23776.0,22262.0,22155.0,22140.0,20289.0,20676.0,19904.0,19995.0,18983.0,18382.0,19518.0,18969.0,18096.0,17290.0,13298.0,14412.0,11351.0,9518.0,7420.0,9992.0,10230.0,9965.0,10054.65,12372.66,11937.74,10833.02,10593.21,11681.1,11022.82,10308.21,9770.04,11026.09,9226.04,8907.96,7501.39,8652.41,8008.27,8831.13,8517.29,9219.25,8471.71,8472.9,7930.55,8359.85,7200.96,6245.56,5766.69,6915.59,6789.9
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,87.52,104.32,95.95,--,129.04,83.74,57.98,152.3,131.32,81.41,65.59,75.21,72.13,59.29,71.24,78.16,81.82
Total Income From Operations,25116.0,23776.0,22262.0,22155.0,22140.0,20289.0,20676.0,19904.0,19995.0,18983.0,18382.0,19518.0,18969.0,18096.0,17290.0,13298.0,14412.0,11351.0,9518.0,7420.0,9992.0,10230.0,9965.0,10054.65,12372.66,11937.74,10833.02,10593.21,11681.1,11022.82,10308.21,9770.04,11026.09,9313.56,9012.28,7597.34,8652.41,8137.31,8914.87,8575.27,9371.55,8603.03,8554.31,7996.14,8435.06,7273.09,6304.85,5837.93,6993.75,6871.72
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,16562.0,14490.0,15761.0,14975.0,14406.0,13097.0,15200.0,12260.0,13037.0,12323.0,10680.0,9753.0,11811.0,11814.0,10790.0,7637.0,9590.0,6947.0,6256.0,4541.0,5241.0,5740.0,5902.0,5740.46,6620.62,7812.37,6367.26,6565.68,6619.61,6884.74,6076.1,5827.29,6237.76,5841.26,4966.01,3973.19,4522.22,4834.12,4621.57,5230.88,5227.77,5055.37,5633.66,5139.49,5443.0,5325.08,5042.72,2993.48,4516.21,4352.26
Purchase of Traded Goods,94.0,153.0,626.0,316.0,128.0,707.0,259.0,665.0,132.0,989.0,312.0,120.0,967.0,306.0,392.0,257.0,41.0,429.0,439.0,189.0,241.0,10.0,5.0,--,225.47,4.01,--,5.55,--,1.91,3.01,--,0.19,--,15.15,73.77,--,-0.25,1.73,--,37.04,--,--,--,--,--,--,0.03,--,--
Increase/Decrease in Stocks,545.0,1215.0,-1208.0,-682.0,547.0,1.0,-1247.0,620.0,263.0,-852.0,20.0,1631.0,-1653.0,-1016.0,-430.0,-245.0,-77.0,-382.0,-1006.0,-356.0,30.0,37.0,-274.0,206.79,973.38,-637.1,-157.36,-560.52,445.71,-453.03,-171.54,-240.37,167.74,-685.13,-173.87,-408.9,160.41,-304.36,677.71,-342.06,437.4,-52.19,-324.34,6.94,154.95,-472.85,-1035.5,677.19,198.04,304.78
Power & Fuel,2056.0,2451.0,--,2115.0,2186.0,--,--,--,2386.0,2961.0,3459.0,2512.0,1907.0,1720.0,1634.0,1520.0,1484.0,1453.0,1471.0,1264.0,1653.0,1692.0,1904.0,1745.29,1790.14,1819.39,1705.84,1505.83,1533.33,1473.3,1508.27,1485.22,1502.04,1429.49,1482.29,1484.85,1534.99,1646.79,1682.12,1644.16,1425.72,1344.33,1293.89,1136.83,920.59,948.64,882.18,806.2,754.36,754.86
Employees Cost,667.0,681.0,648.0,625.0,626.0,635.0,610.0,579.0,578.0,566.0,555.0,519.0,535.0,525.0,510.0,488.0,502.0,442.0,439.0,461.0,469.0,493.0,484.0,476.15,490.54,511.09,511.03,469.05,481.54,496.41,478.35,438.36,418.45,444.48,481.54,407.65,426.73,438.61,444.09,378.49,422.65,421.43,397.25,348.15,350.48,332.37,360.81,302.44,289.49,308.23
Depreciation,524.0,514.0,492.0,499.0,507.0,483.0,489.0,482.0,510.0,464.0,449.0,451.0,449.0,437.0,424.0,442.0,442.0,414.0,427.0,425.0,442.0,428.0,420.0,417.99,459.7,429.05,400.13,404.28,459.81,382.24,380.36,379.15,380.21,357.95,351.6,338.21,340.46,312.03,298.81,330.72,237.67,216.26,196.04,187.06,244.06,199.8,196.36,183.07,172.62,188.35
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,-6.0,8.0,61.0,2.0,-2.0,2.0,95.0,2.0,-1.0,-3.0,136.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,2193.0,2122.0,3686.0,2057.0,2027.0,3886.0,4098.0,4219.0,1830.0,1645.0,1918.0,2054.0,2140.0,1945.0,1261.0,1543.0,1386.0,1283.0,931.0,748.0,1217.0,1245.0,1152.0,1168.52,1370.11,1499.79,1315.51,1282.34,1343.31,1307.76,1024.16,1111.82,1352.67,1098.24,1084.78,835.05,830.44,846.91,873.1,750.86,973.19,910.76,656.85,616.32,721.93,510.37,514.8,580.14,592.42,569.53
"P/L Before Other Inc. , Int., Excpt. Items & Tax",2475.0,2150.0,2257.0,2250.0,1713.0,1480.0,1267.0,1079.0,1265.0,879.0,928.0,2476.0,2815.0,2363.0,2614.0,1654.0,1045.0,768.0,425.0,148.0,699.0,585.0,372.0,299.45,442.7,499.14,690.61,921.0,797.79,929.49,1009.5,768.57,967.03,827.27,804.78,893.52,837.16,363.46,315.74,582.22,610.11,707.07,700.96,561.35,600.05,429.68,343.48,295.38,470.61,393.71
Other Income,209.0,140.0,825.0,155.0,179.0,133.0,166.0,225.0,166.0,137.0,190.0,93.0,169.0,102.0,163.0,101.0,53.0,185.0,166.0,246.0,208.0,139.0,191.0,201.37,360.57,272.65,201.34,105.47,204.92,299.35,187.23,256.33,222.57,219.97,336.39,119.19,209.5,183.43,459.72,91.74,230.08,212.48,223.35,216.3,212.47,204.19,279.82,427.94,231.21,318.08
"P/L Before Int., Excpt. Items & Tax",2684.0,2290.0,3082.0,2405.0,1892.0,1613.0,1433.0,1304.0,1431.0,1016.0,1118.0,2569.0,2984.0,2465.0,2777.0,1755.0,1098.0,953.0,591.0,394.0,907.0,724.0,563.0,500.82,803.27,771.79,891.95,1026.47,1002.71,1228.84,1196.73,1024.9,1189.6,1047.24,1141.17,1012.71,1046.66,546.89,775.46,673.96,840.19,919.55,924.31,777.65,812.52,633.87,623.3,723.32,701.82,711.79
Interest,235.0,226.0,234.0,244.0,261.0,317.0,338.0,352.0,336.0,309.0,322.0,333.0,356.0,371.0,343.0,347.0,331.0,352.0,361.0,425.0,401.0,406.0,428.0,444.35,414.32,433.73,424.23,410.76,446.37,482.8,483.61,487.76,541.13,587.9,594.27,599.57,573.56,585.16,627.47,603.95,466.34,447.47,385.72,337.56,214.6,165.16,183.17,148.72,157.67,168.98
P/L Before Exceptional Items & Tax,2449.0,2064.0,2848.0,2161.0,1631.0,1296.0,1095.0,952.0,1095.0,707.0,796.0,2236.0,2628.0,2094.0,2434.0,1408.0,767.0,601.0,230.0,-31.0,506.0,318.0,135.0,56.47,388.95,338.06,467.72,615.71,556.34,746.04,713.12,537.14,648.47,459.34,546.9,413.14,473.1,-38.27,147.99,70.01,373.85,472.08,538.59,440.09,597.92,468.71,440.13,574.6,544.15,542.81
