Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,6789.9,81.82,6871.72,4352.26,0.0,304.78,754.86,308.23,188.35,0.0,569.53,393.71,318.08,711.79,168.98,542.81,0.0,542.81,109.29,433.52,0.0,433.52,191.48,0.0,2.26,2.26,114.11,59.6,61.38,100.0,32.06
2013-03-31,6915.59,78.16,6993.75,4516.21,0.0,198.04,754.36,289.49,172.62,0.0,592.42,470.61,231.21,701.82,157.67,544.15,0.0,544.15,62.12,482.03,0.0,482.03,191.48,0.0,2.52,2.52,114.11,59.6,61.38,100.0,32.06
2013-06-30,5766.69,71.24,5837.93,2993.48,0.03,677.19,806.2,302.44,183.07,0.0,580.14,295.38,427.94,723.32,148.72,574.6,0.0,574.6,100.51,474.09,0.0,474.09,191.48,0.0,2.48,2.48,114.3,59.7,61.38,100.0,32.06
2013-09-30,6245.56,59.29,6304.85,5042.72,0.0,-1035.5,882.18,360.81,196.36,0.0,514.8,343.48,279.82,623.3,183.17,440.13,0.0,440.13,83.02,357.11,0.0,357.11,206.48,0.0,1.85,1.85,114.3,55.36,76.38,100.0,37.0
2013-12-31,7200.96,72.13,7273.09,5325.08,0.0,-472.85,948.64,332.37,199.8,0.0,510.37,429.68,204.19,633.87,165.16,468.71,0.0,468.71,134.73,333.98,0.0,333.98,206.48,0.0,1.62,1.62,113.9,55.17,76.38,100.0,37.0
2014-03-31,8359.85,75.21,8435.06,5443.0,0.0,154.95,920.59,350.48,244.06,0.0,721.93,600.05,212.47,812.52,214.6,597.92,-395.98,201.94,-46.21,248.15,0.0,248.15,206.48,0.0,1.2,1.2,113.87,55.15,76.38,100.0,37.0
2014-06-30,7930.55,65.59,7996.14,5139.49,0.0,6.94,1136.83,348.15,187.06,0.0,616.32,561.35,216.3,777.65,337.56,440.09,0.0,440.09,112.59,327.5,0.0,327.5,206.49,0.0,1.59,1.59,114.35,55.39,76.38,100.0,36.99
2014-09-30,8472.9,81.41,8554.31,5633.66,0.0,-324.34,1293.89,397.25,196.04,0.0,656.85,700.96,223.35,924.31,385.72,538.59,-431.22,107.37,28.6,78.77,0.0,78.77,206.51,0.0,0.38,0.38,113.92,55.17,76.38,100.0,36.99
2014-12-31,8471.71,131.32,8603.03,5055.37,0.0,-52.19,1344.33,421.43,216.26,0.0,910.76,707.07,212.48,919.55,447.47,472.08,0.0,472.08,112.72,359.36,0.0,359.36,206.52,0.0,1.74,1.74,113.94,55.18,76.38,100.0,36.99
2015-03-31,9219.25,152.3,9371.55,5227.77,37.04,437.4,1425.72,422.65,237.67,0.0,973.19,610.11,230.08,840.19,466.34,373.85,-146.48,227.37,67.84,159.53,0.0,159.53,206.52,0.0,0.77,0.77,114.18,55.29,76.38,100.0,36.99
2015-06-30,8517.29,57.98,8575.27,5230.88,0.0,-342.06,1644.16,378.49,330.72,0.0,750.86,582.22,91.74,673.96,603.95,70.01,0.0,70.01,8.62,61.39,-0.29,61.1,204.89,0.0,0.3,0.3,114.29,55.35,76.38,100.0,36.99
2015-09-30,8831.13,83.74,8914.87,4621.57,1.73,677.71,1682.12,444.09,298.81,0.0,873.1,315.74,459.72,775.46,627.47,147.99,0.0,147.99,24.27,123.72,-0.26,123.46,204.89,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0
2015-12-31,8008.27,129.04,8137.31,4834.12,-0.25,-304.36,1646.79,438.61,312.03,0.0,846.91,363.46,183.43,546.89,585.16,-38.27,0.0,-38.27,-5.78,-32.49,-0.26,-32.75,204.89,0.0,-0.16,-0.16,0.0,0.0,0.0,0.0,0.0
2016-03-31,8652.41,0.0,8652.41,4522.22,0.0,160.41,1534.99,426.73,340.46,0.0,830.44,837.16,209.5,1046.66,573.56,473.1,-1.2,471.9,71.81,400.09,0.0,400.09,206.52,0.0,1.94,1.94,0.0,0.0,0.0,0.0,0.0
2016-06-30,7501.39,95.95,7597.34,3973.19,73.77,-408.9,1484.85,407.65,338.21,0.0,835.05,893.52,119.19,1012.71,599.57,413.14,0.0,413.14,118.87,294.27,-0.2,294.07,204.89,0.0,1.44,1.43,0.0,0.0,0.0,0.0,0.0
2016-09-30,8907.96,104.32,9012.28,4966.01,15.15,-173.87,1482.29,481.54,351.6,0.0,1084.78,804.78,336.39,1141.17,594.27,546.9,84.89,631.79,192.85,438.94,0.8,439.74,204.91,0.0,2.15,2.14,0.0,0.0,0.0,0.0,0.0
2016-12-31,9226.04,87.52,9313.56,5841.26,0.0,-685.13,1429.49,444.48,357.95,0.0,1098.24,827.27,219.97,1047.24,587.9,459.34,0.0,459.34,138.95,320.39,0.17,320.56,205.01,0.0,1.56,1.56,0.0,0.0,0.0,0.0,0.0
2017-03-31,11026.09,0.0,11026.09,6237.76,0.19,167.74,1502.04,418.45,380.21,0.0,1352.67,967.03,222.57,1189.6,541.13,648.47,-0.27,648.2,145.68,502.52,0.0,502.52,209.03,0.0,2.4,2.4,0.0,0.0,0.0,0.0,0.0
2017-06-30,9770.04,0.0,9770.04,5827.29,0.0,-240.37,1485.22,438.36,379.15,0.0,1111.82,768.57,256.33,1024.9,487.76,537.14,-104.4,432.74,143.14,289.6,-0.09,289.51,209.03,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0
2017-09-30,10308.21,0.0,10308.21,6076.1,3.01,-171.54,1508.27,478.35,380.36,0.0,1024.16,1009.5,187.23,1196.73,483.61,713.12,-105.52,607.6,214.61,392.99,-0.14,392.85,222.75,0.0,1.76,1.76,0.0,0.0,0.0,0.0,0.0
2017-12-31,11022.82,0.0,11022.82,6884.74,1.91,-453.03,1473.3,496.41,382.24,0.0,1307.76,929.49,299.35,1228.84,482.8,746.04,-115.29,630.75,255.21,375.54,1.6,377.14,222.86,0.0,1.7,1.69,0.0,0.0,0.0,0.0,0.0
2018-03-31,11681.1,0.0,11681.1,6619.61,0.0,445.71,1533.33,481.54,459.81,0.0,1343.31,797.79,204.92,1002.71,446.37,556.34,0.0,556.34,179.37,376.97,0.0,376.97,222.89,0.0,1.69,1.69,0.0,0.0,0.0,0.0,0.0
2018-06-30,10593.21,0.0,10593.21,6565.68,5.55,-560.52,1505.83,469.05,404.28,0.0,1282.34,921.0,105.47,1026.47,410.76,615.71,0.0,615.71,202.18,413.53,0.0,413.53,222.9,0.0,1.86,1.85,0.0,0.0,0.0,0.0,0.0
