Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Expenditure In Foreign Currency,FOB Value Of Goods,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Other Assets,Long Term Loans And Advances,Short Term Loans And Advances,Capital Goods,Deferred Tax Liabilities [Net],Preference Share Capital,Equity Share Application Money,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,362.88,543.61,-828.75,-828.75,-285.14,275.62,0.0,0.0,275.62,163.18,119.64,97.07,39.47,419.36,775.19,216.3,0.0,18.3,234.6,0.0,0.0,284.63,519.23,0.0,169.96,18.08,17.03,0.79,255.95,775.19,395.91,47.82,0.0,0.08,20.09,0.0,0.0,0.0,0.0,0.0,0.0,50.1,0.0,0.0,180.73,365.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,728.22,908.95,-771.71,-771.71,137.24,222.75,0.0,0.0,275.49,133.78,127.14,97.29,42.99,401.19,853.92,200.61,0.0,16.67,217.28,0.0,57.71,276.03,551.02,0.0,225.64,11.55,7.55,1.55,302.9,853.92,293.09,2.33,0.0,0.05,10.75,0.0,0.0,0.0,0.0,0.0,0.0,56.61,0.0,52.73,180.73,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,728.22,908.95,-586.7,-586.7,322.25,287.51,0.0,0.0,336.76,4.81,336.62,179.27,58.26,578.96,1277.96,184.68,0.0,317.08,501.76,0.0,139.27,0.0,641.03,0.0,371.99,44.49,130.33,0.0,636.93,1277.96,535.06,328.1,0.0,0.04,41.83,0.0,0.0,0.0,0.0,0.0,0.0,90.11,0.0,49.25,180.73,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,768.22,948.95,-295.71,-295.71,653.24,216.13,0.0,0.0,371.12,0.0,376.61,130.77,166.71,674.08,1726.95,176.0,0.0,326.69,502.69,0.0,225.54,0.0,728.23,0.0,408.54,44.44,434.86,0.0,998.72,1726.95,670.82,314.6,0.0,2.89,78.2,0.0,0.0,0.0,0.0,0.0,0.0,110.87,4.29,154.99,180.73,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,384.11,384.11,515.6,515.6,899.71,112.5,0.0,0.0,153.27,0.98,287.92,118.7,280.86,688.47,1819.95,165.42,0.0,371.36,536.77,0.0,103.63,0.0,640.4,0.0,386.12,50.14,528.84,0.0,1179.55,1819.95,460.81,588.03,0.0,2.4,75.46,0.0,0.0,0.0,0.0,0.0,0.0,214.45,1.06,40.77,0.0,78.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,462.61,462.61,505.29,505.29,967.9,0.0,0.0,0.0,45.12,36.04,197.44,205.31,187.17,625.95,1638.97,209.7,0.0,379.49,589.19,0.0,98.71,0.0,687.9,0.0,259.96,159.95,299.48,0.0,951.07,1638.97,500.53,302.03,0.0,7.75,75.22,0.0,0.0,0.0,0.0,0.0,0.0,231.69,0.83,45.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,462.61,462.61,659.97,659.97,1122.58,0.0,0.0,0.0,44.96,0.05,111.25,99.52,230.75,441.58,1609.12,219.63,0.0,408.89,628.51,71.92,102.16,0.0,802.59,0.0,253.26,154.75,173.36,0.0,806.53,1609.12,357.77,59.25,0.0,0.29,36.1,0.0,71.92,0.0,0.0,0.0,0.0,225.16,0.0,44.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,462.61,462.61,719.13,719.13,1181.74,0.0,19.74,56.92,80.07,0.0,85.68,126.2,103.42,315.3,1577.11,213.17,0.0,0.17,672.28,46.2,0.0,0.0,735.22,18.26,322.66,65.22,364.28,27.7,841.89,1577.11,406.81,0.0,0.71,0.56,64.71,47.75,0.0,14.44,4.25,458.94,16.74,43.76,2.52,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,462.61,462.61,935.03,935.03,1397.64,0.0,18.81,65.98,84.79,0.0,68.44,104.12,193.23,365.78,1848.22,209.17,0.0,0.99,688.81,56.5,5.82,0.0,796.57,92.13,320.64,121.74,449.2,26.97,1051.65,1848.22,811.87,0.0,0.54,0.5,66.5,49.91,8.5,78.96,15.0,478.64,45.44,40.96,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,462.61,462.61,1182.42,1182.42,1645.03,0.0,6.85,68.38,75.23,0.0,85.75,124.22,150.85,360.82,2081.08,206.33,0.0,56.32,793.46,2.0,37.55,0.0,890.27,86.58,378.28,184.51,438.45,42.42,1190.82,2081.08,285.07,0.0,0.74,0.37,80.79,2.01,0.0,58.96,30.23,530.81,57.26,60.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,462.61,462.61,1366.66,1366.66,1829.27,0.0,21.75,34.3,56.06,0.0,76.45,105.88,170.0,352.33,2237.66,211.79,0.0,114.55,902.51,11.0,37.9,0.0,1008.95,113.77,422.39,198.83,400.3,29.6,1228.71,2237.66,520.01,0.0,3.88,1.3,393.98,11.21,0.0,0.0,113.77,576.17,57.54,63.83,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,462.61,462.61,1398.92,1398.92,1861.53,0.0,19.99,79.65,99.64,0.0,104.34,119.18,21.53,245.05,2206.23,202.01,0.0,132.26,1053.35,0.0,56.68,0.0,1168.93,3.01,442.45,85.22,319.84,32.13,1037.3,2206.23,2315.57,0.0,0.8,3.4,20.41,0.0,0.0,3.1,0.0,719.07,58.89,154.65,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,462.61,462.61,1450.78,1450.78,1913.39,207.15,22.74,88.92,318.8,0.0,150.59,153.86,6.81,311.26,2543.45,199.97,0.0,405.69,1417.55,0.0,76.51,0.0,1553.16,75.81,517.23,57.33,240.31,40.32,990.29,2543.45,1835.05,0.0,1.52,8.98,136.4,0.0,0.0,0.0,75.81,811.88,59.1,59.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,462.61,462.61,1004.35,1004.35,1466.96,204.98,10.36,79.29,294.63,267.09,156.56,256.97,67.47,748.09,2509.68,354.25,0.0,278.61,632.86,0.0,51.58,514.03,1198.47,0.0,821.87,165.07,55.02,269.24,1311.21,2509.68,1734.69,289.67,0.41,300.01,231.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,462.61,462.61,1064.68,1064.68,1527.29,152.91,9.24,81.87,244.01,504.05,226.13,321.49,52.38,1104.04,2875.34,332.0,0.0,659.55,991.54,0.0,55.78,573.05,1620.38,0.08,788.62,81.57,12.71,371.98,1254.96,2875.34,1774.37,335.79,2.1,337.41,340.69,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,462.61,462.61,1168.51,1168.51,1631.11,570.66,8.44,54.72,633.81,499.45,202.29,280.65,62.96,1045.35,3310.27,316.49,0.0,1022.11,1338.6,0.19,62.46,539.02,1940.26,0.09,643.67,361.55,10.83,353.89,1370.02,3310.27,1525.53,57.41,14.44,72.71,842.67,0.0,0.19,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,462.61,462.61,497.66,497.66,960.26,636.18,8.44,65.66,710.27,927.5,233.74,255.65,30.63,1447.52,3118.06,308.91,28.37,1231.78,1569.05,0.03,52.91,458.88,2080.87,0.09,519.83,82.89,15.87,418.5,1037.18,3118.06,1454.23,4.61,2.27,8.21,461.29,0.0,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,462.61,462.61,626.71,626.71,1089.32,769.88,8.44,50.74,829.05,367.55,136.48,374.4,41.07,919.5,2837.88,295.51,26.58,1178.92,1501.01,0.59,153.57,372.97,2028.15,0.1,176.0,167.78,10.79,455.06,809.73,2837.88,1457.16,0.0,0.13,0.47,796.34,0.0,0.59,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,483.51,483.51,1427.74,1427.74,1911.25,193.12,8.9,69.69,271.7,215.2,202.68,283.01,113.9,814.79,2997.75,256.39,25.18,682.74,964.3,0.51,174.68,936.73,2076.23,0.1,113.0,80.1,365.64,362.67,921.52,2997.75,1459.31,0.0,6.81,7.91,352.5,0.0,0.51,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,483.51,483.51,1598.54,1598.54,2082.05,17.2,24.68,23.06,64.94,139.18,210.98,360.89,127.09,838.14,2985.14,269.94,37.74,731.28,1038.96,9.51,163.7,1071.8,2283.97,0.0,116.53,66.15,301.02,217.47,701.17,2985.14,2646.63,0.0,0.0,1.05,292.67,0.0,9.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,483.51,483.51,1801.58,1801.58,2285.09,72.5,357.32,-3.6,426.22,149.96,95.43,271.18,42.14,558.7,3270.02,1390.9,39.57,916.9,2347.37,29.4,161.06,145.3,2683.14,0.0,228.27,136.81,74.35,147.45,586.87,3270.02,2457.08,0.0,0.57,2.63,308.65,0.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
