Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,283.29,0.11,283.4,10.63,-26.85,44.02,92.35,34.84,95.62,32.79,22.26,55.05,0.81,54.24,54.24,10.54,43.7,0.0,43.7,462.61,0.47,0.47,0.38,0.41,92.14,100.0,95.59
2012-12-31,310.73,0.19,310.92,15.6,-34.97,48.41,92.33,41.44,106.19,41.92,69.54,111.46,0.94,110.52,110.52,34.68,75.84,0.0,75.84,462.61,0.82,0.82,5.54,5.99,86.98,100.0,94.01
2013-03-31,414.68,0.38,415.06,15.31,11.89,120.18,74.23,39.55,109.08,44.82,135.39,180.21,2.25,177.96,177.96,-8.74,186.7,1.39,188.09,462.61,2.03,2.03,5.54,5.99,86.98,100.0,94.01
2013-06-30,222.8,2.91,225.71,16.67,-49.85,35.99,91.43,43.26,89.08,-0.87,20.04,19.17,0.39,18.78,18.78,0.21,18.57,0.0,18.57,462.61,0.2,0.2,5.54,5.99,86.98,100.0,94.01
2013-09-30,334.2,0.85,335.05,18.96,-37.42,47.59,91.92,41.36,107.91,64.73,20.71,85.44,0.8,84.64,84.64,22.63,62.01,0.0,62.01,462.61,0.67,0.67,9.25,10.0,83.27,100.0,90.0
2013-12-31,426.48,0.58,427.06,10.06,31.7,45.86,95.83,48.29,120.84,74.48,17.46,91.94,0.3,91.64,91.64,22.68,68.96,0.0,68.96,462.61,0.75,0.75,9.25,10.0,83.27,100.0,90.0
2014-03-31,496.25,4.81,501.06,21.14,10.09,60.71,82.81,41.23,85.49,199.59,36.83,236.42,0.83,235.59,235.59,98.71,136.88,0.0,136.88,462.61,1.48,1.48,9.25,10.0,83.27,100.0,90.0
2014-06-30,293.34,3.56,296.9,15.87,21.81,43.78,100.99,27.19,89.32,-2.06,18.04,15.98,0.18,15.8,15.8,2.6,13.2,0.0,13.2,462.61,0.14,0.14,9.3,10.05,83.22,100.0,89.95
2014-09-30,217.21,3.59,220.8,13.95,-60.07,44.19,88.07,33.43,101.67,-0.44,16.82,16.38,0.15,16.23,16.23,-0.98,17.21,0.0,17.21,462.61,0.19,0.19,9.3,10.05,83.22,100.0,89.95
2014-12-31,240.16,1.15,241.31,0.16,13.46,40.08,88.89,21.13,80.98,-3.39,15.86,12.47,0.08,12.39,12.39,1.8,10.59,0.0,10.59,462.61,0.11,0.11,9.3,10.05,83.22,100.0,89.95
2015-03-31,254.12,2.41,256.53,0.66,10.43,48.05,51.68,31.1,94.49,20.12,16.18,36.3,0.27,36.03,36.03,9.43,26.6,0.0,26.6,462.61,0.29,0.29,9.3,10.05,83.22,100.0,89.95
2015-06-30,234.48,1.9,236.38,3.8,-33.54,41.91,91.75,26.21,92.06,14.19,10.35,24.54,0.16,24.38,24.38,4.32,20.06,-0.06,20.0,462.61,0.22,0.22,0.0,0.0,0.0,0.0,0.0
2015-09-30,202.61,0.47,203.08,12.94,-53.29,43.53,75.83,28.12,105.63,-9.68,13.3,3.62,0.29,3.33,3.33,-4.33,7.66,-0.05,7.61,462.61,0.08,0.08,0.0,0.0,0.0,0.0,0.0
2015-12-31,202.17,1.59,203.76,13.33,-73.73,47.67,83.53,31.41,106.03,-4.48,11.63,7.15,0.24,6.91,6.91,-1.48,8.39,-0.06,8.33,462.61,0.09,0.09,0.0,0.0,0.0,0.0,0.0
2016-03-31,324.22,1.32,325.54,15.35,73.35,36.61,74.27,33.27,101.55,-8.86,13.55,4.69,-0.56,5.25,5.25,4.61,0.64,-0.06,0.58,462.61,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2016-06-30,205.99,0.24,206.23,10.83,-13.77,41.04,83.8,25.29,76.42,-17.38,14.93,-2.45,0.24,-2.69,-2.69,0.13,-2.82,-0.06,-2.88,462.61,-0.03,-0.03,0.0,0.0,0.0,0.0,0.0
2016-09-30,161.85,0.81,162.66,58.89,-115.3,41.38,77.36,31.12,91.67,-22.46,32.94,10.48,1.28,9.2,9.2,2.38,6.82,-0.05,6.77,462.61,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2016-12-31,220.3,1.92,222.22,98.66,-174.55,51.81,81.04,37.3,117.15,10.81,20.62,31.43,5.3,26.13,26.13,9.2,16.93,-0.06,16.87,462.61,0.18,0.18,0.0,0.0,0.0,0.0,0.0
2017-03-31,513.68,8.8,522.48,125.55,32.31,68.51,88.26,48.19,144.9,14.76,49.34,64.1,2.19,61.91,61.91,21.14,40.77,-0.06,40.71,462.61,0.44,0.44,0.0,0.0,0.0,0.0,0.0
2017-06-30,367.07,3.58,370.65,91.93,13.51,49.64,81.89,34.35,100.65,-1.32,20.76,19.44,3.21,16.23,16.23,5.96,10.27,-0.06,10.21,462.61,0.11,0.11,0.0,0.0,0.0,0.0,0.0
2017-09-30,459.49,0.0,459.49,99.1,55.01,52.31,87.57,36.82,100.46,28.22,20.24,48.46,4.66,43.8,43.8,15.2,28.6,-0.05,28.55,462.61,0.31,0.31,0.0,0.0,0.0,0.0,0.0
2017-12-31,440.14,0.0,440.14,165.47,-44.39,54.13,83.72,42.63,110.64,27.94,6.7,34.64,6.51,28.13,28.13,9.15,18.98,-0.06,18.92,462.61,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2018-03-31,382.68,0.0,382.68,54.88,-31.38,55.13,74.74,50.85,148.56,29.9,10.89,40.79,6.91,33.88,33.88,11.9,21.98,-0.06,21.92,462.61,0.24,0.24,0.0,0.0,0.0,0.0,0.0
2018-06-30,421.65,0.0,421.65,3.58,47.83,46.11,92.36,43.44,122.7,65.63,5.39,71.02,20.05,50.97,50.97,15.65,35.32,-0.06,35.26,462.61,0.38,0.38,0.0,0.0,0.0,0.0,0.0
2018-09-30,469.37,0.0,469.37,54.28,-23.38,61.94,79.72,70.95,164.11,61.75,2.5,64.25,10.85,53.4,53.4,18.12,35.28,-0.05,35.23,462.61,0.38,0.38,0.0,0.0,0.0,0.0,0.0
2018-12-31,474.22,0.0,474.22,2.78,53.04,54.82,88.24,65.48,155.74,54.12,4.69,58.81,7.46,51.35,51.35,16.73,34.62,-0.06,34.56,462.61,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2019-03-31,454.77,0.0,454.77,4.29,65.88,59.0,56.21,73.02,124.96,71.41,20.32,91.73,17.1,74.63,74.63,34.11,40.52,-0.06,40.46,462.61,0.44,0.44,0.0,0.0,0.0,0.0,0.0
2019-06-30,304.07,0.0,304.07,0.51,-30.65,49.98,75.21,66.13,115.73,27.16,15.94,43.1,11.25,31.85,31.85,10.59,21.26,-0.06,21.2,462.61,0.23,0.23,0.0,0.0,0.0,0.0,0.0
