Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,15000.0,15195.0,15508.0,15166.0,14693.0,14928.0,15027.0,14931.0,14638.0,14986.0,14514.0,14016.0,13190.0,12900.0,12724.0,11730.0,11947.0,11682.0,11276.0,10406.0,8885.0,9696.0,9708.0,9984.0,9809.0,9357.0,9138.0,9356.0,9003.0,8323.0,8199.0,8401.0,8100.0,7512.52,7697.55,7987.0,7585.0,7605.82,7595.64,7712.71,7555.0,7579.18,7465.54,7278.23,6682.23,7037.78,6747.2,6687.49,6367.14,6433.69
Other Operating Income,214.0,213.0,--,173.0,164.0,260.0,249.0,217.0,255.0,242.0,237.0,256.0,272.0,192.0,--,185.0,185.0,180.0,166.0,154.0,126.0,112.0,144.0,130.0,136.0,201.0,96.0,131.0,94.0,267.0,110.0,128.0,113.0,193.46,145.14,140.0,136.0,158.13,135.75,131.76,120.63,195.14,173.79,438.11,411.87,185.57,145.44,121.55,98.67,221.14
Total Income From Operations,15214.0,15408.0,15508.0,15339.0,14857.0,15188.0,15276.0,15148.0,14893.0,15228.0,14751.0,14272.0,13462.0,13092.0,12724.0,11915.0,12132.0,11862.0,11442.0,10560.0,9011.0,9808.0,9852.0,10114.0,9945.0,9558.0,9234.0,9487.0,9097.0,8590.0,8309.0,8529.0,8213.0,7705.98,7842.69,8127.0,7721.0,7763.95,7731.39,7844.47,7675.63,7774.32,7639.33,7716.34,7094.1,7223.35,6892.64,6809.04,6465.81,6654.83
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,4335.0,4287.0,4598.0,4478.0,4308.0,4600.0,4412.0,4471.0,4546.0,4767.0,5197.0,4719.0,4351.0,3875.0,4092.0,3551.0,3849.0,3420.0,4107.0,3575.0,2389.0,2793.0,3229.0,3161.0,3319.0,3199.0,3343.0,3379.0,3514.0,3188.0,2885.0,2904.0,3116.0,2573.97,2754.46,2918.0,2844.0,2689.63,2899.88,2833.36,2929.18,2860.63,2974.68,3102.82,2910.04,2701.51,2923.03,2625.23,2529.06,2551.9
Purchase of Traded Goods,3184.0,3187.0,3195.0,3018.0,2864.0,2944.0,2843.0,2893.0,3010.0,2892.0,3136.0,2930.0,2489.0,2333.0,2229.0,2223.0,2045.0,1887.0,1499.0,1686.0,2001.0,1561.0,1447.0,1333.0,1284.0,1337.0,1182.0,905.0,855.0,768.0,1061.0,1128.0,968.0,1021.22,1087.63,1089.0,977.0,976.05,975.97,1022.24,913.99,949.12,933.39,901.46,950.66,837.44,812.27,749.82,828.36,783.79
Increase/Decrease in Stocks,15.0,127.0,-200.0,-48.0,-21.0,-177.0,-34.0,224.0,83.0,338.0,-339.0,-135.0,-48.0,61.0,-163.0,131.0,-138.0,152.0,-231.0,-174.0,-220.0,136.0,-191.0,154.0,140.0,-118.0,-90.0,80.0,-55.0,-51.0,-17.0,52.0,-62.0,149.45,119.95,-52.0,-52.0,76.7,20.68,41.97,-16.22,38.24,50.91,-14.65,-129.87,121.12,-265.38,107.75,75.14,83.4
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,789.0,684.0,765.0,602.0,774.0,649.0,708.0,651.0,683.0,676.0,709.0,597.0,542.0,657.0,582.0,618.0,522.0,556.0,559.0,592.0,355.0,454.0,430.0,452.0,402.0,465.0,438.0,442.0,400.0,491.0,435.0,419.0,388.0,409.26,396.0,427.0,443.0,396.92,375.39,357.92,388.42,441.79,413.01,335.67,378.25,347.72,368.3,341.68,312.28,342.71
Depreciation,313.0,308.0,305.0,298.0,289.0,282.0,269.0,257.0,262.0,260.0,248.0,260.0,261.0,255.0,265.0,244.0,249.0,272.0,249.0,242.0,255.0,232.0,237.0,214.0,134.0,133.0,130.0,127.0,128.0,121.0,115.0,114.0,108.0,100.2,94.5,93.0,88.0,82.16,76.14,74.93,70.52,73.08,76.37,66.72,65.77,64.42,63.92,66.44,61.42,59.28
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,1454.0,1466.0,--,1644.0,1586.0,1593.0,1720.0,1481.0,1290.0,1200.0,1041.0,1328.0,1290.0,1189.0,1215.0,1024.0,1413.0,1388.0,1139.0,797.0,1164.0,1163.0,1198.0,1161.0,1107.0,1186.0,1106.0,1153.0,1070.0,1107.0,1023.0,905.0,853.0,885.12,851.38,880.0,865.0,920.75,921.04,892.73,1027.89,977.12,925.05,944.88,840.34,929.46,954.02,889.78,821.13,822.16
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
