Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Revaluation Reserves,Intangible Assets Under Development,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Short Term Borrowings
2005-12-31,220.12,220.12,2084.84,2085.5,2305.63,118.54,0.0,0.0,118.54,2905.62,53.81,1293.39,4309.76,6733.93,1200.42,185.08,98.03,1483.53,2148.72,0.0,0.0,3970.94,0.0,1321.77,522.83,355.03,560.16,3.2,2762.99,6733.93,468.33,167.22,567.42,1294.68,152.96,131.69,364.81,1896.19,0.0,0.0,338.68,0.67,0.0,650.2,0.0,2.58,56.94
2006-12-31,220.68,220.68,2502.14,2502.81,2723.48,160.88,0.0,0.0,160.88,3146.59,55.05,1429.71,4703.95,7588.31,1225.75,174.99,110.26,1511.01,2522.22,0.0,0.0,4418.66,0.0,1547.71,440.37,416.94,761.32,3.31,3169.66,7588.31,476.4,199.37,624.17,1247.49,188.6,131.69,170.29,2346.08,0.0,0.0,385.43,0.67,0.0,739.03,0.0,2.72,72.6
2007-12-31,217.75,217.75,1220.82,1221.49,1439.23,191.32,0.0,0.0,191.32,3758.71,78.37,1273.9,5199.51,6830.07,1313.24,209.26,185.64,1708.14,1440.81,0.0,0.0,3552.66,0.0,1953.6,443.37,200.86,679.57,0.0,3277.41,6830.07,494.46,195.34,1021.36,1264.65,219.05,131.69,287.83,1364.36,0.0,0.0,403.71,0.67,0.0,747.79,0.0,11.45,88.53
2009-03-31,217.99,217.99,1842.85,1843.52,2061.51,184.26,0.0,0.0,184.26,4188.61,67.22,1527.98,6205.75,8451.51,1348.9,257.88,472.07,2078.85,332.62,0.0,0.0,2850.56,0.0,2528.86,536.89,1777.35,757.86,0.0,5600.96,8451.51,417.26,475.49,737.65,1554.49,387.4,131.69,71.09,317.3,0.0,0.0,439.09,0.67,0.0,1488.16,0.0,30.62,421.95
2010-03-31,218.17,218.17,2364.68,2365.35,2583.52,202.31,0.0,0.0,202.31,5222.99,68.67,1441.55,6733.21,9519.04,1898.46,263.65,273.96,2436.07,1264.08,0.0,0.0,4151.28,0.0,2179.93,678.44,1892.21,613.66,3.52,5367.76,9519.04,468.49,355.27,794.39,955.14,345.12,131.69,953.58,466.46,0.0,0.0,451.13,0.67,0.0,836.48,0.0,114.99,0.0
2011-03-31,215.95,215.95,2442.9,2443.57,2659.52,0.0,219.2,663.87,883.07,5009.05,554.59,1056.43,6620.07,10162.66,2133.58,35.52,216.59,2457.86,120.58,400.31,0.0,3188.41,1140.09,2810.77,943.21,1628.47,416.35,35.36,6974.25,10162.66,922.92,591.48,737.65,1058.92,369.32,131.69,131.15,108.91,1148.34,0.0,209.66,0.67,72.17,1246.19,30.61,39.08,0.0
2012-03-31,216.15,216.15,3296.11,3296.78,3512.93,0.0,329.69,666.95,996.64,4622.96,546.77,1278.97,6448.7,10958.27,2117.53,29.94,205.13,2362.92,186.31,396.18,0.0,3159.65,2251.9,2516.65,678.99,1830.04,485.79,35.25,7798.62,10958.27,1009.23,606.56,794.4,157.21,338.54,131.69,132.52,153.38,2336.76,0.0,214.24,0.67,10.32,740.66,18.94,38.16,0.0
2013-03-31,216.25,216.25,2457.1,2457.77,2674.02,0.0,476.25,706.34,1182.59,5167.69,616.15,1872.02,7655.86,11512.47,2256.79,36.11,205.32,2508.54,548.03,384.29,296.84,3942.48,1782.63,2526.99,833.48,1707.89,648.26,70.74,7569.99,11512.47,894.21,656.46,1872.5,147.96,506.84,131.69,123.31,515.87,1859.47,0.0,204.78,0.67,10.32,717.96,22.54,75.92,0.0
2014-03-31,216.27,216.27,3060.11,3060.78,3277.05,0.0,278.82,838.69,1117.51,5793.89,852.94,1957.01,8603.84,12998.4,2397.94,24.12,312.08,2741.84,636.17,605.51,0.68,4145.93,2457.95,2747.53,816.43,2220.97,537.68,71.91,8852.47,12998.4,991.2,788.93,1480.84,91.21,456.7,131.69,110.11,605.05,2482.54,0.0,161.73,0.67,7.7,735.98,44.54,82.11,0.0
2015-03-31,216.35,216.35,3507.76,3508.43,3724.78,0.0,170.11,956.35,1126.46,5288.9,908.05,2585.87,8782.82,13634.06,2435.5,22.03,479.01,2936.54,654.11,583.46,0.44,4370.51,2623.82,2602.68,782.94,2537.56,657.27,59.28,9263.55,13634.06,1072.71,949.61,1963.46,81.07,492.36,131.69,0.02,654.11,1792.03,856.33,195.96,0.67,0.0,827.62,23.93,81.88,0.0
2016-03-31,216.0,216.0,6063.0,6063.0,6279.0,0.0,395.0,594.0,989.0,5498.0,864.0,290.0,6652.0,13920.0,2902.0,12.0,386.0,3300.0,319.0,162.0,419.0,4368.0,2461.0,2528.0,1064.0,2759.0,0.0,740.0,9530.0,13920.0,1158.0,1084.0,0.0,0.0,559.0,131.69,0.0,319.0,1265.0,1202.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,216.0,216.0,6274.0,6274.0,6490.0,0.0,574.0,485.0,1059.0,6006.0,809.0,387.0,7202.0,14751.0,3654.0,370.0,203.0,4227.0,260.0,352.0,387.0,5386.0,3519.0,2362.0,928.0,1671.0,0.0,885.0,9365.0,14751.0,1241.0,1214.0,0.0,0.0,541.0,131.69,0.0,6.0,3519.0,6.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,216.0,216.0,6859.0,6859.0,7075.0,0.0,666.0,772.0,1438.0,7013.0,972.0,651.0,8636.0,17149.0,3776.0,366.0,430.0,4572.0,256.0,404.0,523.0,6010.0,2855.0,2359.0,1147.0,3373.0,0.0,1405.0,11139.0,17149.0,1699.0,1285.0,0.0,0.0,387.0,131.69,0.0,2.0,2855.0,2.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,216.0,216.0,7443.0,7443.0,7659.0,0.0,804.0,1049.0,1853.0,7070.0,782.0,501.0,8353.0,17865.0,3907.0,436.0,373.0,4716.0,256.0,396.0,784.0,6491.0,2693.0,2422.0,1673.0,3688.0,0.0,898.0,11374.0,17865.0,2009.0,1382.0,0.0,0.0,324.0,131.69,0.0,2.0,2693.0,2.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,216.0,216.0,7815.0,7815.0,8031.0,0.0,1269.0,1198.0,2467.0,7399.0,1287.0,418.0,9104.0,19602.0,4625.0,431.0,513.0,5569.0,252.0,453.0,1159.0,7694.0,1248.0,2636.0,1046.0,5017.0,0.0,1961.0,11908.0,19602.0,2809.0,1565.0,0.0,0.0,283.0,131.69,0.0,2.0,1248.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,235.0,235.0,47199.0,47199.0,47434.0,5986.0,2304.0,1551.0,9841.0,8627.0,1723.0,491.0,10841.0,68116.0,5786.0,45241.0,623.0,51650.0,312.0,520.0,1994.0,54476.0,2683.0,3383.0,1648.0,4321.0,0.0,1605.0,13640.0,68116.0,2692.0,2635.0,0.0,0.0,247.0,131.69,0.0,2.0,2683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,235.0,235.0,48525.0,48525.0,48760.0,6141.0,2339.0,1553.0,10033.0,8864.0,1746.0,334.0,10944.0,69737.0,5813.0,45221.0,901.0,51935.0,612.0,541.0,2002.0,55090.0,3510.0,3890.0,1932.0,3618.0,34.0,1663.0,14647.0,69737.0,2814.0,3131.0,0.0,0.0,1527.0,131.69,0.0,2.0,3510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,235.0,235.0,49986.0,49986.0,50221.0,6325.0,2317.0,1335.0,9977.0,9391.0,1857.0,379.0,11627.0,71825.0,6189.0,45216.0,1020.0,52425.0,983.0,339.0,2029.0,55776.0,2811.0,4031.0,2735.0,4422.0,35.0,2015.0,16049.0,71825.0,3137.0,3695.0,0.0,0.0,1574.0,131.69,0.0,1.0,2811.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,235.0,235.0,50738.0,50738.0,50973.0,6454.0,5695.0,1551.0,13700.0,10148.0,1926.0,329.0,12403.0,77076.0,7178.0,45201.0,915.0,53294.0,983.0,392.0,2111.0,56780.0,4510.0,3812.0,2690.0,7216.0,37.0,2031.0,20296.0,77076.0,2836.0,4463.0,0.0,0.0,1497.0,131.69,0.0,1.0,4510.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,235.0,235.0,48918.0,48918.0,49153.0,6583.0,5396.0,1509.0,13488.0,10998.0,4013.0,661.0,15672.0,78313.0,25026.0,27881.0,956.0,53863.0,988.0,332.0,2231.0,57414.0,3614.0,4161.0,3450.0,7293.0,45.0,2336.0,20899.0,78313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
