Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Current Investments Unquoted Book Value,Preference Share Capital,Short Term Provisions,Long Term Loans And Advances,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Non-Current Investments,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2012-03-31,2.64,3.47,24.3,24.3,0.0,27.78,3.5,0.0,0.0,0.08,3.58,1.8,0.25,0.09,2.22,33.58,0.13,0.12,0.0,0.01,0.25,0.0,0.0,20.27,0.0,0.0,12.54,0.34,0.44,13.32,33.58,0.0,0.0,0.0,0.83,0.08,20.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,2.85,4.45,45.71,45.71,0.0,50.16,43.5,0.0,0.0,0.3,43.8,0.99,0.3,7.02,8.36,102.32,0.15,0.08,0.0,0.03,0.26,0.0,0.0,68.94,0.0,0.0,31.56,0.9,0.92,33.38,102.32,0.0,0.0,0.0,1.6,0.04,68.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,2.86,6.13,92.6,92.6,0.0,98.72,91.1,0.0,0.0,0.77,91.87,5.2,0.67,18.91,25.23,215.82,0.36,0.13,0.28,0.0,0.77,0.24,0.43,163.38,0.0,0.0,47.87,1.1,3.48,52.44,215.82,92.89,0.0,0.0,3.26,0.45,161.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,2.86,6.13,95.84,95.84,0.0,101.97,214.18,0.0,0.0,1.51,215.69,2.2,0.82,37.58,41.79,359.45,0.71,0.18,0.0,0.0,0.89,0.2,8.25,324.76,0.0,0.0,26.77,1.71,6.21,34.7,359.45,134.03,0.0,0.0,3.26,1.2,315.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,3.75,7.76,145.94,145.94,0.0,153.7,362.43,0.0,0.0,2.61,365.04,2.66,1.63,70.74,78.06,596.8,1.17,0.24,0.06,0.0,1.47,0.11,0.0,507.14,0.0,0.0,75.03,3.77,10.87,89.66,596.8,0.0,0.0,0.0,4.01,3.03,505.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,10.32,10.32,297.52,297.52,0.0,307.84,546.38,0.0,0.0,4.57,550.95,7.72,5.47,118.04,131.49,990.28,2.39,0.23,0.0,0.0,2.62,0.07,5.0,793.85,0.0,0.0,176.98,1.5,17.94,196.43,990.28,0.0,0.0,0.0,0.0,0.26,786.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,10.32,10.32,322.78,322.78,0.0,333.11,869.65,1.01,0.0,6.82,877.48,0.0,1.04,160.63,161.76,1372.35,4.74,0.35,0.79,0.26,6.14,0.0,7.0,1312.12,0.0,0.0,23.01,2.28,34.94,60.23,1372.35,0.0,0.0,0.0,0.0,0.1,1298.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,12.67,12.67,509.99,509.99,0.0,522.66,0.0,0.0,4.08,2.96,7.04,1925.64,1.36,24.82,1951.82,2481.53,16.76,0.67,0.0,0.0,17.43,1.42,6.36,25.22,102.92,0.0,191.98,2134.71,26.71,2456.31,2481.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,15.66,15.66,917.77,917.77,0.0,933.43,0.0,3.12,7.42,6.64,17.17,2493.81,0.43,35.38,2529.61,3480.21,20.48,0.52,0.0,0.0,21.0,0.0,11.35,32.36,145.56,0.0,222.06,3013.91,66.33,3447.85,3480.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,17.48,17.48,1363.06,1363.06,0.0,1380.54,0.0,7.96,6.4,7.67,22.03,3053.69,0.41,53.48,3107.58,4510.16,16.4,0.27,0.0,0.0,16.67,0.0,10.94,27.61,375.02,0.0,679.87,3326.5,101.17,4482.55,4510.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,17.53,17.53,1556.16,1556.16,0.0,1573.69,0.0,1.74,7.02,4.54,13.3,3466.77,6.21,56.91,3529.88,5116.87,20.0,0.24,0.0,0.0,20.23,0.0,8.92,29.15,0.0,0.0,667.85,4304.87,115.0,5087.72,5116.87,0.0,6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,17.6,17.6,1775.75,1775.75,23.99,1817.34,346.95,0.0,9.9,5.96,362.8,4466.52,14.91,75.45,4556.88,6737.03,25.35,0.38,0.0,0.0,25.73,2.83,9.46,38.02,280.8,0.0,298.41,5995.7,124.1,6699.01,6737.03,1019.45,3.12,155.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,17.7,17.7,2103.78,2103.78,0.0,2121.49,0.0,0.0,12.31,7.38,19.69,7302.1,11.49,79.2,7392.78,9533.96,29.82,0.21,0.0,0.18,30.21,3.13,12.79,46.13,378.81,0.0,821.51,8143.44,144.07,9487.83,9533.96,1190.24,11.39,217.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,18.01,18.01,2503.27,2503.27,0.0,2521.28,0.0,2.38,24.73,9.39,36.5,9550.7,16.09,87.11,9653.89,12211.67,44.84,1.18,0.09,0.0,46.11,0.0,30.2,76.32,360.24,5.84,938.24,10648.7,182.35,12135.36,12211.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
