Date,Net Sales/Income from operations,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2022-06-30,292.95,292.95,120.36,-36.14,28.96,2.83,188.37,-11.43,3.88,-7.55,0.83,-8.37,0.0,-8.37,-2.11,-6.26,-6.26,136.34,-0.46,0.0
2022-09-30,386.67,386.67,144.75,-19.79,29.23,3.54,202.16,26.79,4.55,31.34,1.51,29.84,0.0,29.84,7.8,22.04,22.04,136.34,0.71,0.7
2022-12-31,679.15,679.15,207.08,5.56,63.9,7.95,380.06,14.59,11.32,25.91,2.59,23.32,-137.28,-113.96,7.22,-121.19,-121.19,13.63,-88.89,0.0
2023-03-31,36.03,36.03,10.9,0.72,3.26,0.46,20.77,-0.08,0.68,0.61,0.14,0.47,-15.25,-14.78,0.37,-15.15,-15.15,13.63,-4.94,-4.94
2023-06-30,426.14,426.14,151.76,-25.47,37.71,4.72,230.67,26.74,11.07,37.82,1.02,36.8,0.0,36.8,9.19,27.61,27.61,136.34,0.9,0.88
2023-09-30,460.19,460.19,134.7,7.53,38.56,4.51,233.78,41.11,7.84,48.95,1.39,47.57,0.0,47.57,9.83,37.74,37.74,136.34,1.23,1.2
2023-12-31,450.89,450.89,127.87,13.95,40.62,5.91,234.31,28.24,10.96,39.2,2.14,37.07,0.0,37.07,8.16,28.91,28.91,321.75,0.91,0.9
2024-03-31,427.17,427.17,138.74,-8.87,41.12,7.73,227.19,21.24,18.25,39.5,2.65,36.84,0.0,36.84,10.13,26.71,26.71,324.24,0.85,0.85
2024-06-30,498.39,498.39,168.37,-25.8,44.75,7.31,272.96,30.81,18.36,49.17,2.57,46.61,0.0,46.61,11.82,34.79,34.79,324.24,1.07,1.07
2024-09-30,417.48,417.48,170.08,-37.5,47.15,8.35,267.3,-37.9,19.48,-18.42,2.66,-21.08,0.0,-21.08,-6.16,-14.92,-14.92,324.82,-0.46,-0.46
2024-12-31,470.55,470.55,138.08,5.5,46.67,10.11,256.27,13.92,18.44,32.36,2.67,29.69,0.0,29.69,8.12,21.58,21.58,324.82,0.68,0.66
