Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Total Non-Current Assets,Cash And Cash Equivalents,Short Term Loans And Advances,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Deferred Tax Assets [Net]
2011-03-31,1428.46,1428.46,0.0,656.39,656.39,2084.85,0.05,0.0,7158.2,58232.96,65391.16,1589.67,4.91,1594.58,69070.64,196.94,0.0,1.32,198.26,68020.19,8.69,68405.59,330.32,334.73,665.05,69070.64,39.8,0.0,0.0,178.44
2012-03-31,1428.85,1428.85,0.0,1576.43,1576.43,3005.28,0.0,0.0,9454.5,57418.59,66873.09,1646.4,129.6,1776.0,71654.37,175.85,0.0,4.38,180.23,70405.15,9.57,70700.29,284.06,670.02,954.08,71654.37,43.15,0.0,0.0,105.34
2013-03-31,1428.94,1428.94,0.0,2535.93,2535.93,3964.87,0.0,0.0,12284.29,56958.4,69242.69,1843.11,175.32,2018.42,75225.98,165.24,0.0,7.0,172.24,73727.78,8.75,73916.58,324.76,984.64,1309.4,75225.98,178.52,0.0,0.0,7.82
2014-03-31,1429.26,1429.26,0.0,2963.67,2963.67,4392.93,0.1,0.0,15990.88,59137.37,75128.25,1606.64,364.62,1971.26,81492.54,196.9,0.0,4.64,201.54,80119.91,11.91,80334.89,193.44,964.21,1157.64,81492.54,198.78,0.0,0.0,1.53
2015-03-31,1431.72,1431.72,0.0,3834.94,3834.94,5266.66,1.17,0.0,21315.67,72477.52,93793.19,1778.16,376.6,2154.76,101215.78,209.03,0.0,5.96,214.99,99492.26,20.11,99727.49,255.48,1232.8,1488.28,101215.78,193.24,0.0,0.0,0.13
2016-03-31,1432.32,1432.32,0.99,3891.39,3892.38,5324.7,0.08,0.0,25250.07,71990.29,97240.36,1821.38,379.73,2201.11,104766.25,212.04,0.0,7.49,219.53,103027.08,44.27,103290.96,200.21,1275.08,1475.29,104766.25,200.65,0.0,0.0,0.07
2017-03-31,1435.35,1435.35,11.78,4960.91,4972.69,6408.04,0.0,0.0,31561.79,83936.47,115498.26,2815.73,20.5,2836.22,124742.52,206.54,0.0,7.23,213.78,121585.97,80.64,121880.44,213.7,2648.39,2862.09,124742.52,0.0,0.0,0.0,0.05
2018-03-31,1435.5,1435.5,21.5,5427.46,5448.95,6884.45,0.0,0.0,39176.87,92312.36,131489.23,3425.41,22.18,3447.6,141821.28,404.48,0.0,17.58,422.06,138540.11,145.06,139107.28,203.74,2510.26,2714.0,141821.28,203.12,0.0,0.0,0.05
2019-03-31,1435.78,1435.78,23.33,5587.63,5610.95,7046.74,0.0,0.0,48679.61,103699.85,152379.47,3638.62,25.51,3664.13,163090.33,462.76,0.0,12.86,475.62,159008.54,270.19,159754.39,661.02,2674.92,3335.94,163090.33,418.17,0.0,0.0,0.04
2020-03-31,1435.86,1435.86,65.52,5782.76,5848.28,7284.14,0.0,0.0,57383.98,88036.75,145420.73,3302.86,27.53,3330.39,156035.26,457.27,0.0,20.35,477.62,151256.2,463.09,152196.9,810.56,3027.8,3838.36,156035.26,702.83,0.0,0.0,0.0
2021-03-31,1435.97,1435.97,68.67,10676.38,10745.05,12181.02,0.55,1200.0,72347.49,127770.4,201317.88,3705.41,23.23,3728.64,217228.1,435.46,0.0,21.73,457.19,212211.86,662.82,213331.87,557.4,3338.82,3896.23,217228.1,1340.38,0.0,0.0,0.0
2022-03-31,1437.31,1437.31,31.43,7694.32,7725.75,9163.06,0.0,1200.0,88285.79,140541.41,230027.2,5223.95,26.0,5249.94,244440.2,387.46,45.51,54.25,487.22,238107.78,940.12,239535.12,669.95,4235.13,4905.07,244440.2,1086.44,95.0,41.0,0.0
2023-03-31,1438.57,1438.57,33.78,8619.23,8653.01,10091.58,0.19,1200.0,103635.02,135232.35,240067.37,5662.44,25.61,5688.05,255847.2,409.73,68.76,117.06,595.55,248220.42,1314.12,250130.09,770.86,4946.25,5717.11,255847.2,811.45,17.0,100.0,0.0
2024-03-31,1440.62,1440.62,38.5,9529.11,9567.61,11008.23,0.35,1200.0,123401.06,157917.27,282518.33,5440.32,32.53,5472.85,298999.76,583.24,85.73,49.04,718.02,289736.1,1760.64,292214.75,836.91,5948.1,6785.01,298999.76,1181.11,140.0,30.0,0.0
2025-03-31,1445.32,1445.32,0.0,10495.98,10495.98,11941.3,0.0,2600.0,138648.01,155657.66,296905.67,5352.43,40.82,5393.25,314240.22,845.06,0.0,0.0,845.06,303993.61,2419.08,307257.75,1006.44,5976.03,6982.47,314240.22,0.0,0.0,0.0,0.0
