Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,5221.87,4.7,5226.57,0.0,251.89,747.77,572.47,3193.08,461.36,0.0,461.36,178.96,282.4,0.0,282.4,90.95,191.45,191.45,3310.85,0.58,0.58,179.02,54.07,152.07,100.0,45.93
2012-12-31,5461.68,5.72,5467.4,0.0,242.68,778.79,613.28,3346.93,485.72,0.0,485.72,204.93,280.79,0.0,280.79,98.1,182.69,182.69,3311.91,0.55,0.55,179.12,54.08,152.07,100.0,45.92
2013-03-31,5933.45,32.01,5965.46,0.0,262.48,799.44,674.37,3582.16,647.01,0.0,647.01,192.89,454.12,0.0,454.12,199.96,254.16,254.16,3314.32,0.77,0.77,179.38,54.12,152.07,100.0,45.88
2013-06-30,6469.8,1.13,6470.93,0.0,272.34,1031.3,600.38,3757.38,809.53,0.0,809.53,181.77,627.76,0.0,627.76,223.38,404.38,404.38,3315.57,1.22,1.22,179.49,54.14,152.07,100.0,45.86
2013-09-30,6233.24,1.56,6234.8,0.0,310.51,972.13,589.39,3616.63,746.14,0.0,746.14,156.7,589.44,0.0,589.44,202.08,387.36,387.36,3316.98,1.17,1.17,179.63,54.15,152.07,100.0,45.85
2013-12-31,6520.94,2.7,6523.64,0.0,306.07,1058.18,655.28,3764.53,739.58,0.0,739.58,121.14,618.44,0.0,618.44,225.21,393.23,393.23,3318.17,1.19,1.19,179.75,54.17,152.07,100.0,45.83
2014-03-31,6886.42,63.68,6950.1,0.0,272.09,1031.63,707.16,4004.4,934.82,0.0,934.82,165.18,769.64,0.0,769.64,265.3,504.34,504.34,3319.63,1.52,1.51,179.9,54.19,152.07,100.0,45.81
2014-06-30,7483.25,1.55,7484.8,0.0,314.83,1049.75,702.85,4218.04,1199.33,0.0,1199.33,207.67,991.66,0.0,991.66,349.12,642.54,642.54,3544.06,1.91,1.9,202.34,57.09,152.07,100.0,42.91
2014-09-30,7492.63,1.4,7494.03,0.0,365.02,1067.41,691.43,4222.97,1147.2,112.68,1259.88,231.24,1028.64,0.0,1028.64,364.04,664.6,664.6,3596.55,1.85,1.85,207.59,57.72,152.07,100.0,42.28
2014-12-31,7937.35,5.47,7942.82,0.0,336.96,1369.78,766.87,4373.52,1095.69,127.99,1223.68,204.05,1019.63,0.0,1019.63,354.19,665.44,665.44,3597.48,1.85,1.84,207.68,57.73,152.07,100.0,42.27
2015-03-31,8338.84,18.98,8357.82,0.0,341.92,1368.07,835.59,4429.61,1382.63,183.44,1566.07,266.92,1299.15,0.0,1299.15,461.89,837.26,837.26,3597.84,2.33,2.32,207.72,57.73,152.07,100.0,42.27
2015-06-30,8754.06,1.68,8755.74,0.0,348.72,1403.41,0.0,5448.44,1555.18,109.4,1664.57,361.97,1302.61,0.0,1302.61,460.0,842.61,842.61,3598.71,2.34,2.33,207.8,57.74,152.07,100.0,42.26
2015-09-30,8638.14,3.25,8641.39,0.0,381.29,1427.32,0.0,5491.14,1341.64,35.98,1377.62,233.53,1144.09,0.0,1144.09,404.5,739.59,739.59,3599.61,2.06,2.05,0.0,0.0,0.0,0.0,0.0
2015-12-31,8963.76,7.28,8971.04,0.0,365.28,1522.75,0.0,5761.31,1321.69,19.6,1341.3,362.5,978.8,0.0,978.8,342.78,636.03,636.03,3600.36,1.77,1.76,0.0,0.0,0.0,0.0,0.0
2016-03-31,9416.6,18.9,9435.5,0.0,378.2,1869.8,0.0,5734.7,1452.8,12.4,1465.2,819.8,645.4,0.0,645.4,217.3,428.1,428.1,3600.5,1.19,1.19,0.0,0.0,0.0,0.0,0.0
2016-06-30,9446.98,2.36,9449.34,0.0,391.58,1911.2,0.0,5989.88,1156.68,51.38,1208.06,959.06,249.0,0.0,249.0,88.59,160.41,160.41,3600.8,0.45,0.44,0.0,0.0,0.0,0.0,0.0
2016-09-30,9223.78,1.51,9225.28,0.0,435.64,1922.02,0.0,5990.28,877.35,61.16,938.51,1003.66,-65.16,0.0,-65.16,-22.36,-42.79,-42.79,3601.03,-0.12,-0.12,0.0,0.0,0.0,0.0,0.0
2016-12-31,8570.5,1.89,8572.39,0.0,405.8,1921.85,0.0,6064.2,180.55,35.76,216.3,966.55,-750.25,0.0,-750.25,-257.97,-492.28,-492.28,3601.69,-1.37,-1.37,0.0,0.0,0.0,0.0,0.0
2017-03-31,8015.3,16.3,8031.6,0.0,392.6,1945.0,0.0,5513.8,180.2,48.8,229.0,1081.6,-852.6,0.0,-852.6,-396.2,-456.4,-456.4,3605.3,-1.27,-1.27,0.0,0.0,0.0,0.0,0.0
