Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2016-06-30,47.02,47.02,3.6,0.84,8.73,33.84,7.4,41.24,0.08,41.15,41.15,13.38,27.77,27.77,28.81,0.0,0.0
2016-09-30,50.79,50.79,4.2,0.86,10.22,35.52,11.09,46.61,0.08,46.53,46.53,16.38,30.14,30.14,28.81,9.26,9.25
2016-12-31,55.12,55.12,4.05,0.91,14.02,36.15,7.33,43.48,-0.21,43.69,43.69,15.09,28.6,28.6,28.61,10.0,0.0
2017-03-31,50.99,50.99,3.73,0.86,12.09,34.32,7.69,42.01,0.17,41.84,41.84,14.79,27.05,27.05,28.61,9.45,8.97
2017-06-30,54.7,54.7,4.63,1.47,7.81,40.79,7.21,47.99,0.06,47.94,47.94,16.56,31.38,31.38,29.12,10.93,10.41
2017-09-30,55.82,55.82,5.83,2.9,3.44,43.64,5.28,48.92,0.05,48.87,48.87,16.21,32.66,32.66,30.33,11.23,10.75
2017-12-31,64.75,64.75,7.46,2.97,4.75,49.56,5.46,55.03,0.07,54.95,54.95,18.76,36.2,36.2,30.33,12.01,11.99
2018-03-31,55.18,55.18,6.15,2.93,5.5,40.6,7.68,48.28,0.05,48.23,48.23,16.79,31.45,31.45,30.16,10.43,10.41
2018-06-30,66.97,66.97,6.11,2.58,6.38,51.9,7.22,59.12,0.06,59.06,59.06,17.17,41.89,41.89,30.16,13.89,13.87
2018-09-30,66.86,66.86,5.93,2.64,6.25,52.05,8.35,60.4,0.06,60.34,60.34,17.67,42.67,42.67,30.17,1.41,1.41
2018-12-31,63.8,63.8,6.63,2.65,8.28,46.25,13.12,59.37,0.06,59.31,59.31,16.69,42.62,42.62,30.18,1.41,1.41
2019-03-31,56.45,56.45,6.17,2.55,5.52,42.21,11.39,53.6,0.56,53.04,53.04,15.18,37.85,37.85,30.19,1.25,1.25
2019-06-30,60.55,60.55,7.32,3.26,3.84,46.14,9.11,55.25,0.54,54.71,54.71,15.12,39.59,39.59,29.82,1.33,1.32
2019-09-30,67.45,67.45,8.24,3.35,5.96,49.9,11.27,61.17,0.52,60.65,60.65,11.83,48.82,48.82,29.82,1.64,1.64
2019-12-31,59.68,59.68,7.94,4.09,4.09,43.57,9.7,53.28,0.0,53.28,53.28,10.97,42.3,42.3,29.82,1.42,1.42
2020-03-31,69.34,69.34,9.03,4.55,6.15,49.61,10.04,59.65,0.51,59.15,59.15,11.95,47.2,47.2,29.83,1.58,1.58
2020-06-30,66.31,66.31,9.23,4.4,8.15,44.53,14.23,58.76,0.54,58.21,58.21,15.33,42.88,42.88,29.84,1.44,1.44
2020-09-30,70.77,70.77,10.33,4.06,2.89,53.49,8.59,62.07,0.51,61.56,61.56,14.86,46.7,46.7,29.84,1.57,1.57
2020-12-31,85.02,85.02,8.95,3.99,3.95,68.13,10.67,78.8,0.52,78.28,78.28,18.2,60.08,60.08,29.85,2.01,2.01
