Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Inventories,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,26.42,26.42,3.23,3.23,0.0,29.65,0.0,0.0,0.0,0.0,0.09,0.14,1.73,2.13,31.78,0.31,0.01,0.0,0.0,0.0,0.32,0.0,0.0,25.64,0.0,0.4,2.12,3.62,0.0,6.14,31.78,0.0,0.0,0.0,0.01,0.0,18.03,0.16,25.21,0.0,0.0,0.18,25.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,31.62,31.62,20.7,20.7,0.0,52.33,0.0,0.0,0.0,0.0,1.57,0.05,2.34,5.6,57.93,0.4,0.31,0.0,0.0,0.0,0.71,0.0,0.0,41.02,0.0,1.49,2.03,13.38,0.0,16.91,57.93,3.5,0.0,0.0,0.26,0.0,18.03,0.16,40.2,0.0,0.0,1.65,40.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,45.1,45.1,123.83,123.83,0.0,168.94,80.0,0.0,0.0,80.0,2.39,0.61,7.06,30.35,283.71,1.91,1.61,0.0,0.0,0.0,3.52,0.2,0.0,103.97,0.0,5.49,2.09,172.16,0.0,179.74,283.71,73.0,0.09,0.44,0.57,0.0,18.03,0.0,100.25,0.0,4.42,20.3,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,50.17,50.17,235.18,235.18,0.0,285.35,36.27,0.0,0.0,36.29,44.68,221.57,22.95,340.23,666.29,44.3,4.41,0.0,0.0,0.0,48.71,0.58,0.0,220.75,0.0,130.72,95.08,219.74,0.0,445.54,666.29,8.0,0.8,0.58,0.34,0.0,18.03,0.0,171.4,0.0,4.42,51.03,171.45,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,57.1,57.1,932.75,932.75,0.0,989.86,15.57,0.0,0.0,15.57,115.0,305.55,209.3,786.6,1851.79,56.31,6.93,0.49,0.0,0.0,63.73,2.59,0.0,982.0,0.0,342.81,214.37,311.3,0.0,869.79,1851.79,8.0,2.74,0.0,3.39,0.0,18.03,0.0,915.68,0.0,59.77,156.74,915.68,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,56.68,56.68,980.13,980.13,0.0,1036.81,1.81,0.0,0.0,1.81,0.0,383.11,169.56,701.31,1751.3,90.12,8.61,4.51,0.0,0.0,103.25,3.82,0.0,976.37,0.0,103.53,430.25,240.59,0.0,774.93,1751.3,20.85,4.16,0.67,0.06,0.0,18.03,0.03,869.28,0.0,11.37,148.64,869.31,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,57.04,57.04,1050.67,1050.67,0.0,1107.71,1.75,0.0,0.0,1.75,496.0,702.06,323.75,1754.12,2863.98,40.46,7.74,1.75,0.0,0.0,49.95,9.64,0.0,1163.82,0.0,577.5,561.84,507.07,0.0,1700.17,2863.98,24.17,3.37,0.62,3.38,0.0,18.03,3.27,1101.49,0.0,0.4,232.31,1104.22,0.0,53.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,57.28,57.28,1031.36,1031.36,0.0,1088.64,0.0,0.25,0.0,0.25,465.56,877.59,69.96,1413.52,2502.74,37.58,1.51,0.92,0.0,0.0,40.01,10.73,0.0,1047.88,101.05,423.46,626.79,71.36,178.99,1454.86,2502.74,15.77,15.51,0.62,0.0,0.0,18.03,0.0,899.04,101.05,0.33,0.41,899.04,98.1,53.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,57.8,57.8,1219.48,1219.48,0.0,1277.28,0.0,0.39,0.0,0.39,16.8,721.22,225.66,967.59,2245.27,25.68,0.43,0.11,0.0,0.0,26.22,19.81,0.0,1367.3,1.0,252.9,457.82,9.92,116.79,877.97,2245.27,70.31,21.09,0.0,0.0,1.0,18.03,0.0,1208.26,1.0,0.0,3.92,1208.26,113.02,39.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,59.05,59.05,1250.98,1250.98,0.0,1310.03,0.0,0.37,0.78,1.15,0.0,616.73,130.26,751.42,2062.6,14.71,0.09,0.43,0.0,0.0,15.23,19.64,1.46,1400.71,45.28,165.7,413.55,1.17,36.18,661.88,2062.6,60.55,24.44,0.14,0.0,0.0,18.03,0.0,1246.74,41.26,0.0,4.42,1246.74,117.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
