Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2018-06-30,111.5,111.5,51.5,0.7,112.2,-52.9,4.2,-48.7,0.0,-48.7,0.0,-48.7,6.7,-55.4,-55.4,24.7,-26.04,-26.04
2018-09-30,119.9,119.9,49.4,1.0,47.5,22.0,8.5,30.5,0.0,30.5,0.0,30.5,9.5,21.0,21.0,28.6,8.38,7.3
2018-12-31,130.7,130.7,55.4,1.1,46.9,27.3,13.3,40.6,0.0,40.6,0.0,40.6,11.8,28.8,28.8,28.6,10.09,9.98
2019-03-31,135.1,135.1,65.5,1.2,54.8,13.6,10.0,23.6,0.0,23.6,0.0,23.6,5.7,17.9,17.9,28.59,6.27,6.24
2019-06-30,144.3,144.3,58.5,4.4,48.3,33.1,14.3,47.4,0.4,47.0,0.0,47.0,13.8,33.2,33.2,28.8,11.56,11.36
2019-09-30,152.9,152.9,66.2,5.0,49.5,32.2,20.3,52.5,0.7,51.8,0.0,51.8,42.2,9.6,9.6,28.8,3.33,3.26
2019-12-31,160.5,160.5,67.8,5.7,48.7,38.3,16.5,54.8,0.5,54.3,0.0,54.3,-9.2,63.5,63.5,28.9,21.95,21.61
2020-03-31,165.8,165.8,62.3,5.8,49.4,48.3,17.3,65.6,1.7,63.9,-6.9,57.0,17.0,40.0,40.0,28.9,13.84,13.62
2020-06-30,151.3,151.3,44.8,4.3,31.2,71.0,33.4,104.4,1.9,102.5,0.0,102.5,26.0,76.5,76.5,28.9,26.44,26.01
2020-09-30,161.8,161.8,47.2,4.3,31.7,78.6,21.0,99.6,1.7,97.9,0.0,97.9,23.4,74.5,74.5,28.9,25.78,25.78
2020-12-31,172.9,172.9,50.7,3.8,33.5,84.9,24.5,109.4,1.6,107.8,0.0,107.8,26.3,81.5,81.5,29.1,28.09,28.09
2021-03-31,179.05,179.05,56.02,3.47,36.59,82.97,6.26,89.23,1.46,87.77,0.0,87.77,33.56,54.21,54.21,30.3,18.31,18.06
2021-06-30,181.1,181.1,54.0,3.2,37.4,86.5,29.6,116.1,1.4,114.7,0.0,114.7,24.0,90.7,90.7,30.3,29.92,29.52
2021-09-30,181.6,181.6,59.1,2.8,38.2,81.5,31.4,112.9,1.4,111.5,0.0,111.5,26.4,85.1,85.1,30.3,28.02,27.66
2021-12-31,187.4,187.4,63.5,3.0,44.1,76.8,21.9,98.7,1.3,97.4,0.0,97.4,23.1,74.3,74.3,30.6,24.39,24.18
2022-03-31,200.7,200.7,86.2,2.9,56.2,55.4,24.9,80.3,1.3,79.0,0.0,79.0,19.3,59.7,59.7,30.6,19.55,19.55
2022-06-30,213.31,213.31,87.97,3.47,65.55,56.31,-2.74,53.58,1.22,52.35,0.0,52.35,3.49,48.86,48.86,30.62,15.99,15.9
2022-09-30,229.1,229.1,94.3,4.7,69.6,60.5,36.9,97.4,1.2,96.2,0.0,96.2,22.0,74.2,74.2,30.6,24.38,24.28
2022-12-31,240.2,240.2,101.6,5.6,68.8,64.2,47.1,111.3,1.1,110.2,0.0,110.2,28.6,81.6,81.6,30.6,26.67,26.66
2023-03-31,256.2,256.2,115.3,5.5,74.0,61.4,31.6,93.0,1.2,91.8,-5.3,86.5,19.0,67.5,67.5,30.6,22.11,22.09
2023-06-30,267.6,267.6,116.4,4.5,75.3,71.4,53.7,125.1,1.1,124.0,0.0,124.0,28.7,95.3,95.3,61.2,15.58,15.55
2023-09-30,280.7,280.7,123.8,5.1,76.3,75.5,32.4,107.9,1.1,106.8,0.0,106.8,23.9,82.9,82.9,59.9,13.57,13.54
2023-12-31,291.4,291.4,128.9,5.3,75.5,81.7,38.6,120.3,1.1,119.2,0.0,119.2,27.6,91.6,91.6,59.9,15.29,15.26
2024-03-31,299.3,299.3,138.3,9.7,70.6,80.7,44.9,125.6,1.0,124.6,0.0,124.6,32.3,92.3,92.3,59.9,15.4,15.4
2024-06-30,315.3,315.3,131.3,5.2,66.7,112.1,50.6,162.7,1.1,161.6,0.0,161.6,37.6,124.0,124.0,60.0,20.69,20.65
2024-09-30,331.8,331.8,135.3,5.2,77.0,114.3,62.2,176.5,0.9,175.6,0.0,175.6,48.6,127.0,127.0,60.0,21.17,21.12
2024-12-31,337.2,337.2,140.2,5.1,53.0,138.9,22.9,161.8,0.9,160.9,0.0,160.9,36.0,124.9,124.9,60.0,20.84,20.78
2025-03-31,335.8,335.8,145.8,5.0,57.3,127.7,148.1,275.8,0.9,274.9,0.0,274.9,43.6,231.3,231.3,60.0,38.55,38.55
