Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Preference Share Capital
2011-03-31,429.77,829.77,1194.56,7496.77,8691.33,9521.1,105804.18,2100.37,4292.65,121718.31,6877.94,1684.37,34783.76,75249.91,1606.04,1516.29,121718.31,1863.0,19311.0,13.56,11.02,2.54,740.31,1.0,397.04,0.53,1.0,2545.51,35816.66,400.0
2012-03-31,429.77,829.77,1164.03,8807.63,9971.67,10801.44,120803.8,4872.86,4941.1,141419.2,6318.87,2494.49,37976.03,90323.6,1630.69,2675.52,141419.2,1958.0,18782.0,13.47,11.13,2.34,1850.78,2.0,1196.83,1.33,1.0,6734.57,50434.59,400.0
2013-03-31,429.77,829.77,1133.59,10009.07,11142.66,11972.43,141980.16,2862.56,6007.46,162822.6,7064.24,2574.44,41804.98,105642.55,1690.51,4045.88,162822.6,2092.0,18870.0,13.08,10.88,2.2,3565.48,3.0,2384.3,2.26,2.0,6343.85,39293.48,400.0
2014-03-31,464.85,464.85,2335.46,11070.73,13406.19,13871.04,162274.82,4963.87,6216.97,187326.7,7757.68,2732.86,46910.42,122208.99,2932.18,4784.58,187326.7,2253.0,19429.0,13.1,10.51,2.59,4562.2,4.0,2763.65,2.26,2.0,6503.78,46713.66,0.0
2015-03-31,480.29,480.29,2275.52,12077.45,14352.96,14833.26,169225.27,2646.09,6131.35,192835.97,8301.07,4780.1,45898.61,125863.55,2968.73,5023.92,192835.97,2412.0,20294.0,12.86,10.61,2.25,5670.44,4.0,3146.95,2.5,3.0,5940.17,41028.64,0.0
2016-03-31,480.29,480.29,2781.43,12998.06,15779.49,16259.78,178285.84,3509.32,5655.45,203710.38,9174.45,2824.84,53089.31,129049.08,3511.07,6061.63,203710.38,2565.0,20140.0,13.2,12.08,1.12,8827.04,7.0,5419.4,4.2,4.0,8337.1,32903.13,0.0
2017-03-31,480.29,480.29,2700.42,13981.3,16681.72,17162.01,182509.28,12636.89,5924.97,218233.15,5588.7,4453.02,67551.79,127699.28,3442.6,9497.75,218233.15,2682.0,20924.0,13.64,12.2,1.44,9865.14,7.0,56096.57,4.39,4.0,3230.56,32592.86,0.0
2018-03-31,480.29,480.29,2621.44,15346.69,17968.13,18448.42,208294.22,19760.17,6213.01,252715.82,10501.6,2426.19,71397.77,156568.93,3418.35,8402.99,252715.82,2820.0,20065.0,12.55,11.33,1.22,11990.14,7.0,5959.56,3.81,4.0,4607.55,33703.86,0.0
2019-03-31,480.29,480.29,3095.04,15813.36,18908.4,19388.69,242075.95,12137.54,6463.09,280065.27,11701.86,8318.52,64992.17,181261.91,3961.4,9829.4,280065.27,2875.0,19604.0,13.21,11.29,1.92,13353.45,7.0,6793.11,3.75,4.0,5394.56,36194.11,0.0
2020-03-31,608.8,608.8,2987.84,18492.62,21480.47,22089.27,260225.9,20830.31,6322.7,309468.17,5736.12,8188.56,81241.69,197887.01,3895.74,12519.05,309468.17,2890.0,18758.0,14.12,12.08,2.04,14150.84,7.0,6184.24,3.13,3.0,599.5,42576.86,0.0
2021-03-31,1129.37,1129.37,13124.32,24158.26,37282.58,38411.94,538071.11,26174.6,23347.36,626005.02,27545.08,26514.8,176536.97,364010.24,7376.31,24021.62,626005.02,6007.0,41629.0,15.71,11.93,3.78,38455.35,10.0,12271.13,3.37,3.0,12620.73,293533.46,0.0
2022-03-31,1245.44,1245.44,0.0,42463.36,42463.36,43708.8,593617.81,17144.31,17197.13,671668.05,24054.41,55861.64,174558.59,389186.06,7683.71,20323.64,671668.05,0.0,0.0,16.53,0.0,0.0,35214.25,8.0,8848.65,2.27,1.0,0.0,0.0,0.0
2023-03-31,1245.44,1245.44,0.0,46727.31,46727.31,47972.75,621165.76,22073.03,19289.19,710500.73,32692.63,17439.95,185988.25,449296.73,7459.04,17624.13,710500.73,0.0,0.0,16.49,0.0,0.0,28179.53,6.0,4043.07,0.9,1.0,0.0,0.0,0.0
2024-03-31,1346.96,1346.96,0.0,57041.16,57041.16,58388.12,688000.0,23131.49,23099.51,792619.12,32702.76,9406.37,212554.48,514889.07,7515.47,15550.97,792619.12,0.0,0.0,16.44,0.0,0.0,211106.31,3.95,2222.58,0.43,1.07,0.0,0.0,0.0
2025-03-31,1346.96,1346.96,0.0,67962.98,67962.98,69309.94,737153.56,41507.93,25439.23,873410.66,31947.65,22920.23,225303.12,571071.19,8826.69,13341.78,873410.66,0.0,0.0,17.94,0.0,0.0,18178.86,3.09,1109.56,0.19,1.32,0.0,0.0,0.0
