headline,link,date_str,parsed_date_iso,sentiment_score
"Amid crisis, Promoter Ashok Hinduja reaffirms IIHL’s support for IndusInd Bank",https://www.financialexpress.com/business/banking-finance-amid-crisis-promoter-ashok-hinduja-reaffirms-iihls-support-for-indusind-bank-3853736/,2025-05-22T16:01:37+05:30,2025-05-22T10:31:37,-0.34
"SEBI probing possible violations in IndusInd Bank case, says Tuhin Kanta",https://www.financialexpress.com/business/banking-finance-sebi-probing-possible-violations-in-indusind-bank-case-says-tuhin-kanta-3853652/,2025-05-22T15:11:40+05:30,2025-05-22T09:41:40,-0.5267
One-offs or red flags? What’s next for IndusInd Bank as brokerages call for a ‘complete overhaul’,https://www.financialexpress.com/business/banking-finance-one-offs-or-red-flags-whats-next-for-indusind-bank-as-brokerages-call-for-a-complete-overhaul-3853411/,2025-05-22T11:54:17+05:30,2025-05-22T06:24:17,0.0
"IndusInd Bank shares recover after sliding over 5% on reporting net loss of Rs 2,300 crore in Q4",https://www.financialexpress.com/market/indusind-bank-shares-slide-over-5-after-net-loss-of-rs-2300-crore-in-q4-3853169/,2025-05-22T09:36:07+05:30,2025-05-22T04:06:07,-0.0258
"From IndusInd Bank, IndiGo, ONGC to RVNL- Here are 9 stocks to watch",https://www.financialexpress.com/market/stocks-to-watch-indusind-bank-ongc-ntpc-green-energy-indigo-tata-consultancy-services-pfc-rvnl-kpit-tech-sonata-software-3853047/,2025-05-22T06:48:12+05:30,2025-05-22T01:18:12,0.0
Derivative fraud drags IndusInd Q4 to new low,https://www.financialexpress.com/business/banking-finance-derivative-fraud-drags-indusind-q4-to-new-low-3852931/,2025-05-21T22:26:53+05:30,2025-05-21T16:56:53,-0.765
IndusInd Bank – Is the worst over for the bank?,https://www.financialexpress.com/market/stock-insights/indusind-bank-is-the-worst-over-for-the-bank/3852793/,2025-05-21T20:21:03+05:30,2025-05-21T14:51:03,-0.6249
IndusInd Bank to submit CEO candidate recommendations to RBI before June 30 deadline,https://www.financialexpress.com/business/banking-finance-indusind-bank-to-submit-ceo-candidate-recommendations-to-rbi-before-june-30-deadline-3852748/,2025-05-21T19:54:43+05:30,2025-05-21T14:24:43,0.0
"IndusInd Bank suspects fraud, says ‘certain employees’ may be involved in Rs 1,269 crore ‘accounting discrepancy’",https://www.financialexpress.com/business/banking-finance-indusind-bank-suspects-fraud-says-certain-employees-may-be-involved-in-rs-1269-crore-accounting-discrepancy-3852595/,2025-05-21T19:01:19+05:30,2025-05-21T13:31:19,-0.7351
"Shadowed by financial discrepancies: IndusInd Bank posts largest-ever quarterly loss at Rs 2,328.92 crore",https://www.financialexpress.com/business/industry-shadowed-by-financial-discrepancies-indusind-bank-posts-loss-of-rs-2328-92-crore-for-q4fy25-3852671/,2025-05-21T19:57:23+05:30,2025-05-21T14:27:23,-0.3182
"Markets off day’s high: Nifty near 24,800, Sensex up 400 points",https://www.financialexpress.com/market/markets-open-in-green-nifty-above-24700-and-sensex-up-200-points-sun-pharma-hdfc-bank-among-top-gainers-3851858/,2025-05-21T13:36:46+05:30,2025-05-21T08:06:46,0.4019
Google Trends: These are top 4 most searched corporate developments in last 7 days,https://www.financialexpress.com/business/industry-google-trends-these-are-top-4-most-searched-corporate-developments-in-last-7-days-3848889/,2025-05-18T12:07:10+05:30,2025-05-18T06:37:10,0.2023
Promoter pledge up 0.86% to Rs 1.57L crore in March quarter,https://www.financialexpress.com/market/promoter-pledge-up-0-86-to-rs-157l-crore-in-march-quarter-3847642/,2025-05-16T21:34:36+05:30,2025-05-16T16:04:36,0.0
"IndusInd Bank’s Rs 1,269 crore accounting error: Tracking the fallout since April 15",https://www.financialexpress.com/business/banking-finance-indusind-banks-rs-1269-crore-accounting-error-tracking-the-fallout-since-april-15nbsp-3847538/,2025-05-16T19:34:38+05:30,2025-05-16T14:04:38,-0.4019
IndusInd Bank slips 2% as accounting woes continue: Brokerages downgrade stock,https://www.financialexpress.com/market/indusind-banks-accounting-woes-continue-whats-the-big-call-on-the-shares-now-3846748/,2025-05-16T09:26:39+05:30,2025-05-16T03:56:39,-0.4404
"IndusInd bank probes fresh accounting issue, finds Rs 674 crore that was tagged as ‘interest’",https://www.financialexpress.com/business/banking-finance/indusind-bank-clarifies-accounting-discrepancies-flags-rs-674-crore-of-incorrect-income/3846449/,2025-05-15T22:17:34+05:30,2025-05-15T16:47:34,0.3182
Crisil assigns ‘watch negative’ on IndusInd debt instruments,https://www.financialexpress.com/business/banking-finance-crisil-assigns-watch-negative-on-indusind-debt-instruments-3837789/,2025-05-09T05:22:17+05:30,2025-05-08T23:52:17,-0.3612
ICAI to partner with SEBI to detect financial frauds post IndusInd Bank and Gensol fiasco,https://www.financialexpress.com/market/icai-to-partner-with-sebito-detect-financial-frauds-post-indusind-bank-and-gensol-fiasco-3831665/,2025-05-04T05:12:18+05:30,2025-05-03T23:42:18,-0.765
"Markets end flat after choppy session, Sensex closes down 600 points from Intra-day highs; Nifty below 24,400 – 5 key highlights today",https://www.financialexpress.com/market/markets-end-flat-after-choppy-session-sensex-closes-down-600-points-from-intra-day-highs-nifty-below-24400-5-key-highlights-today-3830345/,2025-05-02T15:39:26+05:30,2025-05-02T10:09:26,0.4019
Beware of silent traps: Saurabh Mukherjea lists out 5 red flags every investor must watch out for,https://www.financialexpress.com/market/beware-of-silent-traps-saurabh-mukherjea-lists-out-5-red-flags-every-investor-must-watch-out-for-3829961/,2025-05-03T13:17:20+05:30,2025-05-03T07:47:20,0.0
IndusInd Bank CEO resigns,https://www.financialexpress.com/business/industry/nbspindusind-bank-ceo-resigns/3826942/,2025-05-01T13:46:26+05:30,2025-05-01T08:16:26,-0.3182
"Sumant Kathpalia’s exit from IndusInd Bank: Baptism by fire, burnt by lapses",https://www.financialexpress.com/business/banking-finance/baptism-by-fire-burnt-by-lapses/3826954/,2025-04-30T11:29:38+05:30,2025-04-30T05:59:38,-0.34
"IndusInd Bank shares slide 3%; CEO steps down, interim committee to take charge",https://www.financialexpress.com/market/indusind-bank-shares-in-focus-ceo-steps-down-interim-committee-to-take-charge-3827161/,2025-04-30T09:14:10+05:30,2025-04-30T03:44:10,0.296
Stocks to watch: From SBI to Bajaj Finance – Here’s a list of 10 stocks in focus today,https://www.financialexpress.com/market/stocks-to-watch-from-sbi-to-bajaj-finance-heres-a-list-of-10-stocks-in-focus-today-3826932/,2025-04-30T06:25:48+05:30,2025-04-30T00:55:48,0.0
More exits at IndusInd Bank; Sumant Kathpalia steps down as MD and CEO a day after his deputy,https://www.financialexpress.com/business/industry-more-exits-at-indusind-bank-sumant-kathpalia-steps-down-as-md-and-ceo-a-day-after-his-deputy-3826737/,2025-04-29T19:10:18+05:30,2025-04-29T13:40:18,0.0
Stocks to watch: From IndusInd Bank to Gensol Engineering – Here’s a list of 10 stocks in focus today,https://www.financialexpress.com/market/stocks-to-watch-from-indusind-bank-to-gensol-engineering-heres-a-list-of-10-stocks-in-focus-today-3825868/,2025-04-29T06:32:13+05:30,2025-04-29T01:02:13,0.0
IndusInd Bank deputy CEO resigns,https://www.financialexpress.com/business/banking-finance-indusind-bank-deputy-ceo-resigns-3825776/,2025-04-28T22:45:10+05:30,2025-04-28T17:15:10,-0.3182
IndusInd Bank deputy CEO Arun Khurana resigns after probe highlights accounting blunder,https://www.financialexpress.com/business/industry-indusind-bank-deputy-ceo-arun-khurana-resigns-after-probe-highlights-accounting-blunder-3825738/,2025-04-28T21:59:01+05:30,2025-04-28T16:29:01,-0.3182
IndusInd Bank: Notional profits in derivatives led to accounting errors,https://www.financialexpress.com/business/banking-finance-indusind-bank-notional-profits-in-derivatives-led-to-accounting-errors-3824616/,2025-04-28T05:06:03+05:30,2025-04-27T23:36:03,0.128
"Markets skid on India-Pak tension, Nifty closes below 200-DMA, Sensex down 680 points; 3% cut in small and midcaps – 8 key highlights",https://www.financialexpress.com/market/markets-skid-on-india-pak-tension-nifty-closes-below-crucial-200-dma-sensex-down-680-points-3-cut-in-small-and-midcaps-3822308/,2025-04-25T19:02:31+05:30,2025-04-25T13:32:31,-0.1779
"Markets take a breather after 7-day rally: Sensex, Nifty end lower; HUL slides 4%- 7 key highlights of trade today",https://www.financialexpress.com/market/markets-take-a-breather-after-7-day-rally-sensex-nifty-end-lower-hul-slides-4-7-key-highlights-of-trade-today-3820666/,2025-04-24T15:51:16+05:30,2025-04-24T10:21:16,0.128
"IndusInd Bank refutes media reports, says EY not appointed for a forensic audit",https://www.financialexpress.com/business/banking-finance-indusind-bank-refutes-media-reports-says-ey-not-appointed-for-a-forensic-audit-3818174/,2025-04-22T16:38:25+05:30,2025-04-22T11:08:25,0.0
Google Trends: These are top 4 most searched banking companies in last 7 days,https://www.financialexpress.com/business/industry-google-trends-these-are-top-4-most-searched-banking-companies-in-last-7-days-3817909/,2025-04-22T13:21:11+05:30,2025-04-22T07:51:11,0.2023
IndusInd Bank shares slide 6%; Reports indicate EY to undertake second audit,https://www.financialexpress.com/market/indusind-bank-shares-slide-6-reports-indicate-ey-to-undertake-second-audit-3817657/,2025-04-22T10:05:51+05:30,2025-04-22T04:35:51,0.296
"Markets end in the green; Nifty closed above 23,400 first time in April – 10 key highlights of trade today",https://www.financialexpress.com/market/markets-end-in-the-green-nifty-closed-above-23400-first-time-in-april-10-key-highlights-of-trade-today-3811381/,2025-04-16T15:41:02+05:30,2025-04-16T10:11:02,0.4019
IndusInd Bank share surges over 4%: 3 reasons fuelling the rally,https://www.financialexpress.com/market/indusind-bank-share-surges-over-4-3-reasons-fuelling-the-rally-3811019/,2025-04-16T11:35:47+05:30,2025-04-16T06:05:47,0.296
"Stocks to watch: From IndusInd Bank, Gensol Engineering to Vedanta, IREDA; List of 10 stocks in news today",https://www.financialexpress.com/market/stocks-to-watch-from-indusind-bank-gensol-engineering-to-vedanta-ireda-list-of-10-stocks-in-news-today-3810751/,2025-04-16T06:33:21+05:30,2025-04-16T01:03:21,0.0
From Tata Motors to Jubilant FoodWorks – Here are 9 stocks to watch,https://www.financialexpress.com/market/stocks-to-watch-tata-motors-iifl-finance-delhivery-indian-bank-indusind-bank-tata-steel-yes-bank-aavas-financiers-jubilant-foodworks-3801225/,2025-04-07T06:23:38+05:30,2025-04-07T00:53:38,0.6124
"Markets snap 7-day winning streak; Nifty slips below 23,400, Sensex down 700 points",https://www.financialexpress.com/market/markets-snap-7-day-winning-streak-nifty-slips-below-23400-sensex-down-700-points-3789310/,2025-03-26T16:04:04+05:30,2025-03-26T10:34:04,0.7269
Time to book profits on longs and look for…,https://www.financialexpress.com/market/stock-insights/time-to-book-profits-on-longs-and-look-for/3788663/,2025-03-26T06:02:00+05:30,2025-03-26T00:32:00,0.4404
IndusInd Bank gets Rs 30.15 crore GST notice over alleged tax shortfall,https://www.financialexpress.com/business/banking-finance-indusind-bank-gets-rs-21-62-crore-gst-notice-over-alleged-tax-shortfall-3787655/,2025-03-25T14:48:25+05:30,2025-03-25T09:18:25,0.0
IndusInd Bank appoints Grant Thornton for fraud checks in accounting discrepancy case: Sources,https://www.financialexpress.com/business/banking-finance-indusind-bank-appoints-grant-thornton-for-fraud-checks-in-accounting-discrepancy-case-sources-3785570/,2025-03-23T12:12:42+05:30,2025-03-23T06:42:42,-0.3182
Promoter pledging: How much is too much? Key insights and companies with high pledges,https://www.financialexpress.com/business/industry-promoter-pledging-how-much-is-too-much-key-insights-and-companies-with-high-pledges-3782565/,2025-03-20T10:46:44+05:30,2025-03-20T05:16:44,0.0
"IndusInd Bank hasn’t sought any capital; ‘opportune time’ for promoters to increase stake, says Ashok Hinduja",https://www.financialexpress.com/business/banking-finance-indusind-bank-hasnt-sought-any-capital-opportune-time-for-promoters-to-increase-stake-says-ashok-hindujanbsp-3781183/,2025-03-18T23:37:58+05:30,2025-03-18T18:07:58,0.3182
Why is IndusInd Bank surging 5%? 3 reasons are…,https://www.financialexpress.com/market/why-is-indusind-bank-surging-5-3-reasons-are-3779075/,2025-03-17T10:03:12+05:30,2025-03-17T04:33:12,0.0
Stocks To Watch: From IndusInd Bank to Infosys- Here’s a list of 11 stocks in news today,https://www.financialexpress.com/market/stocks-to-watch-from-indusind-bank-to-infosys-heres-a-list-of-11-stocks-in-news-today-3778859/,2025-03-17T06:31:24+05:30,2025-03-17T01:01:24,0.0
"IndusInd Bank well capitalised, says RBI",https://www.financialexpress.com/policy/economy/indusind-bank-well-capitalised-says-rbi/3778269/,2025-03-16T02:15:00+05:30,2025-03-15T20:45:00,0.2732
