Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Interest Earned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Int. /Disc. on Adv/Bills,8339.82,10493.24,10406.12,10351.97,10208.81,9694.47,9378.86,8837.17,8304.14,7772.53,7147.76,6720.09,6388.41,6334.99,6238.86,6181.18,6120.95,5910.66,5987.74,6066.0,6223.42,6082.32,5948.67,5753.84,4894.74,4763.22,4452.1,4146.62,3669.32,3469.61,3290.28,3270.7,2989.67,2990.45,2816.85,2682.14,2557.81,2367.77,2212.55,2106.43,2016.76,1953.85,1908.92,1837.38,1765.8,1738.65,1611.31,1511.59,1461.5,1454.81
(b) Income on Investment,1997.96,2005.73,1857.03,1802.31,1653.05,1589.19,1560.16,1399.79,1297.13,1212.82,1128.34,1053.34,1038.37,1023.16,992.97,998.38,961.52,930.72,952.35,1001.52,1030.47,1106.41,1075.37,1069.94,979.45,918.55,918.31,861.03,830.51,749.46,767.94,726.47,644.05,619.79,563.21,527.06,559.93,502.09,450.01,413.91,445.86,411.96,411.27,411.33,375.76,368.45,365.47,367.35,331.3,324.56
(c) Int. on balances With RBI,242.25,248.5,371.57,344.29,288.45,235.95,254.24,378.43,340.25,383.95,370.56,347.53,322.88,315.76,350.06,299.66,270.68,216.25,169.64,20.8,51.51,29.73,62.0,48.78,27.98,27.93,27.44,18.68,75.37,36.8,110.8,98.5,153.85,60.88,60.61,52.93,57.9,97.66,97.95,157.2,99.56,70.91,58.37,48.46,37.59,36.26,41.64,33.01,29.75,21.09
(d) Others,53.82,53.3,51.56,48.2,48.22,52.64,54.52,114.26,79.19,88.1,61.37,60.81,110.23,63.58,68.47,95.48,66.21,183.87,67.48,73.41,81.17,66.07,64.32,88.81,89.27,53.77,40.24,41.82,74.91,30.91,39.33,39.84,42.44,28.21,28.63,29.56,31.72,32.03,37.26,45.96,16.77,0.23,0.2,0.14,0.12,0.13,0.15,0.25,0.22,0.03
Other Income,708.8,2350.24,2183.9,2441.25,2500.48,2395.85,2281.75,2209.77,2150.51,2076.34,2010.82,1928.7,1902.0,1876.78,1837.2,1781.07,1780.12,1705.46,1553.84,1519.19,1772.0,1789.4,1726.66,1663.25,1558.99,1468.85,1317.28,1301.6,1208.51,1186.76,1187.57,1167.26,1211.3,1016.8,970.42,972.97,912.8,839.0,783.54,761.61,658.48,610.75,558.27,576.37,522.92,480.27,416.73,470.61,367.89,355.8
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expended,7585.51,7572.68,7339.02,7139.14,6822.09,6276.62,6171.05,5862.54,5351.25,4962.06,4405.98,4056.51,3874.73,3943.92,3991.96,4010.99,3884.75,3835.4,3899.22,3852.54,4155.38,4210.51,4240.82,4117.38,3759.06,3475.38,3234.81,2945.72,2642.52,2391.97,2387.36,2361.45,2162.56,2120.91,2008.99,1935.27,1939.15,1826.13,1703.49,1742.84,1653.81,1575.58,1545.65,1496.65,1398.06,1413.41,1318.63,1232.72,1161.54,1222.69
Employees Cost,1099.5,1069.54,1092.68,1039.65,1049.11,1026.69,956.6,862.88,836.25,799.18,734.72,660.37,658.52,620.02,601.63,608.17,595.07,542.7,524.11,551.63,495.69,550.1,515.47,647.22,481.24,452.05,458.18,462.04,453.52,459.96,445.04,422.17,394.3,394.04,375.79,356.89,336.41,326.7,300.73,272.25,265.38,255.54,239.31,220.25,207.92,205.78,201.98,193.61,178.37,168.48
Other Expenses,3130.15,2909.88,2846.71,2882.54,2800.71,2662.57,2520.99,2383.94,2230.95,2092.12,2058.49,1999.92,1900.13,1845.26,1719.51,1606.05,1658.13,1595.58,1477.19,1415.42,1671.33,1567.68,1520.79,1269.06,1242.44,1187.93,1069.94,1050.86,993.19,956.92,930.02,930.62,912.22,837.84,773.29,738.71,693.41,624.74,570.56,547.3,467.73,442.74,427.4,407.58,377.13,357.21,326.77,314.88,307.3,292.96
