Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2008-03-31,0.05,0.05,10262.44,10262.44,10262.49,3134.73,183.06,0.0,0.0,3317.79,0.0,256.22,1705.59,523.49,2485.3,16065.58,11539.15,0.0,401.55,11940.7,3193.14,0.0,0.0,15133.84,0.0,0.0,85.91,147.65,28.64,931.74,16065.58,1600.63,0.0,0.0,0.0,0.0,3193.14,0.0,0.0,0.0,669.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,540.5,540.5,9918.48,9918.48,10458.98,900.0,323.03,0.0,0.0,1223.03,0.0,113.46,5208.99,815.74,6138.19,17820.2,14074.59,2.55,428.08,14505.22,287.17,0.0,0.0,14792.39,0.0,0.0,171.59,13.29,349.58,3027.81,17820.2,1123.48,0.0,0.0,540.45,0.0,287.17,0.0,0.0,0.0,2493.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,580.8,580.8,13455.35,13455.35,14036.15,480.0,298.23,0.0,0.0,778.23,0.0,99.11,2299.26,186.9,2585.27,17399.65,8051.72,7.88,194.02,8253.62,6355.64,0.0,0.0,14609.26,0.0,0.0,379.21,660.61,515.92,2790.39,17399.65,878.64,0.0,0.0,540.45,0.0,6355.64,0.0,0.0,0.0,1234.65,10.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,580.8,580.8,14153.7,14153.7,14734.5,0.1,420.5,535.4,188.4,1144.4,0.0,144.3,1954.8,7.1,2106.2,17985.1,7279.8,6.5,65.9,7352.2,5992.2,0.0,999.0,14783.8,80.1,0.0,241.5,17.8,74.6,3201.3,17985.1,616.3,2.4,0.0,540.45,0.0,5992.2,0.0,80.1,440.4,2787.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,1888.7,1888.7,15783.7,15783.7,17672.4,0.0,408.7,477.7,327.5,1213.9,0.0,168.7,2167.9,670.8,3007.4,21893.7,7109.7,1.9,77.1,7188.7,5992.2,0.0,1232.0,14939.7,3702.1,0.0,204.5,77.2,148.2,6954.0,21893.7,787.8,6.0,12.4,1702.05,0.0,5992.2,0.0,3702.1,526.8,2822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,1889.3,1889.3,15859.3,15859.3,17748.6,0.0,433.0,1407.4,338.7,2179.1,0.0,145.9,1293.3,981.5,2420.7,22348.4,6682.6,2.9,52.2,6737.7,9676.1,0.0,1515.3,18250.5,3367.0,0.0,277.4,47.4,132.4,4097.9,22348.4,953.2,0.2,5.4,1702.05,0.0,9676.1,0.0,3367.0,321.4,273.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,1893.8,1893.8,16069.7,16069.7,17963.5,0.0,497.1,548.5,351.0,1396.6,0.0,101.5,1267.9,1492.0,2861.4,22221.5,6460.8,9.3,68.1,6538.2,8780.1,0.0,1745.7,17346.5,3144.0,0.0,339.2,888.2,112.5,4875.0,22221.5,2490.8,0.5,16.0,1702.05,3126.0,6041.95,3497.2,0.0,282.5,391.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1896.7,1896.7,17032.9,17032.9,18929.6,0.0,254.2,380.6,200.9,835.7,0.0,64.5,1340.2,11.9,1416.6,21181.9,6056.0,7.1,70.1,6133.2,8871.5,0.0,580.0,15584.7,1614.8,0.0,195.5,3155.3,631.6,5597.2,21181.9,2227.6,0.5,0.0,1702.05,0.0,2829.6,4441.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1849.6,1849.6,14387.5,14387.5,16237.1,0.0,26.3,400.6,224.3,651.2,278.5,1121.4,3161.0,13.4,4574.3,21462.6,5781.1,10.3,58.5,5849.9,10167.0,0.0,539.4,16556.3,1499.0,0.0,300.0,2249.4,857.9,4906.3,21462.6,2484.2,0.0,0.0,1702.05,0.0,6044.9,5621.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1849.6,1849.6,15875.8,15875.8,17725.4,0.0,0.0,415.3,248.4,663.7,0.0,1099.5,701.1,14.3,1814.9,20204.0,5581.4,7.7,99.8,5688.9,6322.6,54.2,500.8,12566.5,6507.3,0.0,274.5,30.9,824.8,7637.5,20204.0,2432.9,0.0,0.0,1702.05,0.0,6044.9,6785.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1849.6,1849.6,13814.7,13814.7,15664.3,0.0,0.0,373.8,272.3,646.1,5.7,1082.6,671.2,14.0,1773.5,18083.9,5320.3,4.6,104.0,5428.9,7887.3,15.0,461.9,13793.1,2954.9,0.0,545.4,1.6,788.9,4290.8,18083.9,2229.9,0.0,0.0,1702.05,0.0,3.0,4797.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1849.6,1849.6,12031.3,12031.3,13880.9,0.0,0.0,2067.2,302.3,2369.5,2418.4,805.7,577.6,20.0,3821.7,20072.1,6669.6,9.7,53.3,6732.6,7754.1,132.4,485.7,15104.8,3738.1,0.0,366.7,146.8,715.7,4967.3,20072.1,2262.4,0.0,0.0,1702.05,0.0,12.0,5438.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,2694.9,2694.9,13202.4,13202.4,15897.3,1505.1,71.1,11960.3,1566.6,15103.1,5465.2,3257.5,5175.5,48.1,13946.3,44946.7,31765.0,5.1,271.1,32041.2,15.0,0.0,3258.0,35314.2,2271.4,0.0,3828.5,13.0,3519.6,9632.5,44946.7,12559.9,3.7,0.0,1702.05,0.0,15.0,2271.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,2694.9,2694.9,19480.6,19480.6,22175.5,2373.9,92.2,12804.7,1719.8,16990.6,3112.9,2125.0,3531.0,53.5,8822.4,47988.5,31781.0,33.2,177.4,31991.6,15.0,0.0,3655.1,35661.7,1652.1,0.0,7058.2,980.0,2636.5,12326.8,47988.5,11830.4,0.0,0.0,1702.05,0.0,15.0,1652.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,2694.9,2694.9,18439.8,18439.8,21134.7,2433.9,0.0,12992.3,1873.8,17300.0,2278.6,2119.6,3694.6,67.6,8160.4,46595.1,32351.8,21.1,354.3,32727.2,15.0,1221.8,3910.1,37874.1,275.6,0.0,4868.7,21.8,3554.9,8721.0,46595.1,12072.6,0.0,0.0,1702.05,0.0,15.0,275.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,2694.9,2694.9,24379.1,24379.1,27074.0,1504.4,0.0,15008.7,2159.2,18672.3,2807.4,2277.9,4995.5,74.0,10154.8,55901.1,39280.5,13.0,421.9,39715.4,22.8,1075.6,4588.1,45401.9,0.0,0.0,6450.7,58.0,3990.5,10499.2,55901.1,12549.5,0.0,0.0,1702.05,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,2638.1,2638.1,29898.9,29898.9,32537.0,153.2,407.2,17859.1,2465.8,20885.3,2109.2,2446.5,5148.1,84.3,9788.1,63210.4,44337.3,37.8,567.2,44942.3,20.0,855.9,4434.9,50253.1,1486.1,7.6,4767.5,1855.4,4840.7,12957.3,63210.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
