Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2013-06-30,273.47,0.51,273.98,202.86,0.0,-18.41,0.55,7.12,2.62,34.85,44.39,4.78,49.17,11.08,38.09,0.0,38.09,0.08,38.01,0.0,38.01,200.0,1.9,1.9,0.0,0.0,20.0,100.0,100.0
2013-09-30,312.72,3.89,316.61,214.15,0.0,9.76,0.82,7.41,2.88,34.45,47.14,4.5,51.64,14.29,37.35,0.0,37.35,0.27,37.08,0.0,37.08,200.0,1.85,1.85,0.0,0.0,20.0,100.0,100.0
2013-12-31,275.43,0.45,275.88,229.91,0.0,-19.12,0.0,7.5,2.93,22.33,32.33,4.47,36.8,12.81,23.99,0.0,23.99,0.91,23.08,-0.83,22.25,200.0,1.11,1.11,0.0,0.0,20.0,100.0,100.0
2014-03-31,517.49,12.9,530.39,403.91,0.0,19.65,0.0,7.29,2.88,47.3,49.36,5.84,55.2,8.14,47.06,0.0,47.06,0.36,46.7,0.88,47.58,200.0,2.38,2.38,0.0,0.0,20.0,100.0,100.0
2014-06-30,302.12,1.24,303.36,212.29,0.0,9.63,0.57,8.59,3.93,21.46,46.89,7.12,54.01,15.83,38.18,0.0,38.18,8.26,29.92,0.0,29.92,200.0,1.5,1.5,0.0,0.0,20.0,100.0,100.0
2014-09-30,518.44,2.14,520.58,373.11,0.0,2.76,0.82,9.39,4.42,44.3,85.78,12.4,98.18,14.74,83.44,0.0,83.44,22.27,61.17,0.0,61.17,200.0,3.06,3.06,0.0,0.0,20.0,100.0,100.0
2014-12-31,801.17,2.11,803.28,579.88,0.0,10.16,0.0,10.48,5.14,49.81,147.81,10.02,157.83,16.01,141.82,0.0,141.82,36.0,105.82,0.0,105.82,200.0,5.29,5.29,0.0,0.0,20.0,100.0,100.0
2015-03-31,855.46,1.62,857.08,649.96,0.0,-24.65,0.0,10.92,5.2,34.07,181.58,11.42,193.0,15.96,177.04,0.0,177.04,42.37,134.67,0.0,134.67,221.92,6.73,6.73,3.19,14.38,19.0,100.0,85.62
2015-06-30,587.34,2.06,589.4,408.26,0.0,7.66,0.0,13.3,5.83,64.22,90.13,21.69,111.82,22.32,89.5,0.0,89.5,25.35,64.15,0.0,64.15,221.92,2.89,2.89,3.19,14.38,19.0,100.0,85.62
2015-09-30,942.91,2.17,945.08,679.98,0.0,1.2,0.0,13.96,7.2,88.76,153.98,30.56,184.54,27.87,156.67,0.0,156.67,43.8,112.87,0.0,112.87,221.92,5.09,5.09,3.19,14.38,19.0,100.0,85.62
2015-12-31,818.19,2.04,820.23,549.56,0.0,-4.94,0.0,17.68,7.44,81.99,168.5,24.59,193.09,19.87,173.22,0.0,173.22,48.25,124.97,0.0,124.97,221.92,5.63,5.63,0.0,0.0,0.0,0.0,0.0
2016-03-31,1523.91,1.15,1525.06,1077.0,0.0,-12.26,0.0,19.17,8.1,179.25,253.8,26.96,280.76,30.97,249.79,0.0,249.79,70.51,179.28,0.0,179.28,221.92,8.08,8.08,0.0,0.0,0.0,0.0,0.0
2016-06-30,374.12,2.64,376.76,296.88,0.0,-41.02,0.0,20.06,7.53,62.18,31.13,33.85,64.98,38.8,26.18,0.0,26.18,8.07,18.11,0.0,18.11,221.92,0.82,0.82,0.0,0.0,0.0,0.0,0.0
2016-09-30,720.1,2.24,722.34,467.01,0.0,-10.96,0.0,21.75,8.54,161.88,74.12,24.34,98.46,31.11,67.35,0.0,67.35,14.45,52.9,0.0,52.9,221.92,2.38,2.38,0.0,0.0,0.0,0.0,0.0
2016-12-31,1105.01,1.24,1106.25,789.01,0.0,13.89,0.0,19.03,9.46,104.84,170.02,27.51,197.53,39.78,157.75,0.0,157.75,41.19,116.56,0.0,116.56,221.92,5.25,5.25,0.0,0.0,0.0,0.0,0.0
2017-03-31,657.87,0.0,657.87,366.77,0.0,-7.04,0.0,18.36,8.92,149.94,120.92,15.99,136.91,40.25,96.66,0.0,96.66,27.9,68.76,0.0,68.76,221.92,3.1,3.1,0.0,0.0,0.0,0.0,0.0
2017-06-30,44.52,0.0,44.52,15.8,0.0,1.53,0.0,17.36,9.21,29.98,-29.36,20.72,-8.64,38.07,-46.71,0.0,-46.71,-15.83,-30.88,0.0,-30.88,221.92,-1.39,-1.39,0.0,0.0,0.0,0.0,0.0
2017-09-30,33.56,0.0,33.56,4.44,0.0,0.37,0.0,16.61,9.55,48.5,-45.91,18.47,-27.44,37.67,-65.11,0.0,-65.11,-22.31,-42.8,0.0,-42.8,221.92,-1.93,-1.93,0.0,0.0,0.0,0.0,0.0
2017-12-31,53.38,0.0,53.38,13.67,0.0,19.58,0.0,15.36,9.42,33.49,-38.14,4.01,-34.13,30.98,-65.11,0.0,-65.11,-21.84,-43.27,0.0,-43.27,221.92,-1.95,-1.95,0.0,0.0,0.0,0.0,0.0
2018-03-31,80.97,0.0,80.97,14.77,0.0,-4.28,0.0,14.73,7.45,80.45,-32.15,1.74,-30.41,32.3,-62.71,0.0,-62.71,-22.48,-40.23,0.0,-40.23,221.92,-1.81,-1.81,0.0,0.0,0.0,0.0,0.0
2018-06-30,389.04,0.0,389.04,250.6,0.0,4.44,0.0,14.14,9.47,65.42,44.97,5.67,50.64,28.69,21.95,0.0,21.95,7.84,14.11,0.0,14.11,221.92,0.64,0.64,0.0,0.0,0.0,0.0,0.0
