Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,115276.65,240.86,115517.51,55067.32,45189.25,2065.5,1585.83,1324.26,0.0,6237.72,4047.63,956.93,5004.56,1672.6,3331.96,0.0,3331.96,0.0,3331.96,3331.96,2427.95,0.0,13.72,13.72,51.18,21.08,191.62,100.0,78.92
2013-03-31,128449.69,231.34,128681.03,57380.97,47962.24,-1665.66,3146.44,1312.77,0.0,5105.23,15439.04,1093.04,16532.08,1376.64,15155.44,0.0,15155.44,642.63,14512.81,14512.81,2427.95,58696.36,59.77,59.77,51.18,21.08,191.62,100.0,78.92
2013-06-30,110233.18,233.43,110466.61,49092.38,46483.45,4391.13,1730.93,1385.75,0.0,9934.69,-2551.72,492.39,-2059.33,1470.19,-3529.52,436.29,-3093.23,0.0,-3093.23,-3093.23,2427.95,0.0,-12.74,-12.74,51.18,21.08,191.62,100.0,78.92
2013-09-30,109859.49,530.75,110390.24,56481.58,45329.44,-6418.48,1609.8,1434.23,0.0,9734.77,2218.9,458.27,2677.17,1354.2,1322.97,360.95,1683.92,0.0,1683.92,1683.92,2427.95,0.0,6.94,6.94,51.18,21.08,191.62,100.0,78.92
2013-12-31,117415.18,256.77,117671.95,59022.49,50498.19,2161.44,1437.88,1453.5,0.0,4893.57,-1795.12,1682.06,-113.06,1261.93,-1374.99,413.54,-961.45,0.0,-961.45,-961.45,2427.95,0.0,-3.96,-3.96,51.18,21.08,191.62,100.0,78.92
2014-03-31,134668.76,198.66,134867.42,62415.56,53926.07,-1287.09,1840.36,1486.61,0.0,4326.0,12159.91,598.44,12758.35,998.1,11760.25,536.02,12296.27,2906.42,9389.85,9389.85,2427.95,0.0,38.67,38.67,76.3,31.43,166.5,100.0,68.57
2014-06-30,124666.2,290.49,124956.69,57202.42,50024.13,6277.44,1478.38,1494.88,0.0,6277.74,2201.7,1817.22,4018.92,913.94,3104.98,445.61,3550.59,1027.65,2522.94,2522.94,2427.95,0.0,10.39,10.39,76.3,31.43,166.5,100.0,68.57
2014-09-30,111304.93,358.88,111663.81,58903.75,47163.31,-3390.58,1575.91,730.06,0.0,7767.56,-1086.2,457.2,-629.0,1039.46,-1668.46,390.16,-1278.3,-379.84,-898.46,-898.46,2427.95,0.0,-3.7,-3.7,76.3,31.43,166.5,100.0,68.57
2014-12-31,106927.34,146.26,107073.6,54777.42,41624.12,3714.12,1324.65,1221.17,0.0,8110.25,-3698.13,910.15,-2787.98,928.99,-3716.97,432.36,-3284.61,-647.81,-2636.8,-2636.8,2427.95,0.0,-10.86,-10.86,76.3,31.43,166.5,100.0,68.57
2015-03-31,93491.55,340.48,93832.03,34166.35,38722.34,1615.09,2725.84,1082.55,0.0,7318.81,8201.05,959.48,9160.53,552.88,8607.65,399.96,9007.61,2722.26,6285.35,6285.35,2427.95,0.0,25.89,25.89,76.3,31.43,166.5,100.0,68.57
2015-06-30,113444.35,299.11,113743.46,38384.8,45789.47,-2269.79,2374.26,1161.85,0.0,19177.79,9125.08,456.78,9581.86,618.01,8963.85,472.54,9436.39,2845.56,6590.83,6590.83,2427.95,0.0,27.81,27.81,0.0,0.0,0.0,0.0,0.0
2015-09-30,84334.2,278.03,84612.23,39375.23,34353.48,543.77,1640.83,1148.31,0.0,8032.71,-482.1,472.39,-9.71,757.97,-767.68,426.11,-341.57,108.67,-450.24,-450.24,2427.95,0.0,-0.95,-0.95,0.0,0.0,0.0,0.0,0.0
2015-12-31,82389.88,285.98,82675.86,34746.26,33865.45,442.92,1716.29,1191.34,0.0,6549.86,4163.74,648.35,4812.09,640.57,4171.52,473.12,4644.64,1548.89,3095.75,3095.75,2427.95,0.0,6.53,6.53,0.0,0.0,0.0,0.0,0.0
2016-03-31,80018.91,430.66,80449.57,29756.82,29620.4,5002.52,1945.33,1411.44,0.0,10080.2,2632.86,657.39,3290.25,1068.16,2222.09,-7.52,2214.57,978.93,1235.64,1235.64,2427.95,0.0,5.09,5.09,0.0,0.0,0.0,0.0,0.0
2016-06-30,86077.19,0.0,86077.19,33219.29,35738.47,-5256.87,1771.61,1435.0,0.0,6924.72,12244.97,473.85,12718.82,680.04,12038.78,0.0,12038.78,3769.8,8268.98,8268.98,2427.95,0.0,34.9,34.9,0.0,0.0,0.0,0.0,0.0
2016-09-30,80043.54,326.57,80370.11,36960.99,31591.68,-2223.03,1871.74,1504.81,0.0,6396.51,4267.41,854.13,5121.54,614.67,4506.87,0.0,4506.87,1384.98,3121.89,3121.89,2427.95,0.0,6.58,6.58,0.0,0.0,0.0,0.0,0.0
2016-12-31,92632.89,483.81,93116.7,39705.8,33092.23,1074.43,1812.55,1554.12,0.0,9483.08,6394.49,792.91,7187.4,996.67,6190.73,0.0,6190.73,2195.82,3994.91,3994.91,4855.9,0.0,8.43,8.43,0.0,0.0,0.0,0.0,0.0
2017-03-31,100337.51,0.0,100337.51,47024.17,41503.11,-8854.33,4201.99,1729.04,0.0,12053.96,2679.57,2059.34,4738.91,1154.05,3584.86,0.0,3584.86,-135.76,3720.62,3720.62,4855.9,0.0,7.85,7.85,0.0,0.0,0.0,0.0,0.0
2017-06-30,105434.23,0.0,105434.23,45608.03,35497.32,6719.29,2414.06,1721.31,0.0,7195.96,6278.26,1227.61,7505.87,718.04,6787.83,0.0,6787.83,2239.32,4548.51,4548.51,4855.9,0.0,9.6,9.6,0.0,0.0,0.0,0.0,0.0
2017-09-30,90566.72,0.0,90566.72,38726.45,34975.7,-404.15,2363.98,1697.0,0.0,7531.49,5676.25,587.76,6264.01,772.6,5491.41,0.0,5491.41,1795.12,3696.29,3696.29,4855.9,0.0,7.8,7.8,0.0,0.0,0.0,0.0,0.0
2017-12-31,110666.93,0.0,110666.93,50046.96,39017.03,-1709.88,2359.52,1715.07,0.0,7684.56,11553.67,1353.43,12907.1,654.91,12252.19,0.0,12252.19,4368.97,7883.22,7883.22,4855.9,0.0,16.63,16.63,0.0,0.0,0.0,0.0,0.0
2018-03-31,117368.54,0.0,117368.54,54398.68,42627.5,-2277.76,2941.85,1941.59,0.0,8649.04,9087.64,248.1,9335.74,1302.89,8032.85,0.0,8032.85,2814.75,5218.1,5218.1,9711.81,0.0,5.51,5.51,0.0,0.0,0.0,0.0,0.0
2018-06-30,129475.0,0.0,129475.0,61685.86,45652.3,-2784.45,2368.57,1787.93,0.0,9976.89,10787.9,585.33,11373.23,1031.06,10342.17,0.0,10342.17,3511.04,6831.13,6831.13,9711.81,0.0,7.21,7.21,0.0,0.0,0.0,0.0,0.0
2018-09-30,132034.75,0.0,132034.75,69447.07,45109.05,-4585.67,3706.11,1809.05,0.0,11596.24,4952.9,1040.67,5993.57,1187.83,4805.74,0.0,4805.74,1558.81,3246.93,3246.93,9711.81,0.0,3.43,3.43,0.0,0.0,0.0,0.0,0.0
2018-12-31,139968.87,0.0,139968.87,80463.52,41926.57,4954.75,2163.82,1860.61,0.0,6850.12,1749.48,443.06,2192.54,847.92,1344.62,0.0,1344.62,627.8,716.82,716.82,9711.81,0.0,0.76,0.76,0.0,0.0,0.0,0.0,0.0
2019-03-31,126214.07,0.0,126214.07,58083.16,46367.58,-595.75,2863.67,2056.7,0.0,8619.55,8819.16,1059.45,9878.61,1244.22,8634.39,0.0,8634.39,2535.12,6099.27,6099.27,9414.16,0.0,6.46,6.46,0.0,0.0,0.0,0.0,0.0
