Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,1466.14,1349.05,993.75,1254.41,1425.95,1340.28,1113.87,945.94,1063.91,942.18,813.33,1341.02,782.29,324.5,767.91,724.99,615.48,816.61,689.92,628.26,953.55,1079.7,1079.22,879.23,969.35,815.07,665.78,934.57,703.96,763.13,690.94,671.06,1009.79,799.25,715.25,888.25,859.24,803.5,629.75,475.05,486.0,463.95,436.45,569.32,561.14,550.05,473.62,628.6,514.37,445.09
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1466.14,1349.05,993.75,1254.41,1425.95,1340.28,1113.87,945.94,1063.91,942.18,813.33,1341.02,782.29,324.5,767.91,724.99,615.48,816.61,689.92,628.26,953.55,1079.7,1079.22,879.23,969.35,815.07,665.78,934.57,703.96,763.13,690.94,671.06,1009.79,799.25,715.25,888.25,859.24,803.5,629.75,475.05,486.0,463.95,436.45,569.32,561.14,550.05,473.62,628.6,514.37,445.09
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,357.28,--,--,--,--,--,--,--,--,68.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,10.62,20.58,18.32,20.41,18.86,26.54,23.46,14.82,17.68,26.86,15.87,15.5,11.45,11.3,9.44,15.62,-4.72,13.31,16.89,17.12,5.34,17.64,18.82,19.06,-17.85,24.11,24.63,22.6,35.75,29.0,14.36,8.79,26.79,13.66,11.08,6.98,10.83,8.0,5.32,4.38,3.69,3.55,4.43,3.66,6.27,4.25,6.98,3.34,3.36,3.47
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
