Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Deferred Tax Liabilities [Net],Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,4.95,4.95,707.38,707.38,712.33,0.0,0.0,0.0,9.31,0.0,366.06,192.72,558.77,1280.42,122.39,0.0,1.03,0.0,0.0,123.43,122.41,36.81,0.0,0.0,282.64,0.0,58.94,143.54,479.06,240.77,75.47,997.77,1280.42,468.24,110.51,224.23,0.0,68.64,4.06,0.0,0.0,0.0,0.0,9.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,4.95,4.95,772.77,772.77,777.72,8.64,0.0,0.0,8.64,0.0,558.28,210.04,768.32,1554.68,128.58,0.0,7.38,0.0,0.0,135.96,200.11,36.27,0.0,0.0,372.34,0.0,41.37,241.75,548.13,288.33,62.75,1182.33,1554.68,0.0,0.0,0.0,0.0,194.66,193.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,9.9,9.9,819.4,819.4,829.3,3.96,0.0,0.0,3.96,0.0,811.97,215.9,1027.87,1861.13,148.38,0.0,11.73,0.0,0.0,160.1,213.29,33.67,0.0,0.0,407.06,0.0,42.35,159.54,853.0,334.99,64.2,1454.08,1861.13,0.0,0.0,0.0,0.0,192.75,188.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,9.9,9.9,864.58,864.58,874.48,1.2,0.0,0.0,3.58,0.0,1143.37,255.4,1398.77,2276.83,195.1,0.0,65.12,0.0,0.0,260.22,234.38,31.78,0.0,0.0,526.38,0.0,89.43,182.23,950.4,437.47,90.93,1750.45,2276.83,0.0,108.6,159.66,0.0,181.62,43.53,0.0,0.0,3.81,0.0,2.38,21.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,9.9,9.9,939.03,939.03,948.93,2.12,0.0,0.0,2.47,0.0,1520.93,320.22,1841.16,2792.56,279.31,0.0,0.15,0.0,0.0,279.46,245.57,35.37,0.0,0.0,560.4,0.0,159.01,408.98,940.28,623.24,100.65,2232.16,2792.56,0.0,184.1,221.45,0.0,186.6,56.63,0.0,0.0,13.28,0.0,0.35,6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,9.9,9.9,1064.84,1064.84,1074.74,3.3,0.0,0.0,3.3,0.0,1742.64,419.3,2161.94,3239.99,259.39,0.0,0.66,0.0,0.0,260.05,234.5,61.26,0.0,0.0,555.81,0.0,430.52,386.48,983.87,758.49,124.83,2684.18,3239.99,345.58,712.73,808.31,0.0,165.09,69.4,0.0,0.0,9.13,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,9.9,9.9,1189.46,1189.46,1199.36,5.29,0.0,0.0,5.29,0.0,1804.91,597.64,2402.54,3607.19,234.64,0.0,1.56,0.0,0.0,236.19,129.94,87.39,0.0,0.0,453.52,0.0,373.36,470.72,1313.7,861.95,133.95,3153.68,3607.19,279.77,996.87,1261.04,0.0,60.21,69.8,0.0,0.0,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,9.9,9.9,1372.41,1372.41,1382.31,0.0,700.68,324.78,1025.46,451.85,1443.81,676.21,2571.87,4979.64,239.87,0.57,1.77,0.0,0.0,242.21,185.37,131.06,389.93,85.94,1034.51,0.0,164.92,876.21,2007.81,692.1,204.09,3945.13,4979.64,0.0,1114.02,1541.63,0.0,111.24,74.3,0.0,0.0,17.76,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,9.9,9.9,1733.04,1733.04,1742.94,0.0,271.46,415.74,687.2,529.91,1881.96,470.7,2882.57,5312.71,193.44,0.01,2.4,0.25,0.0,196.1,195.79,189.38,317.34,81.57,980.18,12.51,134.51,846.6,2601.19,450.27,287.45,4332.53,5312.71,0.0,1418.69,1862.44,0.0,123.84,68.77,12.51,0.0,21.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,19.8,19.8,2280.57,2280.57,2300.37,0.0,397.32,420.1,817.42,633.4,1897.25,692.22,3222.87,6340.66,177.93,0.0,0.88,0.82,0.0,179.63,230.34,268.98,393.06,82.16,1154.17,64.95,124.56,1098.78,3103.23,527.12,267.85,5186.49,6340.66,0.0,1110.3,1996.79,9.9,115.11,114.07,63.88,0.0,55.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
