Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2018-12-31,435.01,0.0,435.01,23.46,40.32,-0.22,42.57,5.36,0.0,230.02,93.51,18.91,112.42,0.0,112.42,0.0,112.42,38.82,73.6,73.6,40.0,0.0,4.6,4.6
2019-03-31,494.02,1.6,495.62,19.68,-67.77,-0.82,49.75,12.56,0.0,435.21,47.0,42.24,89.24,2.35,86.9,0.0,86.9,38.89,48.0,48.0,160.0,882.84,0.0,0.0
2019-06-30,459.24,0.0,459.24,29.71,9.47,1.2,55.53,8.49,0.0,259.95,94.9,17.35,112.25,1.21,111.04,0.7,111.74,39.41,72.34,72.34,160.0,0.0,0.0,0.0
2019-09-30,513.37,0.0,513.37,26.78,9.42,-0.14,59.28,8.79,0.0,275.6,133.65,21.77,155.41,1.21,154.21,0.0,154.21,54.38,99.82,99.82,160.0,0.0,6.24,6.24
2019-12-31,715.98,0.0,715.98,30.17,7.18,-1.14,60.71,12.27,0.0,353.39,253.41,19.0,272.41,1.99,270.42,0.0,270.42,64.62,205.8,205.8,160.0,0.0,12.86,12.86
2020-03-31,586.89,0.0,586.89,23.27,2.51,-0.61,68.5,10.39,0.0,291.33,191.5,19.94,211.44,2.87,208.57,0.41,208.98,58.37,150.61,150.61,160.0,0.0,9.41,9.41
2020-06-30,131.33,0.0,131.33,8.06,0.14,0.46,49.59,9.0,0.0,116.94,-52.86,25.14,-27.71,1.68,-29.39,0.01,-29.38,-4.78,-24.6,-24.6,160.0,0.0,-1.54,-1.54
2020-09-30,88.56,0.0,88.56,2.82,0.24,1.58,6.79,8.94,0.0,82.7,-14.52,20.17,5.65,1.33,4.31,42.37,46.68,14.05,32.63,32.63,160.0,0.0,2.04,2.04
2020-12-31,224.37,0.0,224.37,8.07,7.11,0.32,50.81,9.62,0.0,63.42,85.03,20.86,105.89,1.4,104.49,-0.1,104.39,26.3,78.09,78.09,160.0,0.0,4.88,4.88
2021-03-31,338.79,0.0,338.79,12.61,6.43,0.06,55.33,18.73,1.23,118.05,126.35,19.46,145.82,3.74,142.08,-2.88,139.2,35.42,103.79,103.79,160.0,0.0,6.49,6.49
2021-06-30,243.37,0.0,243.37,13.74,6.53,-0.64,48.27,11.23,0.0,63.97,100.28,14.57,114.85,3.77,111.08,0.0,111.08,28.55,82.52,82.52,160.0,0.0,5.16,5.16
2021-09-30,404.94,0.0,404.94,8.79,11.9,0.51,68.1,11.82,0.0,104.12,199.69,16.12,215.81,2.12,213.69,0.0,213.69,55.12,158.57,158.57,160.0,0.0,9.91,9.91
2021-12-31,540.21,0.0,540.21,12.62,13.96,-1.21,65.53,11.75,0.0,170.14,267.42,16.3,283.72,2.18,281.54,0.0,281.54,72.73,208.81,208.81,160.0,0.0,2.61,2.61
