Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,325.35,325.35,239.77,239.77,565.12,1945.39,0.0,0.0,1945.39,0.0,0.0,99.65,154.03,2664.54,3.4,0.0,0.05,0.0,0.0,3.45,39.64,1.22,44.43,0.0,0.0,676.95,1939.73,3.43,2620.11,2664.54,0.0,0.0,0.0,0.0,0.0,0.0,54.38,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,375.35,375.35,254.6,254.6,629.95,1827.58,0.0,0.0,1827.58,0.0,0.0,78.11,176.73,2634.26,3.03,0.0,0.05,0.0,0.0,3.08,61.14,0.9,65.12,0.0,0.0,802.93,1759.91,6.3,2569.14,2634.26,0.0,0.0,0.0,0.0,0.0,0.0,98.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,400.0,400.0,279.24,279.24,679.24,2042.41,0.0,0.0,2042.41,0.0,0.0,77.86,221.91,2943.56,2.7,0.0,0.05,0.0,0.0,2.75,74.7,0.65,78.1,0.0,0.0,1153.37,1700.64,11.45,2865.46,2943.56,0.0,0.0,0.0,0.0,0.0,0.0,144.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,400.0,400.0,292.43,292.43,692.43,1970.28,0.0,0.0,1970.28,0.0,0.0,98.29,278.52,2981.23,40.92,0.0,0.0,0.0,0.0,40.92,28.71,0.47,70.1,0.0,0.0,1024.92,1875.87,10.34,2911.13,2981.23,0.28,0.0,0.0,0.0,0.0,0.0,180.23,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,490.0,490.0,328.99,328.99,818.99,1843.45,0.0,0.0,1843.45,0.0,0.0,73.71,292.83,2955.27,39.17,0.0,0.0,0.0,0.0,39.17,35.45,0.34,74.96,0.0,0.0,692.89,2176.63,10.79,2880.31,2955.27,0.0,0.0,0.0,0.0,0.0,0.0,219.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,520.0,520.0,371.93,371.93,891.93,2256.97,0.0,0.0,2256.97,0.0,0.0,61.98,244.03,3392.93,44.79,0.0,0.23,0.0,0.0,45.03,31.06,0.81,77.02,0.0,0.0,762.84,2545.56,7.51,3315.91,3392.93,40.7,31.8,36.29,0.12,0.0,0.0,182.05,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,539.6,539.6,420.96,420.96,960.56,2754.81,0.0,0.0,2754.81,0.0,0.0,58.91,308.17,4023.53,42.89,0.0,0.23,0.0,0.0,43.12,26.55,1.23,71.02,0.0,0.0,925.35,3022.36,4.8,3952.51,4023.53,53.23,13.0,12.52,0.12,0.0,0.0,249.26,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,589.6,589.6,674.52,674.52,1264.12,2398.06,1.69,28.55,2428.3,0.0,2.91,142.51,439.24,4131.67,40.18,0.2,0.0,0.24,0.0,40.81,58.39,181.41,3321.75,0.0,0.78,204.55,602.9,1.68,809.92,4131.67,0.0,29.58,12.4,0.12,0.0,0.0,293.82,0.12,3041.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,639.6,639.6,818.39,818.39,1457.99,3959.16,0.53,32.15,3991.83,0.02,4.46,276.86,638.73,6088.55,42.58,0.54,0.0,0.09,0.0,43.21,58.35,129.7,4755.52,0.0,1.25,613.89,716.95,0.95,1333.03,6088.55,0.0,93.08,23.48,0.12,0.0,0.0,357.39,0.12,4524.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,699.6,699.6,988.75,988.75,1688.35,4916.63,0.04,29.21,4945.88,0.0,12.56,292.39,558.88,7193.11,39.33,0.83,0.0,0.15,0.0,40.3,77.66,119.39,5891.31,0.0,0.06,114.83,1176.6,10.32,1301.81,7193.11,0.0,38.12,34.42,0.12,0.0,0.0,253.93,0.12,5653.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,744.6,744.6,1288.26,1288.26,2032.86,6331.08,0.0,46.27,6377.35,115.37,16.78,480.94,950.43,9360.63,36.41,0.71,0.0,0.06,0.0,37.17,54.49,108.03,7691.05,0.0,0.17,506.87,1148.84,13.7,1669.58,9360.63,0.0,0.0,0.0,0.12,0.0,0.0,337.34,0.12,7491.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,784.6,784.6,1393.96,1393.96,2178.56,7129.54,300.03,28.81,7458.38,0.0,8.38,516.54,643.55,10280.49,32.04,0.49,0.0,0.06,0.0,39.59,56.93,95.49,7930.86,0.0,0.64,1056.95,1278.43,13.61,2349.63,10280.49,0.0,0.0,0.0,0.12,0.0,0.0,118.62,0.12,7738.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,784.6,784.6,1511.47,1511.47,2296.07,9615.91,316.46,33.7,9966.07,0.27,6.91,877.73,933.63,13195.77,29.06,0.29,0.0,0.06,0.0,43.44,62.2,81.66,9041.59,0.0,0.16,2455.93,1675.63,22.46,4154.18,13195.77,0.0,0.0,0.0,0.12,0.0,0.0,48.72,0.12,8854.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,784.6,784.6,1725.41,1725.41,2510.01,12631.1,1876.85,56.28,14564.24,0.0,137.77,1389.23,1629.96,18704.2,317.29,0.22,0.0,0.21,0.0,317.72,54.62,1593.69,12402.47,0.0,2.4,3138.96,2990.53,169.84,6301.73,18704.2,0.0,0.0,0.0,0.12,0.0,0.0,102.96,0.12,10436.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,784.6,784.6,1628.23,1628.23,2412.83,0.0,1670.27,126.15,1805.46,8147.2,138.9,7873.07,16159.18,20377.46,313.65,0.25,3.03,0.06,0.07,317.06,0.0,1920.91,2326.76,0.12,21.92,2397.08,15473.73,157.86,18050.7,20377.46,0.0,0.0,0.0,0.12,0.0,9.03,0.0,0.0,88.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
