Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Mar '09,Dec '08,Sep '08,Jun '08,Mar '08,Dec '07,Sep '07,Jun '07,Mar '07,Mar '06,Sep '05,Jun '05,Mar '05,Dec '04,Sep '04,Jun '04,Mar '04,Dec '02,Sep '02,Jun '02,Mar '02,Dec '01,Sep '01,Jun '01,Mar '01,Dec '00,Sep '00,Jun '00
Net Sales/Income from operations,6723.23,6763.43,6899.66,6765.63,6473.12,6741.86,6766.32,6679.17,6236.08,6217.96,5809.8,5627.44,5931.13,5095.96,4690.02,4581.56,4454.97,3932.39,3713.9,3669.22,3205.52,3640.73,830.31,760.88,759.53,685.22,678.4,711.79,625.63,589.42,616.39,526.53,513.78,475.14,487.78,498.49,482.31,460.88,437.48,488.84,483.8,439.41,687.15,503.36,502.43,712.25,746.43,718.44,671.58,654.37
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,6723.23,6763.43,6899.66,6765.63,6473.12,6741.86,6766.32,6679.17,6236.08,6217.96,5809.8,5627.44,5931.13,5095.96,4690.02,4581.56,4454.97,3932.39,3713.9,3669.22,3205.52,3640.73,830.31,760.88,759.53,685.22,678.4,711.79,625.63,589.42,616.39,526.53,513.78,475.14,487.78,498.49,482.31,460.88,437.48,488.84,483.8,439.41,687.15,503.36,502.43,712.25,746.43,718.44,671.58,654.37
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,4.33,3.64,2.92,2.62,2.58,3.12,2.71,2.77,4.26,2.4,3.82,2.62,4.43,2.35,2.17,1.8,2.51,2.68,1.39,1.26,2.73,1.28,0.79,0.18,0.23,0.22,0.27,0.15,0.14,0.13,0.16,0.16,0.08,0.12,0.12,0.1,0.09,0.09,0.14,--,--,--,--,--,--,--,--,--,--,--
Depreciation,1.29,1.34,1.09,1.59,1.73,1.33,2.15,4.23,3.32,3.73,3.51,3.51,4.72,3.1,3.11,3.1,4.08,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,235.82,0.08,0.08,234.6,238.68,219.11,216.74,212.53
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,3.38,0.46,0.47,-3.63,0.5,0.51,0.5,-5.43,0.62,0.59,0.54,-4.66,0.64,0.7,1.39,-2.27,3.55,0.6,1.39,-2.83,3.71,0.55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-3.61,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,36.56,35.23,34.33,33.7,31.14,31.84,30.76,31.92,42.14,27.53,29.71,24.78,77.38,5.75,24.77,3.53,44.48,4.08,15.94,38.18,44.57,6.33,28.28,633.15,63.97,533.44,551.12,524.33,42.01,436.84,443.28,397.48,50.72,51.29,52.52,55.75,47.78,46.66,55.52,0.63,0.8,0.7,0.98,1.77,5.4,1.1,4.09,0.39,1.84,2.13
"P/L Before Other Inc. , Int., Excpt. Items & Tax",6677.67,6722.76,6860.85,6731.35,6437.17,6705.07,6730.21,6645.69,6185.74,6183.71,5772.23,5601.19,5843.96,5084.05,4658.59,4575.4,4400.34,3924.91,3695.06,3632.49,3154.38,3632.45,801.13,127.45,695.23,151.46,126.9,187.21,586.99,152.35,172.85,128.79,462.88,423.63,435.04,442.54,434.34,414.03,381.72,488.11,482.9,438.61,450.35,501.51,496.95,476.55,503.66,498.94,453.0,439.71
Other Income,0.57,2.96,0.54,0.39,4.87,3.45,1.16,1.86,36.67,4.07,0.59,0.03,1.68,1.19,0.02,0.04,0.04,0.07,0.27,0.0,--,0.21,9.41,7.11,--,--,--,--,--,--,--,0.82,-0.01,4.82,41.04,10.57,-0.11,-3.3,11.34,0.01,--,25.86,--,--,0.1,47.68,--,--,66.65,--
"P/L Before Int., Excpt. Items & Tax",6678.24,6725.72,6861.39,6731.74,6442.04,6708.52,6731.36,6647.54,6222.41,6187.78,5772.82,5601.22,5845.64,5085.24,4658.61,4575.44,4400.38,3924.98,3695.33,3632.5,3154.38,3632.66,810.54,134.56,695.23,151.46,126.9,187.21,586.99,152.35,172.85,129.61,462.87,428.45,476.08,453.11,434.23,410.73,393.06,488.12,482.9,464.47,450.35,501.51,497.05,524.23,503.66,498.94,519.65,439.71
Interest,4996.37,5095.07,5248.74,5154.91,4724.72,5104.29,5181.49,5090.97,4894.7,4554.33,4058.54,3939.64,4352.83,3491.34,3157.13,3073.49,2917.83,2878.24,2700.29,2740.69,2499.71,2725.62,586.97,--,545.54,--,--,--,427.23,--,--,--,336.27,300.25,315.94,314.76,317.89,312.91,300.49,382.51,395.74,388.37,374.6,408.6,423.73,436.31,433.91,428.14,385.64,390.13
P/L Before Exceptional Items & Tax,1681.87,1630.65,1612.65,1576.83,1717.32,1604.23,1549.87,1556.57,1327.71,1633.45,1714.28,1661.58,1492.81,1593.91,1501.48,1501.95,1482.55,1046.74,995.03,891.81,654.66,907.04,223.57,134.56,149.69,151.46,126.9,187.21,159.76,152.35,172.85,129.61,126.6,128.2,160.14,138.35,116.34,97.82,92.57,105.61,87.16,76.1,75.75,92.91,73.32,87.92,69.75,70.8,134.01,49.58
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,1681.87,1630.65,1612.65,1576.83,1717.32,1604.23,1549.87,1556.57,1327.71,1633.45,1714.28,1661.58,1492.81,1593.91,1501.48,1501.95,1482.55,1046.74,995.03,891.81,654.66,907.04,223.57,134.56,149.69,151.46,126.9,187.21,159.76,152.35,172.85,129.61,126.6,128.2,160.14,138.35,116.34,97.82,92.57,105.61,87.16,76.1,75.75,92.91,73.32,87.92,69.75,70.8,134.01,49.58
Tax,--,--,--,--,--,--,--,--,--,--,--,--,0.32,--,--,--,--,--,--,--,--,--,76.05,45.74,50.89,51.49,43.13,63.66,54.33,51.8,70.65,43.64,41.46,44.33,12.56,10.85,9.12,7.67,7.11,--,--,--,25.24,--,--,--,27.47,--,--,--
P/L After Tax from Ordinary Activities,1681.87,1630.65,1612.65,1576.83,1717.32,1604.23,1549.87,1556.57,1327.71,1633.45,1714.28,1661.58,1492.5,1593.91,1501.48,1501.95,1482.55,1046.74,995.03,891.81,654.66,907.04,147.52,88.82,98.8,99.97,83.77,123.55,105.43,100.55,102.2,85.97,85.14,83.87,147.58,127.5,107.22,90.15,85.46,105.61,87.16,76.1,50.51,92.91,73.32,87.92,42.28,70.8,134.01,49.58
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.03,--,--,-0.04,--,--,--,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,1681.87,1630.65,1612.65,1576.83,1717.32,1604.23,1549.87,1556.57,1327.71,1633.45,1714.28,1661.58,1492.5,1593.91,1501.48,1501.95,1482.55,1046.74,995.03,891.81,654.66,907.04,147.52,88.79,98.8,99.97,83.73,123.55,105.43,100.55,102.24,85.97,85.14,83.87,147.58,127.5,107.22,90.15,85.46,105.61,87.16,76.1,50.51,92.91,73.32,87.92,42.28,70.8,134.01,49.58
Equity Share Capital,13068.51,13068.51,13068.51,13068.51,13068.51,13068.51,13068.51,13068.51,13068.51,13068.51,13068.51,13068.51,13068.51,13068.51,13068.51,13068.51,13068.51,11880.46,11880.46,13068.51,11880.46,9380.46,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0
Reserves Excluding Revaluation Reserves,--,--,38395.61,37703.7,36110.06,35180.82,34615.44,33965.25,32401.81,31073.64,30480.59,29588.64,27927.83,26436.17,25848.62,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,1.29,1.25,1.23,1.21,1.32,1.23,1.2,1.2,1.02,1.25,1.31,1.27,1.14,1.22,1.15,1.15,1.23,0.88,0.84,0.68,0.55,0.97,295.0,177.5,197.6,199.9,167.4,247.1,210.8,201.1,440.6,3.71,3.67,3.62,636.1,549.5,4.62,3.89,368.3,455.2,375.6,328.0,217.7,400.4,316.0,378.9,182.2,305.1,577.6,2.14
Diluted EPS,1.29,1.25,1.23,1.21,1.32,1.23,1.2,1.2,1.02,1.25,1.31,1.27,1.14,1.22,1.15,1.15,1.23,0.8,0.76,--,0.62,0.86,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
