Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,95.01,10.0,105.01,70.22,3.22,9.17,3.31,10.8,8.29,0.62,8.91,4.99,3.92,0.0,3.92,1.34,2.58,2.58,10.2,2.53,2.53,0.39,38.0,0.63,100.0,62.0
2013-03-31,116.37,14.48,130.84,79.35,9.51,11.59,2.31,11.65,16.44,5.68,22.12,10.94,11.18,0.29,11.47,3.74,7.74,7.74,10.2,7.13,7.13,0.39,38.0,0.63,100.0,62.0
2013-06-30,101.13,10.44,111.57,80.78,-2.16,8.92,3.14,11.68,9.22,0.37,9.59,5.89,3.7,0.0,3.7,1.26,2.44,2.44,10.2,2.39,2.39,0.39,38.0,0.63,100.0,62.0
2013-09-30,100.79,9.65,110.43,78.12,-4.03,10.7,3.58,12.9,9.16,0.63,9.79,5.0,4.78,0.0,4.78,1.38,3.4,3.4,10.2,3.33,3.33,0.39,38.0,0.63,100.0,62.0
2013-12-31,194.3,11.14,205.44,154.83,6.46,12.48,3.77,10.43,17.47,1.68,19.15,5.39,13.76,0.0,13.76,4.33,9.43,9.43,10.2,8.9,8.9,0.39,38.0,0.63,100.0,62.0
2014-03-31,126.66,11.7,138.36,101.57,-4.63,11.58,3.87,12.95,13.02,3.89,16.91,5.26,11.65,0.0,11.65,2.61,9.04,9.04,10.2,8.84,8.84,0.39,38.0,0.63,100.0,62.0
2014-06-30,159.35,10.14,169.49,106.75,11.15,12.68,3.77,11.86,23.29,0.53,23.82,5.35,18.47,2.02,20.48,6.88,13.6,13.6,10.2,13.34,13.34,0.39,38.0,0.63,100.0,62.0
2014-09-30,128.97,13.11,142.08,104.39,-6.52,14.73,4.08,14.8,10.59,4.11,14.7,6.09,8.61,0.0,8.61,1.32,7.3,7.3,10.2,1.79,1.79,0.39,38.02,0.63,100.0,61.98
2014-12-31,134.7,11.83,146.53,106.39,-2.19,15.99,4.1,13.7,8.55,2.59,11.14,5.76,5.38,0.0,5.38,-2.61,7.99,7.99,20.4,1.81,1.81,1.55,38.02,2.53,100.0,61.98
2015-03-31,130.81,11.2,142.01,104.52,-5.3,15.09,3.96,16.17,7.57,1.16,8.73,4.03,4.7,0.0,4.7,-0.02,4.71,4.71,20.4,1.11,1.11,1.55,38.02,2.53,100.0,61.98
