Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2022-06-30,141.8,141.8,9.9,0.18,72.04,59.68,71.78,131.46,177.18,-45.72,-45.72,0.08,-45.8,-45.8,59.93,-1.53,0.0
2022-09-30,109.73,109.73,13.35,0.28,51.8,44.3,74.68,118.98,157.59,-38.61,-38.61,-13.83,-24.78,-24.78,59.93,-0.14,-0.14
2022-12-31,133.86,133.86,12.27,0.31,63.58,57.7,77.59,135.29,102.28,33.01,33.01,-1.0,34.01,34.01,359.57,0.19,0.18
2023-06-30,126.05,126.05,18.47,0.38,59.13,48.07,77.7,125.77,41.73,84.04,84.04,18.0,66.04,66.04,406.63,0.32,0.0
2023-09-30,119.91,119.91,19.75,0.42,55.34,44.4,78.75,123.15,90.23,32.92,32.92,10.18,22.74,22.74,406.63,0.13,0.12
2023-12-31,142.0,142.0,22.86,0.45,61.8,56.89,127.89,184.78,56.09,128.69,128.69,34.96,93.73,93.73,408.71,0.48,0.46
2024-03-31,146.42,146.42,20.61,0.47,71.95,53.39,132.12,185.51,64.11,121.4,121.4,16.7,104.7,104.7,410.3,0.5,0.52
2024-06-30,140.64,140.64,7.01,0.43,75.38,57.82,139.92,197.74,57.1,140.64,140.64,43.3,97.34,97.34,412.88,0.47,0.47
2024-09-30,126.87,126.87,16.38,0.43,72.95,37.11,237.77,274.88,67.79,207.09,207.09,90.9,116.19,116.19,414.29,0.57,0.55
2024-12-31,124.49,124.49,12.22,0.42,63.32,48.53,153.53,202.06,146.86,55.2,55.2,-37.8,93.0,93.0,414.29,0.44,0.45
2025-03-31,127.93,127.93,11.37,1.37,79.24,35.95,132.71,168.66,75.55,93.11,93.11,8.25,84.86,84.86,414.7,0.41,0.4
