headline,link,date_str,parsed_date_iso,sentiment_score
"Jubilant FoodWorks defies Turkey boycott calls, planning 80 new Domino’s & COFFY outlets in the country; assures business is stable",https://www.financialexpress.com/business/industry-amid-turkey-boycott-calls-jubilant-foodworks-plans-80-new-dominos-amp-coffy-outlets-in-the-country-assures-business-is-stable-3845792/,2025-05-15T17:16:28+05:30,2025-05-15T11:46:28,0.7351
"Stocks to watch: From HAL, Tata Power to Vodafone Idea- Here are 8 stocks in focus",https://www.financialexpress.com/market/stocks-to-watch-eicher-motors-tata-power-jubilant-foodworks-muthoot-finance-shree-cement-hindustan-aeronautics-vodafone-idea-torrent-power-3845238/,2025-05-15T06:29:05+05:30,2025-05-15T00:59:05,0.0
"Domino’s India operator Jubilant FoodWorks’ Q4 profit drops by 76.31% to Rs 49.33 crore, dividend declared",https://www.financialexpress.com/business/industry-dominos-india-operator-jubilant-foodworks-q4-profit-drops-by-76-31-to-rs-4933-crore-dividend-declared-3844803/,2025-05-14T18:08:32+05:30,2025-05-14T12:38:32,0.7845
From Tata Motors to Jubilant FoodWorks – Here are 9 stocks to watch,https://www.financialexpress.com/market/stocks-to-watch-tata-motors-iifl-finance-delhivery-indian-bank-indusind-bank-tata-steel-yes-bank-aavas-financiers-jubilant-foodworks-3801225/,2025-04-07T06:23:38+05:30,2025-04-07T00:53:38,0.6124
Jubilant FoodWorks sets Q4 road map for QSR firms,https://www.financialexpress.com/business/industry/jubilant-foodworks-sets-q4-road-map-for-qsr-firmsnbsp/3801007/,2025-04-06T21:24:15+05:30,2025-04-06T15:54:15,0.6124
From Adani Power to BEL – Here are 8 stocks to watch,https://www.financialexpress.com/market/stocks-to-watch-adani-power-adani-energy-solutions-jubilant-foodworks-blue-star-jindal-stainless-ongc-bpcl-bel-3790940/,2025-03-28T06:39:44+05:30,2025-03-28T01:09:44,0.0
Dine-in showing recovery: Jubilant FoodWorks MD,https://www.financialexpress.com/business/industry-dine-in-showing-recovery-jubilant-foodworks-md-3790796/,2025-03-27T22:30:07+05:30,2025-03-27T17:00:07,0.6124
Britannia’s former CEO Rajneet Kohli to join HUL as foods head,https://www.financialexpress.com/business/industry-britannias-former-ceo-rajneet-kohli-to-join-hul-as-foods-head-3789652/,2025-03-26T21:18:00+05:30,2025-03-26T15:48:00,0.296
Govt aims at record MSP purchases of pulses and oilseeds,https://www.financialexpress.com/policy/economy/govt-aims-at-record-msp-purchases-of-pulses-and-oilseeds/3785963/,2025-03-23T19:50:18+05:30,2025-03-23T14:20:18,0.0
Domino’s reduces delivery time to 10 minutes,https://www.financialexpress.com/business/industry-dominos-reduces-delivery-time-to-10-minutes-3766167/,2025-03-03T22:19:58+05:30,2025-03-03T16:49:58,0.0
"Jubilant FoodWorks issues statement on FIR reports against Chairman Shyam Bhartia, calls it ‘baseless, false and disparaging’",https://www.financialexpress.com/business/industry-jubilant-foodworks-issues-statement-on-fir-reports-against-chairman-shyam-bhartia-calls-it-baseless-false-and-disparaging-3759979/,2025-02-25T14:52:45+05:30,2025-02-25T09:22:45,0.6124
Domino’s India operator Jubilant FoodWorks’ Q3 profit drops by 34.20% to Rs 43.24 crore,https://www.financialexpress.com/business/industry-dominos-india-operator-jubilant-foodworks-q3-profit-drops-by-34-20-to-rs-4324-crore-3747264/,2025-02-12T15:55:20+05:30,2025-02-12T10:25:20,0.7845
A strong Q3 update: Domino’s India operator Jubilant Foodworks posts 56.2% YoY revenue growth at Rs 2153.20 crore,https://www.financialexpress.com/business/industry-a-strong-q3-update-dominos-india-operator-jubilant-foodworks-posts-56-2-yoy-revenue-growth-at-rs-215320-crore-3708030/,2025-01-06T11:30:33+05:30,2025-01-06T06:00:33,0.872
Restaurants beckon customers to outlets with value meals,https://www.financialexpress.com/business/industry-restaurants-beckon-customers-to-outlets-with-value-meals-3649021/,2024-10-25T01:45:00+05:30,2024-10-24T20:15:00,0.34
