headline,link,date_str,parsed_date_iso,sentiment_score
"Just Dial Q2 Results: Profit surges by 114.6% to Rs 154.07 crore, revenue up 9.3% YoY",https://www.financialexpress.com/business/industry-just-dial-q2-results-profit-surges-by-114-6-to-rs-15407-crore-revenue-up-93-yoy-3637325/,2024-10-11T16:53:14+05:30,2024-10-11T11:23:14,0.4404
"Just Dial posts Q4 profit rise of 38.4% to Rs 115.74 crore, revenue up 16.2% on-year",https://www.financialexpress.com/business/industry-just-dial-posts-q4-profit-rise-of-38-4-to-rs-11574-crore-revenue-up-162-on-year-3460652/,2024-04-18T11:44:57+05:30,2024-04-18T06:14:57,0.4404
"NSE Bulk deals, December 21: Justdial, MFSL, D-Link and other major deals that took place on Wednesday",https://www.financialexpress.com/market/nse-bulk-deals-december-21-justdial-mfsl-d-link-and-other-major-deals-that-took-place-on-wednesday-2922821/,2022-12-22T09:13:31+05:30,2022-12-22T03:43:31,0.0
"Zomato, Info Edge, other internet firms may report robust revenue growth; valuation fair, check target price",https://www.financialexpress.com/market/zomato-info-edge-other-internet-firms-may-report-robust-revenue-growth-valuation-fair-check-target-price-2585952/,2022-07-07T12:08:50+05:30,2022-07-07T06:38:50,0.743
Just Dial profit declines 61.2% in October-December quarter,https://www.financialexpress.com/business/industry-just-dial-profit-declines-61-2-in-october-december-quarter-2409961/,2022-01-18T22:00:44+05:30,2022-01-18T16:30:44,0.4404
"PVR, Just Dial among UBS’ top midcap stock picks for 2022; buy for as much as 66% upside potential",https://www.financialexpress.com/market/pvr-just-dial-among-ubs-top-midcap-stock-picks-for-2022-buy-for-as-much-as-66-upside-potential-2409418/,2022-01-18T14:29:43+05:30,2022-01-18T08:59:43,0.2023
"RIL share price at fresh record high post Just Dial acquisition, rallies 20% YTD; should you buy, sell, hold?",https://www.financialexpress.com/market/ril-share-price-at-fresh-record-high-post-just-dial-acquisition-rallies-20pc-ytd-should-you-buy-sell-hold-mukesh-ambanis-reliance-industries-ltd-stock-2323312/,2021-09-03T14:39:41+05:30,2021-09-03T09:09:41,0.5423
"RIL, Just Dial, IOCL, BPCL, HPCL, Vodafone Idea, Adani Green, PNB, Coal India stocks in focus",https://www.financialexpress.com/market/ril-just-dial-iocl-bpcl-hpcl-vodafone-idea-adani-green-pnb-coal-india-stocks-in-focus-2323119/,2021-09-03T08:43:12+05:30,2021-09-03T03:13:12,0.0
"HCL Tech, Clean Science, GR Infra, Just Dial, Airtel, Vodafone Idea, Asian Paints, RInfra stocks in focus",https://www.financialexpress.com/market/hcl-tech-clean-science-gr-infra-just-dial-airtel-vodafone-idea-asian-paints-rinfra-stocks-in-focus-2293793/,2021-07-20T08:13:25+05:30,2021-07-20T02:43:25,0.4019
"RIL shares firm, Just Dial tanks 5%; JP Morgan sees limited upside in RIL on new digital initiatives spending",https://www.financialexpress.com/market/ril-share-price-firm-just-dial-tanks-5-jp-morgan-sees-limited-upside-in-mukesh-ambanis-reliance-industries-ltd-stock-on-new-digital-initiatives-spending-2293202/,2021-07-19T13:11:36+05:30,2021-07-19T07:41:36,0.4278
