Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-03-31,1627.79,1627.79,1343.04,-63.58,76.1,45.76,111.43,115.04,40.72,155.75,78.86,76.9,0.0,76.9,19.44,57.45,57.45,839.24,0.68,0.6
2020-12-31,2497.3,2497.3,2484.89,-413.54,73.82,43.87,81.83,226.44,4.39,230.83,83.34,147.5,0.0,147.5,36.6,110.9,110.9,1030.05,1.08,1.16
2021-03-31,2614.94,2614.94,2258.61,-26.16,85.06,42.12,103.09,152.21,11.29,163.49,73.26,90.24,0.0,90.24,23.74,66.5,66.5,1030.05,0.78,0.69
2021-06-30,1274.18,1274.18,1429.83,-338.59,63.02,45.24,69.83,4.86,5.15,10.0,66.45,-56.45,0.0,-56.45,-13.88,-42.57,-42.57,1030.05,-0.41,-0.41
2021-09-30,2503.03,2503.03,2134.75,-7.93,74.81,45.62,100.76,155.01,5.74,160.75,69.88,90.87,0.0,90.87,22.98,67.89,67.89,1030.05,0.66,0.66
2021-12-31,2880.09,2880.09,2294.69,122.34,82.74,45.15,127.71,207.46,17.86,225.31,66.02,159.29,0.0,159.29,40.92,118.37,118.37,1030.05,1.15,1.15
2022-03-31,2398.79,2398.79,2287.27,-253.1,76.79,44.51,99.64,143.69,13.71,157.39,61.25,96.14,0.0,96.14,25.66,70.48,70.48,1030.05,0.68,0.68
2022-06-30,2718.99,2718.99,2361.1,-62.56,83.83,43.7,118.74,174.18,9.34,183.52,55.83,127.7,0.0,127.7,32.33,95.36,95.36,1030.05,0.93,0.93
2022-09-30,2840.93,2840.93,2790.71,-381.69,86.31,46.2,123.25,176.15,10.33,186.49,57.57,128.91,0.0,128.91,33.76,95.15,95.15,1030.05,0.92,0.92
2022-12-31,3218.74,3218.74,3009.92,-308.58,100.47,46.19,141.42,229.34,9.66,239.0,59.35,179.64,0.0,179.64,46.45,133.2,133.2,1030.05,1.29,1.29
2023-03-31,2805.37,2805.37,2656.9,-291.78,100.55,46.98,122.37,170.35,13.3,183.65,61.57,122.08,-33.25,88.83,22.73,66.1,66.1,1030.05,0.64,0.64
2023-06-30,3640.92,3640.92,3262.78,-170.63,121.12,47.96,158.6,221.09,13.78,234.87,61.16,173.71,0.0,173.71,44.81,128.91,128.91,1030.05,1.25,1.25
2023-09-30,3754.32,3754.32,3393.68,-171.72,128.2,50.68,136.91,216.57,14.33,230.9,62.72,168.18,0.0,168.18,42.65,125.53,125.53,1030.05,1.22,1.22
2023-12-31,4511.68,4511.68,4124.33,-264.86,135.03,53.04,200.93,263.22,22.6,285.82,59.89,225.93,0.0,225.93,57.65,168.29,168.29,1030.05,1.63,1.63
2024-03-31,3875.65,3875.65,3730.7,-412.8,133.99,54.71,160.64,208.42,25.76,234.18,57.88,176.3,0.0,176.3,44.97,131.34,131.34,1030.05,1.28,1.28
2024-06-30,4687.46,4687.46,4054.21,-31.57,148.48,56.01,201.39,258.95,25.02,283.96,60.08,223.88,0.0,223.88,58.79,165.09,165.09,1030.05,1.6,1.6
2024-09-30,5226.79,5226.79,4587.83,1.72,148.58,61.21,225.49,201.95,27.69,229.64,62.58,167.06,0.0,167.06,46.81,120.26,120.26,1031.23,1.17,1.17
2024-12-31,6392.54,6392.54,5534.61,96.9,166.69,61.05,217.84,315.46,34.89,350.35,58.45,291.9,0.0,291.9,73.94,217.96,217.96,1031.44,2.11,2.11
2025-03-31,5350.39,5350.39,4993.0,-355.24,174.69,67.88,194.44,275.62,42.36,317.99,68.57,249.42,0.0,249.42,64.05,185.37,185.37,1031.44,1.8,1.8
