Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,1740.43,1842.16,1863.77,2050.35,1661.7,1814.86,1845.57,2071.17,1605.11,1717.07,1814.27,1944.57,1412.83,1693.7,1520.74,1301.19,1321.09,1466.14,1278.03,590.43,980.97,1240.43,1243.52,1456.82,1141.98,1343.64,1286.25,1366.99,1098.27,1139.27,1161.82,1170.23,938.59,1005.06,999.88,1044.64,888.2,964.82,968.8,997.47,804.9,884.29,915.18,921.07,743.7,821.6,781.0,789.8,675.7,763.6
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.39,7.24,10.06,7.62,7.07,7.71,--,6.65,11.18,7.02,7.63,8.93,5.29,5.74,2.56,3.39,2.88,3.4,2.21,2.41,2.87,3.24,2.53,2.29,2.94,3.05,8.03,2.63,3.0,2.5,10.7,2.1,8.5,3.0
Total Income From Operations,1740.43,1842.16,1863.77,2050.35,1661.7,1814.86,1845.57,2071.17,1605.11,1717.07,1814.27,1944.57,1412.83,1693.7,1520.74,1301.19,1330.48,1473.38,1288.09,598.05,988.04,1248.14,1243.52,1463.47,1153.16,1350.66,1293.88,1375.92,1103.56,1145.01,1164.38,1173.62,941.47,1008.46,1002.09,1047.05,891.07,968.06,971.33,999.76,807.84,887.34,923.21,923.7,746.7,824.1,791.7,791.9,684.2,766.6
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1055.79,1043.06,1167.74,1091.28,1032.72,1051.03,1131.99,1072.02,1020.18,1085.48,1237.66,1251.84,1073.05,1071.35,1097.57,759.09,881.89,845.92,736.72,230.06,651.95,604.18,756.84,709.21,772.56,841.84,819.35,808.02,704.77,669.24,653.92,646.95,546.31,541.63,548.53,554.31,505.56,539.1,576.76,565.91,474.51,535.4,595.83,540.02,542.1,557.1,499.5,486.4,495.3,484.0
Purchase of Traded Goods,117.21,138.78,108.68,122.31,122.64,129.72,107.48,123.88,105.8,110.1,121.46,129.2,95.79,108.29,108.81,83.33,86.04,98.33,87.49,43.47,78.6,73.64,63.5,68.49,70.33,68.54,57.86,62.01,60.81,52.2,46.49,54.14,48.61,45.47,44.56,47.79,43.45,45.74,44.9,40.75,40.82,37.93,39.2,38.7,36.6,30.7,36.2,26.0,23.6,31.9
Increase/Decrease in Stocks,-35.09,10.1,-45.41,78.16,-71.13,-22.5,-52.17,144.05,-27.43,2.87,-63.64,-18.18,-151.17,-16.97,-125.36,13.62,-95.08,-37.17,-41.68,75.44,-122.74,102.24,-54.22,125.93,-108.03,-26.15,-42.85,-20.95,-81.4,-34.89,-3.95,5.79,-42.56,2.89,-19.22,24.63,-23.42,4.38,-22.83,28.06,18.37,19.9,-18.51,42.27,-65.2,-16.6,-10.6,11.7,-49.9,13.7
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,116.48,107.01,111.56,112.13,104.8,105.08,96.2,95.68,90.43,83.17,82.7,77.54,96.64,74.33,69.34,69.82,65.87,64.24,63.97,64.5,64.9,67.57,69.36,67.55,60.92,67.7,63.13,63.63,57.1,57.85,58.46,53.15,50.02,52.74,49.47,45.89,45.77,45.28,46.27,40.33,36.8,37.6,34.86,34.04,33.4,33.3,37.6,31.6,29.2,30.3
Depreciation,49.74,51.46,46.5,45.98,45.78,46.23,45.2,42.75,42.01,42.13,41.23,39.26,39.09,38.98,38.01,35.76,40.47,33.64,33.03,31.83,32.04,31.42,28.64,27.78,23.48,23.51,23.08,20.4,19.67,19.37,18.7,18.05,17.51,17.57,17.17,17.24,17.1,16.92,17.02,16.75,16.75,17.1,17.38,16.46,17.0,16.6,16.1,15.3,12.9,17.2
