Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods
2006-03-31,37.69,50.69,136.51,136.51,187.19,22.85,20.89,0.0,0.0,43.73,309.66,682.08,290.24,13.63,1295.61,1526.67,189.18,233.85,5.96,428.99,20.48,0.77,0.0,0.0,450.24,124.9,726.04,63.61,161.87,0.0,1076.42,1526.67,46.97,697.92,177.74,748.25,37.49,0.0,65.43,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,37.69,50.69,221.31,221.31,271.99,0.31,33.48,0.0,0.0,33.79,386.06,728.15,225.74,36.96,1376.9,1682.74,159.86,247.76,2.29,409.92,20.59,4.45,0.0,0.0,434.95,150.57,904.09,21.39,171.73,0.0,1247.79,1682.74,64.2,797.48,398.87,858.96,31.52,0.11,21.07,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,49.34,59.75,435.43,435.43,495.17,1.21,44.68,0.0,0.0,45.89,590.56,1117.15,146.16,54.02,1907.88,2448.95,183.53,247.91,18.9,450.34,0.46,24.64,0.0,0.0,475.45,205.33,1430.01,68.02,270.14,0.0,1973.5,2448.95,109.63,1013.56,527.49,1212.31,0.0,0.46,39.32,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,49.34,49.34,509.22,509.22,558.57,1.13,52.26,0.0,0.0,53.39,620.69,1554.04,287.54,44.43,2506.71,3118.66,254.76,248.48,51.38,554.62,1.76,22.44,0.0,0.0,578.82,225.78,1850.97,136.54,326.56,0.0,2539.84,3118.66,59.41,1355.33,721.39,1395.83,0.0,1.76,50.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,49.34,49.34,716.16,716.16,765.5,776.64,76.41,0.0,0.0,853.05,10.1,1628.96,89.93,55.61,1784.6,3405.22,423.24,251.79,38.3,713.33,1.87,30.3,0.0,0.0,745.49,249.75,1944.92,67.8,397.26,0.0,2659.73,3405.22,191.63,1552.21,467.71,1696.43,0.0,1.87,89.48,0.0,4.02,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,51.42,51.42,813.59,813.59,865.01,269.1,57.95,10.0,9.81,346.86,588.31,1554.83,610.87,57.59,2811.61,4023.48,528.39,173.34,19.34,721.07,5.36,0.0,106.34,64.24,897.02,212.88,2044.09,59.61,293.92,515.96,3126.46,4023.48,953.12,1214.54,443.8,1328.35,0.0,5.36,133.13,4.39,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,51.42,51.42,947.84,947.84,999.26,277.03,66.61,10.0,17.05,370.69,324.64,1881.33,893.63,78.05,3177.65,4547.6,539.47,159.84,107.69,807.0,6.21,0.0,117.77,67.23,998.21,318.02,2214.24,94.13,367.27,555.74,3549.39,4547.6,1007.2,1087.24,761.13,1276.5,0.0,6.21,256.71,4.73,53.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,51.42,51.42,925.21,925.21,976.63,281.07,80.42,10.0,9.79,381.28,695.44,2226.32,820.08,77.35,3819.2,5177.11,712.29,151.55,21.31,885.14,6.37,0.0,117.4,85.81,1094.72,285.5,2622.66,61.9,476.78,635.54,4082.39,5177.11,924.97,1684.29,756.82,1805.36,0.0,6.37,310.6,3.51,36.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,51.42,51.42,980.78,980.78,1032.2,214.09,73.08,10.0,9.9,307.08,1101.27,2860.15,620.59,109.69,4691.7,6030.98,677.55,139.35,9.02,825.92,6.38,0.0,193.4,106.67,1132.37,333.34,3335.72,90.24,449.77,689.53,4898.61,6030.98,1032.39,1981.89,880.96,2112.43,0.0,6.38,302.05,4.95,31.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,51.42,51.42,1059.47,1059.47,1110.89,208.39,70.36,10.0,10.87,299.62,1252.44,2861.53,510.42,110.53,4734.92,6145.43,596.04,128.35,12.42,736.8,6.57,0.0,292.23,168.83,1204.43,371.99,3226.57,126.13,538.39,677.92,4941.0,6145.43,1260.9,1464.59,1160.82,1394.83,0.0,6.57,299.12,1.56,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
