Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Money Received Against Share Warrants,Equity Share Application Money,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2004-03-31,7.92,7.92,12.71,13.19,21.11,11.06,3.81,0.0,0.0,14.86,19.36,30.6,3.89,0.18,54.04,90.01,27.42,0.0,0.0,27.42,0.03,0.0,0.28,28.08,31.35,22.79,4.82,2.97,0.0,61.93,90.01,5.36,0.51,0.0,22.76,0.0,0.1,0.0,1.9,0.0,0.0,0.01,0.0,0.0,0.36,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,7.92,7.92,20.19,20.19,28.11,9.91,3.97,0.0,0.0,13.88,34.97,55.73,5.36,1.89,97.95,139.95,28.08,0.0,0.8,28.88,0.03,0.0,0.0,29.09,50.36,49.99,4.98,5.53,0.0,110.86,139.95,11.29,0.55,0.0,22.7,0.0,0.11,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,10.09,10.09,85.15,85.15,95.25,22.89,6.24,0.0,0.0,29.13,53.84,86.97,9.82,2.35,152.99,281.3,74.4,0.0,6.06,80.47,0.23,0.0,0.0,80.95,98.43,75.72,14.08,12.12,0.0,200.36,281.3,41.24,1.85,0.05,23.1,0.0,0.35,0.0,13.56,0.0,0.0,0.0,0.0,3.95,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,11.79,11.79,140.07,140.07,151.86,216.47,9.55,0.0,0.0,226.02,93.09,179.52,15.41,4.51,292.52,670.4,121.07,0.0,19.9,140.96,0.36,0.0,0.0,143.41,176.07,174.11,137.48,39.33,0.0,526.99,670.4,40.29,7.79,0.46,85.63,0.0,0.21,0.28,23.98,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,12.16,12.16,194.91,194.91,207.07,167.71,13.23,0.0,0.0,180.94,174.24,214.41,25.14,11.58,425.36,813.38,190.8,0.62,39.97,231.39,0.32,0.0,0.0,233.58,241.12,258.67,32.36,47.21,0.43,579.81,813.38,64.68,4.63,0.61,141.19,2.48,0.32,0.23,28.67,0.0,0.0,11.3,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,12.19,12.19,184.39,184.39,196.58,153.12,0.0,0.0,0.0,153.12,214.79,180.59,11.65,2.76,409.8,759.5,271.65,1.08,8.67,281.4,0.1,0.0,0.0,281.51,157.47,250.66,23.02,46.72,0.12,477.99,759.5,32.23,9.36,0.43,162.09,0.0,0.15,0.02,26.21,0.0,0.0,28.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,12.79,12.79,207.67,207.67,220.46,140.56,0.0,0.0,0.0,140.56,196.53,219.93,14.02,2.67,433.14,799.07,264.22,1.22,12.42,277.86,0.1,0.0,0.0,277.97,202.68,260.07,5.08,51.83,1.44,521.11,799.07,73.98,9.69,0.12,93.63,0.0,0.36,0.02,19.3,0.0,0.0,2.59,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,13.39,13.39,224.53,224.53,237.92,113.91,3.67,0.0,1.24,118.82,141.57,294.23,133.92,2.49,572.21,928.95,300.74,0.94,6.95,308.62,3.08,6.1,0.21,318.01,282.26,263.35,12.44,49.81,3.07,610.94,928.95,200.06,13.88,0.01,102.6,0.0,2.08,0.22,39.55,0.15,0.0,8.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,13.39,13.39,213.7,213.7,227.09,128.57,2.34,0.0,1.61,132.51,291.73,409.26,129.78,4.57,835.34,1194.94,317.37,0.73,0.21,318.31,3.08,3.42,0.21,325.02,292.24,482.6,4.37,52.32,38.39,869.92,1194.94,155.46,15.07,0.02,125.0,0.0,1.92,0.22,41.33,0.32,0.48,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,14.05,14.05,241.52,241.52,255.57,103.44,10.56,0.0,2.14,116.15,286.03,394.78,120.05,4.58,805.44,1177.15,308.26,0.61,2.6,311.47,3.08,5.27,0.0,319.82,358.16,421.22,15.62,45.5,16.83,857.33,1177.15,180.08,14.64,0.02,97.22,0.0,1.57,0.22,35.06,0.17,1.42,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,14.75,14.75,253.91,253.91,273.08,116.56,16.03,0.0,2.35,134.94,326.95,387.24,116.65,4.65,835.5,1243.52,313.3,0.78,0.24,314.32,3.09,3.4,0.0,320.81,403.14,428.63,4.56,60.55,25.84,922.71,1243.52,191.31,17.54,0.03,197.53,0.0,1.17,0.23,94.64,0.47,2.31,3.44,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,15.45,15.45,288.4,288.4,303.85,120.9,23.54,0.0,3.2,147.63,254.92,480.99,145.35,9.0,890.26,1341.74,297.12,0.96,4.39,302.47,3.14,4.86,0.0,310.47,440.32,479.84,4.69,66.51,39.92,1031.27,1341.74,357.65,10.53,0.02,147.43,0.0,2.12,0.27,115.13,0.83,1.58,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,15.45,15.45,351.18,351.18,366.62,188.15,36.24,0.0,4.0,228.4,249.0,432.28,199.64,11.08,891.99,1487.01,326.22,1.72,29.34,357.27,3.11,22.22,0.0,382.61,422.47,567.39,5.88,56.56,52.11,1104.4,1487.01,330.02,13.83,0.06,190.98,0.0,1.8,0.25,218.63,4.3,6.22,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,15.56,15.56,445.35,445.35,460.91,76.35,35.32,0.0,5.06,116.73,615.95,480.52,212.81,8.69,1317.97,1895.61,402.48,2.73,3.15,408.36,2.73,3.31,5.06,419.45,498.92,824.58,33.31,1.01,118.34,1476.16,1895.61,871.55,0.0,0.0,0.0,0.0,2.39,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
