Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Raw Materials,Capital Goods,Deferred Tax Liabilities [Net],Intangible Assets Under Development,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,7.05,7.05,156.52,156.52,163.57,46.89,0.0,0.0,54.2,54.61,177.4,89.74,12.54,334.3,552.07,54.42,2.71,33.72,0.0,90.85,92.43,4.67,0.0,0.0,187.96,0.0,42.03,213.57,8.66,99.86,0.0,364.12,552.07,6.72,9.93,57.21,0.93,3.6,215.33,39.33,0.0,14.38,0.0,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,7.05,7.05,183.2,183.2,190.25,33.32,0.0,0.0,39.63,32.32,238.55,107.43,30.02,408.32,638.21,51.87,1.7,1.11,0.0,54.69,82.83,6.14,0.0,0.0,143.66,0.0,48.47,269.06,58.28,85.09,33.66,494.55,638.21,49.52,16.43,100.51,0.22,3.6,346.41,29.72,0.0,25.97,0.19,6.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,21.15,21.15,293.25,293.25,314.4,19.35,0.0,0.0,26.49,6.32,335.79,168.21,36.83,547.15,888.04,78.62,0.91,16.24,0.0,95.77,101.44,7.63,0.0,0.0,204.84,0.0,65.74,370.24,50.25,174.41,22.56,683.2,888.04,64.09,11.99,68.46,0.37,17.7,1254.19,48.34,0.0,52.34,8.33,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,21.15,21.15,580.87,580.87,602.03,50.4,0.0,0.0,63.38,90.44,384.66,204.96,39.64,719.71,1385.11,142.33,1.72,17.03,0.0,161.08,337.7,6.78,0.0,0.0,505.56,0.0,87.08,513.75,49.48,190.07,39.17,879.55,1385.11,76.27,59.35,226.64,0.22,17.7,1037.43,284.6,0.0,75.05,23.56,12.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,21.15,21.15,640.9,640.9,662.06,57.44,0.0,0.0,72.71,133.77,490.83,229.34,72.2,926.15,1660.91,161.91,1.38,32.24,0.0,195.53,347.29,7.46,0.0,0.0,550.28,0.0,132.99,452.47,75.87,257.77,191.54,1110.63,1660.91,232.15,15.77,148.35,1.34,17.7,985.77,293.09,0.0,111.14,4.05,15.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,21.15,21.15,687.99,687.99,709.14,20.09,0.0,0.0,36.64,300.34,591.93,305.44,51.78,1249.49,1995.27,205.13,0.99,70.47,0.0,276.6,338.38,10.04,0.0,0.0,625.02,0.0,155.67,612.65,9.99,367.51,224.43,1370.25,1995.27,74.65,38.58,223.97,24.13,17.7,492.47,285.27,0.0,188.35,20.09,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,15.87,15.87,697.51,697.51,713.38,50.65,0.0,0.0,68.9,306.59,580.95,344.69,74.36,1306.59,2088.86,271.27,1.39,21.4,0.0,294.06,190.3,10.3,0.0,0.0,494.66,0.0,179.03,599.75,96.59,456.37,262.46,1594.21,2088.86,135.53,39.47,154.72,37.32,13.27,0.0,190.3,0.0,499.86,7.41,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,15.87,15.87,727.57,727.57,743.44,71.29,95.88,13.52,185.36,250.3,557.98,332.66,58.71,1199.66,2128.45,275.64,4.03,20.03,0.0,299.71,167.33,0.0,159.34,158.45,784.82,0.0,192.75,449.34,57.66,300.17,343.7,1343.63,2128.45,721.92,34.03,151.09,32.24,13.27,0.0,167.33,0.0,197.97,4.63,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,15.87,15.87,737.76,737.76,753.63,45.51,97.98,15.28,158.77,277.37,412.45,287.06,45.64,1022.51,1934.91,279.75,3.18,36.01,0.0,318.94,214.94,2.6,138.73,88.1,763.32,0.0,209.96,298.05,20.53,253.6,389.45,1171.59,1934.91,578.51,34.5,98.72,17.22,13.27,0.0,214.94,0.0,69.86,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,15.87,15.87,762.69,762.69,778.56,4.97,81.1,15.76,101.83,223.34,452.25,310.73,41.48,1027.79,1908.18,307.04,1.97,7.43,0.0,316.44,214.94,4.1,141.56,59.55,736.6,0.0,183.31,355.27,17.52,211.33,404.15,1171.58,1908.18,484.02,27.03,80.38,74.07,13.27,0.0,214.94,0.0,41.02,6.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
