Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Revaluation Reserve,Money Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense
2011-03-31,368.44,0.0,368.44,6428.04,6428.04,36.92,6833.39,29260.97,11723.95,3032.36,50850.67,2107.72,363.26,17121.44,29329.31,425.61,1503.33,50850.67,321.0,11000.0,19.92,17.99,1.93,603.49,1.0,211.16,0.72,1.0,1053.47,35422.71,0.0,0.0,0.0,0.0,0.0
2012-03-31,370.34,0.0,370.34,7575.59,7575.59,34.82,7980.76,38536.52,16595.52,2553.99,65666.79,2016.49,618.06,21566.81,39079.23,449.97,1936.23,65666.79,355.0,12000.0,17.52,15.74,1.78,614.19,1.0,237.38,0.61,1.0,1576.66,40052.52,0.0,0.0,0.0,0.0,0.0
2013-03-31,373.3,0.0,373.3,9073.65,9073.65,17.53,9464.49,51028.77,20410.62,2789.81,83693.69,2207.9,1481.26,28873.43,48468.98,464.42,2197.69,83693.69,437.0,13500.0,16.05,14.71,1.34,758.11,1.0,311.41,0.64,1.0,1913.48,42117.47,0.0,0.0,0.0,0.0,0.0
2014-03-31,385.16,0.0,385.16,11889.93,11889.93,8.53,12283.61,59072.33,12895.58,3333.82,87585.34,2948.23,3031.66,25484.55,53027.63,1106.94,1986.33,87585.34,605.0,16000.0,18.83,17.77,1.06,1059.44,2.0,573.56,1.08,1.0,3015.6,46903.54,0.0,0.0,0.0,0.0,0.0
2015-03-31,386.18,0.0,386.18,13754.91,13754.91,3.0,14144.08,74860.31,12149.71,4857.97,106012.07,3928.3,2334.06,30421.09,66160.71,1206.71,1961.21,106012.07,684.0,18000.0,17.17,16.18,0.99,1237.23,2.0,609.08,0.92,1.0,4419.99,68092.15,0.0,0.0,0.0,0.0,0.0
2016-03-31,917.19,0.0,917.19,23041.87,23041.87,3.41,23962.47,138643.02,20975.34,8678.96,192259.79,6903.43,3976.28,51260.22,118665.3,1551.59,9902.97,192259.79,1333.0,31410.0,16.34,15.28,1.06,2838.11,2.0,1261.96,1.06,1.0,25578.12,257574.33,0.0,0.0,0.0,0.0,0.0
2017-03-31,920.45,0.0,920.45,26695.62,26695.62,1.87,27617.94,157425.86,21095.48,8450.68,214589.96,7492.43,15079.58,45074.19,136082.13,1537.63,9324.0,214589.96,1369.0,44000.0,17.0,16.0,1.0,3578.6,3.0,1718.1,1.0,1.0,20318.26,193067.54,0.0,0.0,0.0,0.0,0.0
2018-03-31,952.82,0.0,952.82,36528.83,36528.83,2.17,37483.82,192643.27,25154.15,9652.15,264933.4,8908.51,10711.6,64562.35,169717.92,1527.16,9505.86,264933.4,1388.0,50000.0,18.0,18.0,1.0,3825.38,2.0,1665.1,1.0,1.0,24255.31,205104.84,0.0,0.0,0.0,0.0,0.0
2019-03-31,954.38,500.0,1454.38,41444.0,41444.0,2.07,42900.45,225880.36,32248.29,11142.98,312172.09,10877.52,13798.02,71189.09,205694.81,1651.55,8961.11,312172.09,1500.0,41753.0,17.45,16.93,0.52,4467.94,2.0,1544.37,0.75,1.0,31852.23,212082.27,0.0,0.0,0.0,0.0,0.0
2020-03-31,956.52,500.0,1456.52,47558.78,47558.78,2.87,49018.17,262820.52,37993.31,10419.68,360251.68,9505.05,43787.25,75051.55,219748.19,1623.13,10536.52,360251.68,1600.0,50034.0,17.89,17.27,0.62,5026.89,2.0,1557.89,0.71,1.0,39518.98,187277.36,0.0,0.0,0.0,0.0,0.0
