Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1597.49,491.64,5.22,0.23,304.86,1271.73,263.59,291.5,572.62,42.36,0.0,530.26,168.58,361.68,361.68,372.1,15.63,4.86,4.84,740.02,322.71,1.46,0.64,0.46,40.85,54.89,33.57,100.0,45.11
2013-03-31,1670.41,530.99,6.66,0.32,363.85,1304.98,288.26,325.59,653.4,37.43,0.0,615.97,179.76,436.21,436.21,373.31,16.05,5.85,5.83,758.11,311.41,1.55,0.64,0.53,41.09,55.04,33.57,100.0,44.96
2013-06-30,1621.71,558.39,6.84,3.07,462.39,1273.35,301.44,298.83,778.78,168.86,0.0,609.92,207.1,402.82,402.82,383.63,18.16,5.32,5.3,995.39,495.77,1.95,0.98,0.48,43.16,56.25,33.57,100.0,43.75
2013-09-30,1644.29,509.56,7.17,11.31,297.13,1248.22,264.65,350.05,606.54,72.29,0.0,534.25,181.71,352.54,352.54,384.12,18.23,4.59,4.58,1005.97,486.92,1.97,0.96,0.43,43.26,56.31,33.57,100.0,43.69
2013-12-31,1701.66,483.89,6.33,0.42,299.71,1279.56,277.34,350.38,584.73,69.74,0.0,514.99,175.01,339.98,339.98,384.56,17.5,4.42,4.41,1076.18,584.52,2.01,1.1,0.41,43.34,56.35,33.57,100.0,43.65
2014-03-31,1707.16,498.2,6.84,0.28,340.48,1245.94,315.66,384.26,607.1,-6.19,0.0,613.29,206.11,407.18,407.18,385.16,19.01,5.29,5.28,1059.44,573.56,1.98,1.08,0.48,43.46,56.42,33.57,100.0,43.58
2014-06-30,1757.71,516.95,5.7,5.99,399.76,1284.15,348.41,388.03,665.52,13.99,0.0,651.53,221.73,429.8,429.8,385.23,0.0,5.58,5.57,1079.02,559.54,1.88,0.98,0.49,45.98,59.67,31.07,100.0,40.33
2014-09-30,1825.78,521.64,3.26,1.8,466.45,1313.55,354.52,417.22,733.64,53.65,0.0,679.99,235.47,444.52,444.52,385.67,0.0,5.77,5.75,1165.4,611.47,1.89,1.0,0.49,46.22,59.93,30.91,100.0,40.07
2014-12-31,1922.6,564.94,11.0,1.56,494.1,1440.66,367.9,448.07,737.57,29.92,0.0,707.65,243.13,464.52,464.52,385.86,0.0,6.02,6.01,1219.86,629.81,1.87,0.97,0.48,46.26,59.95,30.91,100.0,40.05
2015-03-31,1962.58,612.32,4.1,1.94,668.14,1457.77,378.9,551.68,860.73,66.94,0.0,793.79,266.65,527.14,527.14,386.18,0.0,6.83,6.81,1237.23,609.08,1.85,0.92,0.51,46.33,59.98,30.91,100.0,40.02
2015-06-30,3046.49,841.03,15.89,88.02,592.43,2393.24,928.78,664.87,596.97,305.31,0.0,291.66,101.88,189.78,189.78,456.42,0.0,2.08,2.07,2421.17,1077.34,2.31,1.04,0.11,60.37,66.14,30.91,100.0,33.86
2015-09-30,3059.43,838.96,9.99,97.27,615.73,2326.91,623.01,626.7,1044.76,176.4,0.0,868.36,298.86,569.5,569.5,915.26,0.0,3.28,3.26,2655.38,1167.6,2.35,1.05,0.34,121.23,66.23,61.82,100.0,33.77
2015-12-31,3158.88,856.97,16.13,89.72,722.16,2355.49,618.16,665.0,1205.21,235.25,0.0,969.96,335.24,634.72,634.72,916.25,0.0,3.47,3.46,2690.34,1110.75,2.3,0.96,0.36,0.0,0.0,0.0,0.0,0.0
2016-03-31,3205.57,925.45,44.5,89.89,681.91,2408.17,634.03,710.97,1194.15,200.41,0.0,993.74,297.96,695.78,695.78,917.19,0.0,3.8,3.79,2838.11,1261.96,2.36,1.06,0.37,0.0,0.0,0.0,0.0,0.0
2016-06-30,3282.19,947.21,29.73,127.72,733.18,2467.75,667.14,670.11,1315.03,179.51,0.0,1135.52,393.55,741.97,741.97,917.19,0.0,4.04,4.04,3058.81,1467.11,2.5,1.21,0.38,0.0,0.0,0.0,0.0,0.0
2016-09-30,3349.23,947.81,18.21,97.22,831.11,2417.11,699.49,686.9,1440.08,197.76,0.0,1242.32,429.03,813.29,813.29,918.64,0.0,4.43,4.42,3180.66,1516.76,2.49,1.2,0.42,0.0,0.0,0.0,0.0,0.0
2016-12-31,3403.06,937.86,31.8,94.89,910.22,2417.29,697.4,735.44,1527.7,192.1,0.0,1335.6,455.84,879.76,879.76,919.63,0.0,4.79,4.78,3177.88,1379.07,2.42,1.07,0.44,0.0,0.0,0.0,0.0,0.0
2017-03-31,3367.62,848.16,138.58,77.64,1002.65,2270.63,680.61,781.41,1702.0,267.37,0.0,1434.63,458.15,976.48,976.48,920.45,0.0,5.31,5.3,3578.61,1718.07,2.59,1.26,0.47,0.0,0.0,0.0,0.0,0.0
2017-06-30,3478.15,885.79,215.27,76.57,906.88,2410.23,706.16,850.91,1595.36,203.74,0.0,1391.62,478.89,912.73,912.73,951.75,0.0,4.88,4.87,3726.62,1777.93,2.58,1.25,0.42,0.0,0.0,0.0,0.0,0.0
2017-09-30,3559.47,973.4,149.09,78.18,953.88,2447.48,722.96,818.77,1724.81,216.53,0.0,1508.28,513.97,994.31,994.31,952.0,0.0,5.22,5.22,3814.17,1918.83,2.47,1.26,0.44,0.0,0.0,0.0,0.0,0.0
2017-12-31,3765.88,960.78,207.23,75.31,1039.82,2615.48,734.21,879.28,1820.05,212.77,0.0,1607.28,554.07,1053.21,1053.21,952.35,0.0,5.53,5.52,3714.99,1727.96,2.31,1.09,0.44,0.0,0.0,0.0,0.0,0.0
2018-03-31,3924.45,1113.03,183.7,102.19,1151.63,2743.62,766.44,946.99,2017.95,306.91,0.0,1711.04,586.99,1124.05,1124.05,952.82,0.0,5.9,5.89,3825.38,1665.05,2.22,0.98,0.43,0.0,0.0,0.0,0.0,0.0
2018-06-30,4168.18,1141.88,92.48,77.16,1164.59,2896.8,720.42,994.54,2032.53,469.63,0.0,1562.9,537.96,1024.94,1024.94,953.07,0.0,5.38,5.37,3899.45,1527.14,2.17,0.86,0.39,0.0,0.0,0.0,0.0,0.0
2018-09-30,4459.2,1196.77,80.02,74.91,1205.27,3121.8,745.24,1054.16,2094.97,353.8,0.0,1741.17,599.52,1141.65,1141.65,953.5,0.0,5.99,5.98,4033.07,1500.76,2.15,0.81,0.41,0.0,0.0,0.0,0.0,0.0
2018-12-31,4766.28,1299.65,105.68,78.72,963.88,3311.25,836.99,1127.56,1938.41,-32.3,0.0,1970.71,679.78,1290.93,1290.93,953.77,0.0,6.77,6.76,4128.68,1397.27,2.07,0.71,0.45,0.0,0.0,0.0,0.0,0.0
2019-03-31,4977.59,1234.47,103.24,86.97,1270.29,3354.4,856.74,1179.16,2282.26,171.26,0.0,2111.0,703.2,1407.8,1407.8,954.38,0.0,7.38,7.37,4467.94,1544.37,2.14,0.75,0.46,0.0,0.0,0.0,0.0,0.0
2019-06-30,5187.41,1277.57,99.05,75.85,1304.73,3466.84,901.51,1177.34,2398.92,316.76,0.0,2082.16,721.96,1360.2,1360.2,954.67,0.0,7.13,7.12,4613.52,1524.38,2.19,0.73,0.44,0.0,0.0,0.0,0.0,0.0
2019-09-30,5288.32,1355.79,40.27,77.22,1224.41,3412.01,915.01,1150.43,2508.56,407.93,0.0,2100.63,376.15,1724.48,1724.48,955.01,0.0,9.03,9.02,5033.55,1811.4,2.32,0.85,0.55,0.0,0.0,0.0,0.0,0.0
2019-12-31,5252.84,1322.96,87.47,72.33,1341.43,3306.07,1091.52,1291.37,2388.07,444.0,0.0,1944.07,348.17,1595.9,1595.9,955.52,0.0,8.35,8.34,5413.2,1925.08,2.46,0.89,0.5,0.0,0.0,0.0,0.0,0.0
2020-03-31,5282.82,1300.93,154.45,66.48,1489.39,3245.03,969.59,1354.17,2725.28,1047.47,0.0,1677.81,411.21,1266.6,1266.6,956.52,0.0,6.37,6.36,5026.89,1557.89,2.25,0.71,0.38,0.0,0.0,0.0,0.0,0.0
2020-06-30,4975.75,1489.35,384.16,62.6,773.54,3188.01,910.88,962.8,2623.71,962.01,0.0,1661.7,417.25,1244.45,1244.45,989.4,0.0,6.43,6.42,5619.33,1777.1,2.7,0.87,0.34,0.0,0.0,0.0,0.0,0.0
2020-09-30,4710.78,1803.9,259.95,61.42,1452.03,2922.84,990.07,1077.68,3297.49,368.59,0.0,2928.9,744.42,2184.48,2184.48,989.6,0.0,11.04,11.04,5335.95,1303.78,2.55,0.64,0.59,0.0,0.0,0.0,0.0,0.0
2020-12-31,4636.56,1797.09,297.59,59.3,1334.38,2783.72,959.28,1298.58,3083.34,599.03,0.0,2484.31,630.77,1853.54,1853.54,990.24,0.0,9.36,9.36,4928.04,1064.02,2.26,0.5,0.49,0.0,0.0,0.0,0.0,0.0
2021-03-31,4413.02,1743.07,233.04,59.73,1949.53,2606.05,868.9,1515.95,3407.49,1179.41,0.0,2228.08,545.71,1682.37,1682.37,990.92,0.0,8.29,8.28,7425.51,2705.17,3.25,1.21,0.43,0.0,0.0,0.0,0.0,0.0
2021-06-30,4581.1,1698.41,139.81,60.46,1583.03,2538.13,1082.3,1321.32,3121.06,934.77,0.0,2186.29,544.37,1641.92,1641.92,991.34,0.0,8.28,8.28,7931.77,2792.29,3.56,1.28,0.43,0.0,0.0,0.0,0.0,0.0
2021-09-30,4611.52,1721.79,206.98,55.99,1812.59,2575.72,1177.41,1535.58,3120.16,423.99,0.0,2696.17,664.16,2032.01,2032.01,991.54,0.0,10.25,10.24,7657.96,2491.44,3.19,1.06,0.52,0.0,0.0,0.0,0.0,0.0
2021-12-31,4963.08,1677.51,205.82,50.41,1363.66,2562.52,1199.84,1797.12,2701.0,-131.74,0.0,2832.74,701.38,2131.36,2131.36,991.95,0.0,10.75,10.74,6982.8,2003.53,2.71,0.79,0.51,0.0,0.0,0.0,0.0,0.0
2022-03-31,5222.99,1591.55,170.81,80.59,1826.32,2544.54,1122.8,1885.02,3339.9,-306.21,0.0,3646.11,878.71,2767.4,2767.4,992.33,0.0,13.74,13.74,6469.74,1736.71,2.34,0.64,0.67,0.0,0.0,0.0,0.0,0.0
2022-06-30,5656.76,1441.91,192.1,47.72,1243.76,2641.45,1172.84,1984.7,2783.26,23.59,0.0,2759.67,688.52,2071.15,2071.15,992.72,0.0,10.43,10.43,6378.57,1749.33,2.24,0.62,0.5,0.0,0.0,0.0,0.0,0.0
2022-09-30,6397.58,1486.03,148.71,60.49,1954.19,2993.4,1414.74,2071.35,3567.51,137.0,0.0,3430.51,849.83,2580.68,2580.68,992.87,0.0,13.0,12.99,6210.23,1630.37,2.08,0.55,0.59,0.0,0.0,0.0,0.0,0.0
2022-12-31,7143.26,1646.37,122.54,86.44,2099.98,3345.69,1477.76,2425.3,3849.84,148.83,0.0,3701.01,909.13,2791.88,2791.88,993.04,0.0,14.06,14.06,5994.57,1344.77,1.9,0.43,0.62,0.0,0.0,0.0,0.0,0.0
2023-03-31,7780.85,1884.34,86.94,68.81,2186.29,3718.39,1454.49,2186.98,4647.37,147.57,0.0,4499.8,1004.21,3495.59,3495.59,993.28,0.0,17.39,17.39,5768.32,1193.3,1.78,0.37,0.74,0.0,0.0,0.0,0.0,0.0
2023-06-30,8298.24,2007.4,105.82,88.54,2683.26,4266.31,1647.0,2320.38,4949.57,364.31,0.0,4585.26,1132.96,3452.3,3452.3,993.61,0.0,17.38,17.38,5909.24,1301.8,1.77,0.4,0.7,0.0,0.0,0.0,0.0,0.0
