Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Revaluation Reserves,Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,10.86,10.86,79.78,80.52,91.38,52.96,4.63,0.0,0.0,57.6,60.23,38.41,69.22,14.43,182.29,331.27,59.29,0.0,0.41,59.7,0.1,0.0,0.0,0.2,60.01,115.02,90.89,13.91,51.43,0.0,271.25,331.27,11.58,3.41,0.0,50.57,3.87,3.33,0.15,0.0,0.0,0.74,0.0,29.09,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,10.86,10.86,102.25,102.94,113.8,23.4,5.47,0.0,0.0,28.87,87.08,36.53,136.13,22.06,281.8,424.47,70.57,0.0,0.21,70.78,10.13,0.0,0.0,0.15,81.06,122.7,128.23,6.36,86.12,0.0,343.41,424.47,36.44,19.8,0.0,104.01,25.48,3.33,20.28,0.0,0.0,0.69,0.0,76.14,0.0,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,10.86,10.86,156.43,157.07,167.94,99.21,5.79,0.0,0.0,105.0,133.58,136.2,204.01,36.07,509.86,782.8,124.02,0.0,28.36,152.38,29.45,0.0,0.0,0.1,181.93,138.7,297.35,16.65,66.98,81.19,600.87,782.8,48.34,21.03,0.0,198.47,5.17,3.33,147.3,0.0,0.0,0.64,0.0,124.51,0.0,30.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,26.5,26.5,615.34,615.93,642.43,87.65,7.64,0.0,0.0,95.29,249.06,161.32,293.62,71.17,775.17,1512.9,205.04,0.0,4.12,209.16,218.92,0.0,0.0,0.05,428.13,158.27,537.05,93.65,121.05,174.74,1084.76,1512.9,29.44,103.39,0.0,371.71,5.2,14.19,179.15,146.45,0.0,0.6,0.0,99.16,0.0,21.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,26.5,26.5,740.72,741.27,767.77,70.39,11.77,0.0,0.0,82.16,255.46,234.5,278.59,86.11,854.67,1704.6,222.69,0.0,1.93,224.62,147.51,2.06,0.0,0.0,374.19,153.7,650.68,89.17,151.18,285.68,1330.41,1704.6,55.59,94.61,0.0,358.89,20.33,14.19,276.3,74.79,0.0,0.55,0.0,85.2,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,26.5,26.5,809.95,810.45,836.95,134.14,12.8,0.0,0.0,146.94,520.57,316.24,405.18,95.04,1337.04,2320.93,258.4,0.0,10.0,268.39,126.83,0.0,0.0,0.0,395.22,236.89,977.16,44.52,311.83,355.32,1925.71,2320.93,107.63,74.76,0.0,338.39,57.42,14.19,58.48,53.26,0.0,0.51,0.0,65.44,0.0,27.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,26.5,26.5,961.11,961.56,988.06,180.95,16.0,0.0,0.0,196.95,423.37,480.16,635.73,127.59,1666.85,2851.86,328.22,6.71,3.55,338.48,126.51,1.92,0.0,0.0,466.91,268.92,1322.13,36.87,427.82,329.21,2384.95,2851.86,29.8,476.49,0.0,895.77,26.58,14.19,205.42,32.02,0.0,0.45,0.0,126.55,0.0,38.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,30.69,30.69,1559.98,1560.38,1591.07,156.17,10.67,0.82,53.01,220.67,290.33,894.26,392.98,96.54,1674.11,3485.85,353.96,5.39,14.63,373.98,299.33,0.0,364.31,70.22,1107.85,241.04,1348.27,144.26,129.92,418.28,2378.0,3485.85,188.03,216.03,0.0,598.99,55.49,14.19,272.76,79.85,96.25,0.41,96.25,145.86,1.08,32.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,30.69,30.69,1711.86,1712.22,1742.91,209.62,9.82,0.95,61.88,282.27,236.57,1048.48,511.59,79.12,1875.76,3900.93,389.15,4.58,59.15,452.88,328.8,0.0,352.59,59.02,1193.29,321.15,1513.39,103.4,299.42,394.15,2707.65,3900.93,180.89,325.72,0.0,588.17,113.82,14.19,189.52,109.31,76.14,0.36,76.14,164.15,2.56,43.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,30.69,30.69,1815.33,1815.65,1846.34,152.61,11.81,0.69,66.92,232.03,379.69,1194.41,431.42,74.73,2080.25,4158.61,526.06,4.65,7.93,538.64,333.92,0.0,541.93,55.27,1469.77,443.97,1287.9,56.9,429.86,469.06,2688.84,4158.61,227.06,345.97,0.0,804.69,41.05,14.19,138.53,114.44,1.15,0.31,1.15,250.19,6.39,33.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,30.69,30.69,1923.19,1923.48,1954.18,67.71,13.77,1.17,89.07,171.71,631.03,1271.47,506.6,82.13,2491.22,4617.11,570.69,3.1,18.04,591.83,383.4,0.0,512.32,92.63,1580.19,543.77,1541.65,64.7,391.46,495.18,3036.92,4617.11,219.4,537.53,0.0,964.26,181.51,14.19,158.27,163.92,0.15,0.29,0.15,118.39,16.21,36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,30.69,30.69,2039.8,2040.09,2070.79,294.32,5.36,1.41,97.84,398.93,616.28,1399.02,196.29,112.92,2324.52,4794.23,551.22,2.32,5.44,558.99,393.49,0.0,555.78,86.9,1595.16,598.87,1783.58,75.27,324.51,416.41,3199.08,4794.23,320.89,920.48,0.05,1446.41,213.45,14.19,322.02,174.01,0.44,0.29,0.44,37.32,20.49,25.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,30.69,30.69,2183.93,2184.22,2214.91,271.61,0.0,38.53,20.89,331.03,286.99,1479.06,696.88,236.04,2698.97,5244.91,535.1,3.34,4.12,542.56,517.77,25.91,481.61,187.52,1755.37,424.4,2214.54,106.23,0.0,744.37,3489.16,5244.91,415.33,617.96,0.09,1358.55,316.81,14.19,491.24,195.72,0.0,0.29,0.0,33.97,36.78,24.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,30.69,30.69,2448.02,2448.02,2478.71,321.15,0.0,38.06,21.65,380.87,231.46,1562.19,1155.69,296.41,3245.75,6105.33,515.32,5.69,2.64,523.65,715.96,41.03,472.35,176.3,1929.3,454.18,2763.52,210.98,13.04,734.32,4176.04,6105.33,0.0,689.95,0.0,1298.89,194.57,14.19,598.47,393.64,0.0,0.0,0.0,48.29,8.63,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,30.69,30.69,2739.35,2739.35,2770.04,390.27,0.0,148.59,26.45,565.31,249.73,1905.65,1523.06,263.91,3942.34,7277.69,520.27,6.51,16.66,543.43,784.93,31.24,546.14,130.02,2035.77,482.83,3291.98,81.63,35.84,1349.64,5241.92,7277.69,393.01,0.0,0.0,0.0,0.0,14.19,1236.53,450.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,30.69,30.69,3121.47,3121.47,3152.16,454.21,0.0,230.81,26.3,711.32,153.7,2059.85,1871.0,303.83,4388.39,8251.87,558.86,11.81,7.74,578.41,648.56,15.66,283.79,152.39,1678.81,622.1,3281.25,145.48,155.09,2369.13,6573.06,8251.87,423.2,7.82,0.0,0.0,16.8,14.19,1346.77,326.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,30.94,30.94,3504.65,3504.65,3535.59,299.29,5.11,245.48,27.19,577.07,878.09,2136.23,2206.28,321.37,5541.97,9654.63,624.68,9.04,39.52,673.24,864.22,0.0,456.46,169.15,2163.07,738.93,3517.39,337.08,174.13,2724.03,7491.56,9654.63,724.06,815.8,0.0,0.0,1811.63,14.18,384.63,538.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,29.78,29.78,3833.02,3833.02,3862.8,352.21,0.0,221.43,29.58,603.22,628.57,2295.6,1784.62,483.17,5191.96,9657.98,668.54,5.95,14.39,688.88,885.98,23.36,520.12,178.65,2296.99,598.32,3731.92,312.07,110.17,2608.51,7360.99,9657.98,727.91,730.7,0.0,0.0,2068.17,13.65,855.36,560.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
