Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,595.4,726.4,616.5,646.0,544.2,602.6,563.7,591.3,489.6,524.6,431.3,448.4,417.7,444.6,368.1,303.0,381.6,369.9,362.3,218.9,257.0,337.0,365.8,301.8,289.3,346.6,280.4,253.6,212.5,328.19,200.47,210.24,205.42,249.49,157.98,200.71,208.57,241.89,183.43,198.54,188.17,227.19,197.83,196.37,171.63,179.49,188.16,194.1,162.87,196.24
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.73,3.62,2.91,2.01,1.76,2.35,1.57,1.1,2.9,1.06,2.98,1.74,2.6,2.08,1.12,0.92,0.81
Total Income From Operations,595.4,726.4,616.5,646.0,544.2,602.6,563.7,591.3,489.6,524.6,431.3,448.4,417.7,444.6,368.1,303.0,381.6,369.9,362.3,218.9,257.0,337.0,365.8,301.8,289.3,346.6,280.4,253.6,212.5,328.19,200.47,210.24,205.42,251.22,161.6,203.62,210.58,243.65,185.78,200.11,189.27,230.09,198.89,199.35,173.37,182.09,190.24,195.22,163.79,197.05
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,305.7,341.0,294.8,289.1,278.5,262.0,283.6,283.5,239.8,232.3,240.7,223.2,198.0,210.7,204.2,130.0,176.4,161.6,158.3,90.5,140.9,138.8,173.8,149.2,139.8,147.0,133.7,130.6,109.1,112.83,93.96,115.88,107.56,91.74,94.28,85.84,87.85,96.39,75.35,82.19,92.05,89.61,100.97,102.2,92.26,78.14,77.48,85.09,91.88,82.97
Purchase of Traded Goods,56.8,70.7,69.2,69.6,47.2,52.9,44.1,60.5,33.2,36.9,43.5,49.9,38.5,42.0,31.5,42.7,19.1,30.3,34.6,15.2,17.0,30.9,25.0,29.0,21.3,23.4,16.5,18.9,19.6,18.06,14.36,19.66,12.16,14.94,6.12,8.74,9.47,9.07,7.62,7.62,6.56,7.15,3.25,2.89,2.9,2.94,2.52,0.31,1.71,4.23
Increase/Decrease in Stocks,-39.2,-0.5,-31.4,5.4,-11.5,41.6,-10.7,-11.1,-1.9,8.5,-51.5,-21.9,-10.1,-3.2,-38.8,-15.8,-6.4,-21.6,1.3,19.6,-27.1,4.4,9.4,-17.4,-5.9,23.5,-5.3,-20.8,-31.1,43.79,-12.16,-31.97,-26.96,14.73,-31.8,2.4,2.9,13.03,-4.1,7.43,-4.44,24.84,-14.65,-12.54,-17.34,7.68,6.0,11.93,-21.35,8.8
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,92.8,82.8,79.6,75.5,75.7,68.8,68.0,66.8,66.1,67.4,59.7,60.6,56.2,59.7,53.4,50.3,52.0,46.0,47.7,45.0,47.5,46.8,43.9,45.5,41.7,40.0,39.4,38.8,35.8,36.48,35.82,36.82,35.44,39.5,35.55,34.73,35.01,28.01,31.65,31.76,33.36,32.16,31.52,32.28,31.08,25.63,27.78,28.39,28.26,24.42
Depreciation,13.9,14.4,13.7,13.3,12.9,13.7,12.3,12.0,11.7,12.0,11.7,11.1,10.5,11.0,10.9,10.8,10.8,11.7,10.3,9.9,9.9,14.7,10.5,10.3,10.2,10.4,9.8,9.8,9.7,8.5,7.6,7.41,7.37,7.63,7.29,7.31,7.13,6.54,7.33,6.97,6.93,7.12,6.91,6.81,6.71,6.99,6.76,6.58,6.2,6.21
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,111.6,134.0,116.7,115.8,93.4,96.4,108.4,106.4,95.2,102.7,84.8,75.5,80.4,79.0,66.1,56.5,78.5,78.3,59.5,35.0,60.7,68.4,75.0,63.4,60.6,64.8,64.0,57.5,59.3,74.71,47.39,46.06,56.92,54.08,44.72,47.6,50.34,56.17,46.12,49.28,49.57,58.53,50.77,45.18,39.34,45.98,46.26,42.57,41.57,46.72
"P/L Before Other Inc. , Int., Excpt. Items & Tax",53.8,84.0,73.9,77.3,48.0,67.2,58.0,73.2,45.5,64.8,42.4,50.0,44.2,45.4,40.8,28.5,51.2,63.6,50.6,3.7,8.1,33.0,28.2,21.8,21.6,37.5,22.3,18.8,10.1,33.82,13.5,16.38,12.93,28.6,5.44,17.0,17.88,34.44,21.81,14.86,5.24,10.68,20.12,22.53,18.42,14.73,23.44,20.35,15.52,23.7
Other Income,12.5,10.2,6.6,14.2,10.5,6.5,8.4,12.1,9.3,8.7,10.6,16.6,9.5,8.2,9.9,11.1,7.2,2.7,9.9,6.9,12.8,8.6,5.2,8.2,3.6,5.7,3.5,9.8,7.7,9.75,5.25,7.07,9.64,6.0,6.26,6.91,6.64,5.28,4.33,16.06,5.2,5.52,8.04,9.39,4.57,2.36,3.51,3.8,6.49,3.27
"P/L Before Int., Excpt. Items & Tax",66.3,94.2,80.5,91.5,58.5,73.7,66.4,85.3,54.8,73.5,53.0,66.6,53.7,53.6,50.7,39.6,58.4,66.3,60.5,10.6,20.9,41.6,33.4,30.0,25.2,43.2,25.8,28.6,17.8,43.57,18.75,23.45,22.57,34.6,11.7,23.91,24.52,39.72,26.14,30.92,10.44,16.2,28.16,31.92,22.99,17.09,26.95,24.15,22.01,26.97
