Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Trade Receivables,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,75.0,75.0,886.33,886.33,961.33,9055.94,0.0,0.0,9058.61,121.81,13.76,262.03,500.76,10520.7,21.89,1.8,0.68,0.0,24.37,58.61,0.0,217.39,0.0,401.32,9901.99,0.0,10303.31,10520.7,0.65,16.33,0.0,0.58,2.21,65.09,0.0,0.0,2.67,103.16,134.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,85.0,85.0,1110.05,1110.05,1195.04,10997.84,0.0,0.0,11000.61,50.0,12.62,398.37,555.18,12750.83,22.94,1.8,0.53,0.0,25.28,74.96,0.0,176.36,0.0,228.04,12346.44,0.0,12574.47,12750.83,0.37,37.61,0.0,0.56,1.51,23.63,0.0,0.0,2.77,94.19,76.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,85.0,85.0,1260.51,1260.51,1345.51,13630.41,0.0,0.0,13632.71,150.0,34.37,426.03,742.24,15720.45,22.02,2.23,0.22,0.0,24.47,85.81,0.0,424.42,0.0,479.98,14816.04,0.0,15296.03,15720.45,0.54,26.49,15.49,0.7,0.25,351.2,0.0,0.0,2.29,131.84,314.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,85.0,85.0,1458.84,1458.84,1543.83,16003.24,0.0,0.0,16005.21,329.36,38.58,588.02,1236.97,18786.01,20.65,2.45,0.5,0.0,23.61,85.4,0.0,315.12,0.0,779.03,17691.87,0.0,18470.89,18786.01,0.23,28.97,30.37,0.56,0.28,241.11,0.0,0.0,1.97,281.02,206.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,85.0,85.0,1746.66,1746.66,1831.65,20194.43,0.0,0.0,20196.16,150.0,65.5,754.37,1329.15,23356.96,20.38,2.61,7.02,0.0,30.0,94.59,0.0,899.16,0.0,361.67,22096.13,0.0,22457.81,23356.96,2.66,21.01,7.71,0.32,0.59,798.76,0.0,0.0,1.73,359.28,774.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,85.0,85.0,2149.1,2149.1,2234.1,24815.15,0.0,0.0,24817.92,606.51,85.61,1250.39,2333.06,29385.08,23.0,9.33,2.19,0.0,34.52,97.53,0.0,1261.2,0.0,135.29,27988.59,0.0,28123.88,29385.08,4.42,0.36,18.63,0.36,4.87,1125.05,0.0,0.0,2.78,390.55,1129.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,95.0,95.0,3292.68,3292.68,3387.67,33942.98,0.0,0.0,33946.08,815.18,88.69,1599.58,2911.22,40244.97,23.56,9.95,2.11,0.0,35.62,92.15,0.0,1516.47,0.0,267.0,38461.5,0.0,38728.5,40244.97,4.56,2.31,0.3,0.58,39.74,1348.38,0.0,0.0,3.09,407.78,1388.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,95.0,95.0,4074.11,4074.11,4169.1,37213.97,25.91,467.97,37707.85,731.78,17.51,9669.56,10660.43,52537.38,26.26,7.59,0.0,0.0,33.85,169.83,3.42,47008.02,0.04,580.71,4599.17,305.7,5529.36,52537.38,15.93,0.91,0.75,0.46,105.9,58.3,0.04,0.0,0.0,241.58,164.86,46636.06,43.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,101.0,101.0,5581.21,5581.21,5682.21,46511.3,28.09,623.15,47162.54,1358.62,14.63,9942.75,11584.98,64429.73,56.86,5.38,0.0,0.0,62.24,220.83,3.56,58514.38,0.03,279.29,5170.93,400.02,5915.35,64429.73,138.86,0.88,0.01,0.33,102.76,57.43,0.03,0.0,0.0,268.98,163.99,58063.76,65.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,101.0,101.0,6380.29,6380.29,6481.29,56267.94,47.21,687.44,57002.59,2437.24,23.19,14318.84,17076.35,80560.24,57.46,4.91,0.0,0.0,62.37,248.89,5.44,73917.16,0.23,1465.56,4573.25,543.4,6643.07,80560.24,181.16,0.97,0.04,0.46,111.66,72.85,0.02,0.0,0.0,297.08,184.4,73416.06,60.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
