Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,16.43,39.43,-148.52,-148.21,0.0,-108.78,400.26,0.0,0.0,0.0,400.26,85.48,19.43,17.4,0.0,122.3,413.78,183.71,120.15,303.87,0.0,0.0,0.0,0.53,304.4,0.0,16.24,85.22,0.46,7.46,0.0,109.39,413.78,19.66,1.48,5.25,0.0,5.01,0.0,0.0,23.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,16.43,39.43,-118.9,-118.63,0.0,-79.2,251.4,0.0,0.0,0.0,251.4,59.0,4.71,18.2,0.0,81.91,254.11,168.03,16.94,184.97,0.1,0.0,0.0,0.0,185.08,0.0,13.23,50.83,1.0,3.97,0.0,69.03,254.11,42.35,1.49,6.8,0.0,5.01,0.1,0.0,23.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,16.43,39.43,-54.2,-53.97,0.0,-14.54,202.16,0.0,0.0,0.0,202.16,8.22,85.25,32.61,0.0,126.08,313.7,233.33,0.23,233.55,0.1,0.0,0.0,0.0,233.66,0.0,44.18,19.47,1.32,15.07,0.0,80.04,313.7,4.83,1.28,4.65,0.0,5.01,0.1,0.0,23.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,21.43,21.43,-66.16,-65.97,0.0,-44.54,192.08,0.0,0.0,0.0,192.08,1.0,72.04,85.73,1.12,159.89,307.43,223.58,1.0,224.59,0.1,0.0,0.0,0.0,224.69,0.0,15.72,21.73,0.57,44.72,0.0,82.74,307.43,4.85,0.4,11.52,0.0,5.01,0.1,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,22.43,22.43,-24.22,-24.07,0.0,-1.64,125.64,0.0,0.0,0.0,125.64,9.5,107.33,64.92,1.6,183.35,307.34,197.25,3.79,201.04,0.1,0.0,0.0,0.0,201.14,0.0,39.66,11.5,0.87,54.16,0.0,106.2,307.34,1.7,0.57,4.91,0.0,5.01,0.1,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,22.43,22.43,60.3,60.41,0.0,82.84,43.93,0.0,0.0,0.0,43.93,9.5,164.73,59.4,1.36,234.99,361.76,173.76,73.31,247.07,9.1,0.0,0.0,0.0,256.17,0.0,30.62,16.26,7.84,50.87,0.0,105.58,361.76,0.4,0.95,100.93,0.0,5.01,9.1,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,22.43,22.43,78.17,78.24,0.0,100.67,35.91,0.0,0.0,0.0,35.91,9.5,204.99,91.36,1.58,307.43,444.01,161.44,157.48,318.93,8.9,0.0,0.0,0.0,327.83,0.0,31.73,10.72,4.91,68.82,0.0,116.18,444.01,7.07,0.0,14.2,0.0,5.01,8.9,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,22.43,22.43,96.77,96.77,0.0,119.2,32.33,0.0,0.0,2.44,34.77,0.0,286.48,69.94,0.0,356.42,510.4,334.37,4.01,338.38,0.11,0.0,39.34,0.0,377.83,0.0,58.2,20.33,7.84,46.2,0.0,132.57,510.4,6.34,0.21,26.99,0.0,5.01,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,22.43,22.43,100.5,100.5,0.0,122.93,26.7,0.0,0.0,2.82,29.51,0.0,325.46,72.42,0.0,397.88,550.33,316.81,2.02,318.83,0.11,0.0,39.35,0.0,358.29,0.0,78.77,49.42,12.05,51.8,0.0,192.03,550.33,7.06,0.22,0.0,0.0,5.01,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,22.43,22.43,102.42,102.42,0.0,124.85,20.59,0.0,0.0,3.19,23.77,0.0,223.73,84.89,0.0,308.62,457.25,294.91,3.94,298.85,0.11,0.0,40.06,0.0,339.03,0.0,31.15,36.54,7.86,42.68,0.0,118.22,457.25,13.31,0.16,0.0,0.0,5.01,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,22.43,22.43,59.97,59.97,0.0,82.4,15.66,0.0,0.0,3.55,19.21,0.0,253.58,82.43,0.0,336.01,437.63,275.37,4.69,280.06,0.03,0.0,38.37,0.0,318.47,0.0,48.97,15.87,9.86,44.47,0.0,119.16,437.63,6.72,0.25,0.0,0.0,5.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,22.43,22.43,38.82,38.82,0.0,61.25,10.23,0.0,149.23,4.14,163.6,7.5,140.34,56.84,0.0,204.68,429.53,271.02,5.4,276.43,0.08,0.0,38.96,0.0,315.46,0.0,30.71,22.43,10.16,50.76,0.0,114.06,429.53,7.23,0.29,0.0,0.0,5.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,22.43,22.43,39.54,39.54,0.0,61.97,10.04,0.0,316.42,3.87,330.34,1.93,64.07,4.95,0.0,70.95,463.26,292.66,7.26,299.92,0.13,0.0,38.81,0.0,338.86,0.0,56.54,21.72,7.47,38.67,0.0,124.4,463.26,6.58,0.44,0.0,0.0,5.01,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,22.43,22.43,45.19,45.19,0.0,67.62,9.29,0.0,331.16,3.96,344.42,16.53,59.89,12.18,2.04,90.64,502.68,319.89,8.46,328.35,0.13,0.0,0.0,38.82,367.3,0.0,68.14,10.95,8.16,0.0,48.14,135.38,502.68,7.86,0.0,0.0,0.0,5.01,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,22.43,22.43,62.0,62.0,0.0,84.43,10.03,0.0,363.01,4.35,377.39,19.15,67.6,5.31,2.24,94.3,556.12,348.24,22.99,371.23,0.13,0.0,0.0,38.52,409.88,0.0,67.86,15.54,7.13,0.0,55.71,146.24,556.12,15.43,0.66,0.0,0.0,5.01,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,22.43,22.43,85.82,85.82,0.0,108.25,82.62,0.0,304.95,5.09,392.65,2.67,64.03,14.8,8.28,89.78,590.68,358.18,36.2,394.37,0.13,0.0,0.0,0.63,395.13,0.0,73.64,23.1,8.45,0.0,90.36,195.55,590.68,16.2,0.65,0.0,0.0,5.01,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,22.69,22.69,121.72,121.72,0.0,144.41,80.9,0.0,278.23,5.73,364.86,17.99,61.12,39.36,14.38,132.84,642.11,373.93,42.37,416.29,0.13,18.73,0.0,0.65,435.81,0.0,84.12,7.89,18.6,0.0,95.7,206.3,642.11,13.2,0.72,0.0,0.0,5.01,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,25.35,25.35,139.86,139.86,16.9,182.11,93.17,0.0,282.81,5.74,381.71,9.69,35.25,101.15,10.34,156.43,720.25,361.67,84.71,446.38,0.14,18.73,0.0,0.73,465.98,0.0,115.71,6.91,8.04,0.0,123.61,254.27,720.25,13.09,0.1,0.0,0.0,5.01,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,37.04,37.04,428.91,428.91,15.63,481.58,56.72,0.0,161.86,5.36,223.95,0.0,15.18,89.1,13.93,118.21,823.73,399.67,85.88,485.55,0.14,28.24,0.0,0.87,514.79,0.0,166.84,23.74,21.87,0.0,96.49,308.94,823.73,65.65,0.47,0.0,2.34,5.01,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,50.48,50.48,1478.42,1478.42,0.0,1528.9,0.0,0.0,2.19,22.56,24.75,0.0,74.53,385.5,12.12,472.15,2025.8,532.37,373.1,905.47,0.14,137.38,0.0,36.31,1079.3,36.79,269.75,24.51,264.54,25.07,325.84,946.5,2025.8,100.06,3.47,0.0,0.4,5.0,0.14,36.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
