Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20
Net Sales/Income from operations,3846.1,3485.3,2560.5,2785.4,3526.0,2793.9,1731.2,1408.4,3100.2,1670.58,1724.43,2239.39,3317.13,1397.81,1959.95,1514.38,2720.15,765.61,575.31,238.62,1735.08
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,3846.1,3485.3,2560.5,2785.4,3526.0,2793.9,1731.2,1408.4,3100.2,1670.58,1724.43,2239.39,3317.13,1397.81,1959.95,1514.38,2720.15,765.61,575.31,238.62,1735.08
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,1552.8,1683.9,2252.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,850.9,2003.07,998.86,--,--,--,818.86,1345.92,--,1687.03,572.14,696.52,--,1302.62
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,133.1,129.3,138.0,137.9,117.9,116.1,112.0,116.8,98.44,111.29,107.95,93.54,88.52,79.46,80.6,78.08,75.65,68.05,60.1,52.72,33.88
Depreciation,70.1,71.5,88.5,65.8,121.7,41.9,46.3,41.4,37.63,33.75,31.6,21.19,14.32,14.04,11.96,12.08,13.8,15.0,14.63,13.86,85.26
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,2662.7,2437.4,203.4,223.3,316.2,1868.3,1222.0,162.9,309.39,208.47,1198.16,1766.62,2405.12,162.28,191.64,1081.37,64.15,-28.78,-240.94,307.82,170.47
"P/L Before Other Inc. , Int., Excpt. Items & Tax",980.2,847.1,577.8,674.5,717.6,767.6,350.9,236.4,651.67,318.21,386.72,358.04,809.17,323.17,329.83,342.85,879.53,139.21,44.99,-135.78,142.85
Other Income,155.0,86.9,91.7,94.9,130.4,71.8,23.4,93.2,68.27,165.61,7.15,13.86,50.31,31.4,19.69,48.79,31.61,41.74,43.04,29.9,120.74
"P/L Before Int., Excpt. Items & Tax",1135.2,934.0,669.5,769.4,848.0,839.4,374.3,329.6,719.94,483.82,393.87,371.9,859.48,354.57,349.52,391.64,911.14,180.95,88.03,-105.88,263.59
Interest,154.2,170.5,155.5,132.2,118.8,130.3,140.5,153.7,134.64,132.6,132.06,198.55,106.38,70.38,70.15,148.08,222.8,200.28,223.84,170.97,187.7
P/L Before Exceptional Items & Tax,981.0,763.5,514.0,637.2,729.2,709.1,233.8,175.9,585.3,351.22,261.81,173.35,753.1,284.19,279.37,243.56,688.34,-19.33,-135.81,-276.85,75.88
Exceptional Items,--,--,--,--,--,-263.9,--,--,--,--,-1177.39,--,--,--,--,--,--,--,-460.0,--,-185.0
P/L Before Tax,981.0,763.5,514.0,637.2,729.2,445.2,233.8,175.9,585.3,351.22,-915.58,173.35,753.1,284.19,279.37,243.56,688.34,-19.33,-595.81,-276.85,-109.12
Tax,206.9,198.8,128.9,171.5,190.0,132.0,57.7,40.6,-142.93,-28.88,26.03,34.66,249.31,75.44,72.07,62.83,288.71,-0.08,-208.56,-98.0,-48.56
P/L After Tax from Ordinary Activities,774.1,564.7,385.1,465.7,539.2,313.2,176.1,135.3,728.23,380.1,-941.61,138.69,503.79,208.75,207.3,180.73,399.63,-19.25,-387.25,-178.85,-60.56
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
