Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2015-06-30,670.9,670.9,436.3,11.0,0.0,135.2,88.4,19.3,107.7,0.4,107.3,107.3,18.2,89.1,89.1,300.0,0.0,0.0,0.0
2015-09-30,733.6,733.6,464.4,12.7,0.0,138.7,117.8,24.5,142.3,0.4,141.9,141.9,39.6,102.3,102.3,300.0,0.0,10.61,7.83
2015-12-31,738.5,738.5,460.8,13.7,0.0,122.3,141.7,27.1,168.8,0.5,168.3,168.3,37.2,131.1,131.1,300.0,0.0,14.45,10.66
2016-03-31,751.04,751.04,242.19,16.74,522.6,-160.86,130.36,4.47,134.83,0.32,134.51,134.51,22.77,111.74,111.74,300.0,66.25,0.0,0.0
2016-06-30,765.4,765.4,487.8,16.6,0.0,121.5,139.5,22.5,162.0,0.2,161.8,161.8,42.4,119.4,119.4,20.3,0.0,12.26,10.6
2016-09-30,788.7,788.7,492.4,13.9,0.0,134.2,148.2,14.2,162.4,0.2,162.2,162.2,43.5,118.7,118.7,20.3,0.0,11.67,11.42
2016-12-31,780.1,780.1,492.1,13.6,0.0,134.2,140.2,16.2,156.4,38.6,117.8,117.8,0.0,117.8,117.8,20.3,0.0,11.58,11.13
2017-03-31,778.3,778.3,501.5,13.4,0.0,146.5,116.9,2.6,119.5,0.3,119.2,119.2,26.1,93.1,93.1,20.3,0.0,9.16,8.81
2017-06-30,779.1,779.1,498.4,13.2,0.0,153.0,114.5,28.2,142.7,0.0,142.7,142.7,38.8,103.9,103.9,20.3,0.0,10.22,9.9
2017-09-30,840.0,840.0,567.7,13.3,0.0,141.5,117.5,46.0,163.5,0.1,163.4,163.4,45.9,117.5,117.5,20.4,0.0,11.53,11.17
