Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,1407.97,1291.25,1150.85,1214.79,1430.36,1535.35,1222.6,1623.13,1114.63,1148.08,1057.6,1191.9,946.79,811.39,606.01,645.59,544.44,578.32,456.73,578.01,560.42,788.1,690.31,964.82,781.24,702.83,607.43,630.12,562.19,482.69,448.48,450.5,380.86,303.98,287.7,325.04,190.02,263.28,237.6,358.57,349.62,363.94,269.0,326.65,266.78,284.39,327.35,328.7,391.62,480.72
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.21,--,1.22,1.47,1.28,1.81,2.15,1.44,0.89,0.71,1.34,0.54,0.74,0.61,6.17,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1407.97,1291.25,1150.85,1214.79,1430.36,1535.35,1222.6,1623.13,1114.63,1148.08,1057.6,1191.9,946.79,811.39,606.01,645.59,544.44,578.32,456.73,578.01,560.42,788.1,690.31,964.82,781.24,703.04,607.43,631.34,563.66,483.97,450.29,452.65,382.3,304.87,288.41,326.38,190.56,264.02,238.21,364.74,349.62,363.94,269.0,326.65,266.78,284.39,327.35,328.7,391.62,480.72
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,808.16,785.07,789.24,779.65,728.52,945.99,795.46,1120.2,663.85,796.22,671.85,774.37,716.27,649.23,429.63,477.72,366.28,273.85,280.48,373.97,309.8,433.67,482.15,615.29,577.49,399.73,423.28,404.48,358.25,349.66,319.27,284.21,254.38,187.45,186.8,233.77,103.97,225.89,136.59,230.72,236.18,294.56,226.01,229.53,197.93,198.29,190.78,178.75,317.68,323.31
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.91,11.43,--,0.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,62.85,9.37,5.12,-52.54,126.1,-9.38,-27.96,-81.04,82.51,-29.03,30.89,78.84,-72.92,-112.78,-40.01,-94.75,-11.94,75.81,-7.12,-33.57,39.46,51.54,-61.15,-54.46,-79.43,68.21,-72.84,-30.31,30.26,-20.01,-26.72,5.96,-10.44,1.12,11.39,-22.1,34.8,-32.89,62.6,40.92,-1.27,-40.61,-39.19,11.55,-7.69,1.89,32.8,73.34,-43.84,12.68
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,30.42,30.2,30.14,27.24,26.66,27.24,27.48,24.42,21.62,23.7,17.69,16.04,18.88,18.97,17.11,18.63,16.47,16.56,15.31,18.76,19.1,18.99,17.89,19.84,17.98,17.24,15.42,15.72,14.81,16.11,15.39,16.23,12.81,11.87,11.58,11.21,11.41,11.59,11.11,11.17,10.76,10.32,10.0,8.62,10.05,9.91,11.19,8.23,11.03,12.35
Depreciation,25.19,25.06,24.9,24.83,25.26,25.26,33.94,33.58,26.65,26.33,26.86,27.23,26.47,25.92,26.68,26.05,26.52,26.54,26.28,19.91,19.73,19.65,19.46,19.1,19.58,19.58,19.56,19.19,18.64,18.63,17.99,17.17,17.39,17.45,17.37,6.48,7.49,7.24,7.45,7.07,7.3,5.07,9.8,8.67,9.37,9.45,9.46,9.34,9.13,9.41
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,226.55,235.6,200.41,184.3,179.47,238.48,183.74,247.52,164.91,176.06,157.21,163.42,146.02,131.96,81.58,117.08,86.44,81.64,66.19,103.6,75.68,118.04,97.49,148.83,107.99,89.87,97.9,115.18,87.88,78.17,81.11,74.04,66.02,45.01,49.41,56.88,40.21,56.77,44.41,57.51,68.32,72.8,57.31,62.1,52.32,48.34,59.72,67.15,73.0,77.29
"P/L Before Other Inc. , Int., Excpt. Items & Tax",254.8,205.95,101.04,251.31,344.35,307.76,209.94,278.45,155.09,154.8,153.1,132.0,112.07,98.09,91.02,100.86,60.67,103.92,75.59,95.34,96.65,146.21,134.47,216.22,137.63,108.41,124.11,105.17,42.39,41.41,42.81,55.04,42.14,41.97,11.86,40.14,-7.32,-4.58,-23.95,17.35,28.33,21.8,5.07,6.18,4.8,16.51,23.4,-8.11,24.62,45.68
Other Income,1.57,90.74,64.71,43.89,34.78,29.1,33.4,30.4,16.69,19.55,10.14,3.21,21.86,31.7,31.47,15.29,22.84,27.51,25.0,-1.69,14.96,19.59,18.24,-3.76,8.33,29.38,35.14,15.61,19.06,15.07,17.56,16.04,25.39,19.31,24.27,26.0,14.75,10.91,12.98,30.46,18.06,20.96,21.2,22.24,19.09,9.92,11.96,26.99,15.2,8.96
"P/L Before Int., Excpt. Items & Tax",256.37,296.69,165.75,295.2,379.13,336.86,243.34,308.85,171.78,174.35,163.24,135.21,133.93,129.79,122.49,116.15,83.51,131.43,100.59,93.65,111.61,165.8,152.71,212.46,145.96,137.79,159.25,120.78,61.45,56.48,60.37,71.08,67.53,61.28,36.13,66.14,7.43,6.33,-10.97,47.81,46.39,42.76,26.27,28.42,23.89,26.43,35.36,18.88,39.82,54.64
Interest,0.51,0.84,0.87,0.45,0.68,0.72,6.59,5.15,7.43,10.32,9.82,10.26,10.51,9.76,9.38,10.39,11.97,12.53,13.12,10.81,11.52,12.46,13.14,9.74,3.26,2.14,1.32,-0.2,4.61,2.22,2.06,5.66,2.29,1.25,1.11,0.81,0.52,0.54,0.63,1.17,0.6,1.19,0.64,1.35,0.59,0.24,0.55,0.91,1.75,2.24
P/L Before Exceptional Items & Tax,255.86,295.85,164.88,294.75,378.45,336.14,236.75,303.7,164.35,164.03,153.42,124.95,123.42,120.03,113.11,105.76,71.54,118.9,87.47,82.84,100.09,153.34,139.57,202.72,142.7,135.65,157.93,120.98,56.84,54.26,58.31,65.42,65.24,60.03,35.02,65.33,6.91,5.79,-11.6,46.64,45.79,41.57,25.63,27.07,23.3,26.19,34.81,17.97,38.07,52.4
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-190.99,--,--,--,-450.41,--,--,--,-145.98,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,255.86,295.85,164.88,294.75,378.45,336.14,236.75,303.7,164.35,164.03,153.42,124.95,123.42,120.03,113.11,-85.23,71.54,118.9,87.47,-367.57,100.09,153.34,139.57,56.74,142.7,135.65,157.93,120.98,56.84,54.26,58.31,65.42,65.24,60.03,35.02,65.33,6.91,5.79,-11.6,46.64,45.79,41.57,25.63,27.07,23.3,26.19,34.81,17.97,38.07,52.4
Tax,65.69,71.65,28.93,71.46,98.16,80.56,20.98,-6.28,40.68,40.98,39.35,31.56,32.01,27.3,10.19,-1.81,2.83,28.63,21.44,16.88,24.04,-42.96,48.15,75.98,49.93,47.16,57.58,32.56,18.07,20.28,21.06,26.27,21.59,21.21,11.12,27.04,1.96,1.53,-3.26,16.5,10.76,6.66,3.15,-1.32,2.31,6.03,7.23,1.74,9.67,9.07
P/L After Tax from Ordinary Activities,190.17,224.2,135.95,223.29,280.29,255.58,215.77,309.98,123.67,123.05,114.07,93.39,91.41,92.73,102.92,-83.42,68.71,90.27,66.03,-384.45,76.05,196.3,91.42,-19.24,92.77,88.49,100.35,88.42,38.77,33.98,37.25,39.15,43.65,38.82,23.9,38.29,4.95,4.26,-8.34,30.14,35.03,34.91,22.48,28.39,20.99,20.16,27.58,16.23,28.4,43.33
