Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Other Assets,Deferred Tax Assets [Net],Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,28.82,28.82,0.0,215.27,215.27,244.1,109.85,25.76,0.0,135.61,17.29,29.82,9.81,17.55,74.47,454.17,104.72,0.0,114.98,219.7,25.65,0.0,0.0,245.48,0.0,85.51,70.96,2.8,49.42,0.0,208.69,454.17,19.29,45.58,0.0,46.78,0.27,0.0,0.0,146.3,0.0,8.31,18.05,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,28.82,28.82,0.0,283.99,283.99,312.81,104.82,34.29,0.0,139.11,5.73,45.8,16.34,19.99,87.88,539.79,229.12,0.0,40.79,269.92,19.3,0.0,0.0,289.28,0.0,133.09,96.2,4.29,16.95,0.0,250.51,539.79,4.21,126.44,0.0,0.45,0.49,0.0,0.0,84.05,0.0,0.0,19.3,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,28.82,28.82,0.0,385.09,385.09,413.92,467.5,38.86,0.0,506.36,24.62,73.7,23.93,24.31,146.56,1066.84,264.44,0.0,16.31,280.75,20.48,0.0,0.0,301.29,0.0,275.53,139.98,319.17,30.87,0.0,765.54,1066.84,31.73,300.26,0.0,0.0,6.78,0.0,0.0,112.06,0.0,0.0,20.48,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,34.97,34.97,0.0,889.13,889.13,924.09,106.27,41.3,0.0,147.57,1.09,36.16,29.06,15.35,81.66,1153.32,280.0,0.0,5.79,285.79,53.82,0.0,0.0,339.83,0.0,251.28,199.58,323.22,39.42,0.0,813.49,1153.32,24.72,237.34,0.0,4.81,1.32,0.0,0.0,210.95,0.0,40.56,13.36,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,35.27,35.27,0.0,1058.14,1058.14,1093.4,89.98,41.98,0.0,131.96,11.8,108.51,34.26,50.06,204.63,1429.99,268.46,0.0,69.0,337.46,89.38,0.0,0.0,426.84,0.0,380.27,269.52,254.87,98.49,0.0,1003.15,1429.99,14.71,209.56,0.0,40.18,6.96,0.0,474.07,13.88,0.0,79.41,10.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,35.27,35.27,0.0,1274.72,1274.72,1309.98,81.87,42.99,0.0,124.86,0.11,97.14,23.97,57.9,179.12,1613.97,283.75,0.0,106.89,390.64,419.87,0.0,0.0,810.76,0.0,352.08,278.77,110.63,61.72,0.0,803.21,1613.97,47.14,448.92,0.0,18.52,38.68,0.0,864.21,3.8,0.0,412.2,9.55,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,35.27,35.27,742.34,1509.96,2252.31,2287.57,78.23,43.9,0.0,122.13,1.87,94.48,18.4,60.04,174.78,2584.49,1017.11,0.0,190.72,1207.83,628.4,0.0,0.0,1836.69,0.0,514.0,182.55,8.38,42.86,0.0,747.8,2584.49,49.42,209.68,0.0,25.57,1.6,0.0,334.77,0.0,0.0,637.8,19.87,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,35.27,35.27,701.45,1802.44,2503.89,2539.16,1.16,44.84,68.78,114.78,1.67,103.9,94.65,15.59,215.8,2869.74,295.83,1.6,245.13,1244.02,34.1,17.36,0.0,1295.47,482.36,541.21,312.37,10.17,227.3,0.86,1574.27,2869.74,237.74,312.7,4.37,49.55,0.32,0.0,58.78,0.0,0.0,0.0,34.1,490.92,701.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,35.27,35.27,660.56,2063.99,2724.55,2759.81,1.04,59.4,62.77,123.21,29.86,147.5,96.99,9.41,283.76,3166.79,660.91,1.21,9.89,1332.57,146.15,57.96,0.0,1536.68,327.44,717.19,362.24,20.14,201.89,1.22,1630.11,3166.79,453.39,385.78,7.09,12.52,0.2,0.0,229.83,0.0,0.0,0.0,50.68,425.23,660.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,35.27,35.27,619.63,2167.83,2787.46,2822.72,0.83,70.5,57.36,128.69,3.79,38.44,102.05,9.51,153.79,3105.21,633.85,0.82,52.4,1306.71,131.02,88.84,0.0,1526.57,566.14,513.29,321.55,7.83,164.65,5.18,1578.64,3105.21,755.26,468.64,7.84,5.82,1.21,0.0,279.14,1.06,0.0,0.0,63.54,619.71,619.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
