Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Deferred Tax Liabilities [Net],Capital Goods,Preference Share Capital,Inventories,Trade Receivables,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,4.5,4.5,4.19,4.19,0.0,8.69,0.0,52.96,0.0,0.0,53.01,5.11,0.4,2.94,10.36,72.06,1.93,0.08,0.0,2.02,0.13,0.0,3.14,0.0,2.35,62.13,0.0,68.91,72.06,0.73,0.0,0.0,0.0,1.01,0.0,0.0,1.91,0.99,0.0,0.05,0.0,0.0,3.88,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,4.5,6.5,6.18,6.18,0.0,12.68,0.0,62.94,0.0,0.0,63.14,9.7,0.47,3.56,17.35,93.17,3.09,0.11,0.0,3.2,0.15,0.0,5.0,0.0,1.82,85.0,0.0,88.16,93.17,0.22,0.0,0.0,0.0,1.39,0.25,0.0,3.62,1.65,0.0,0.2,0.0,2.0,0.93,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,5.5,7.5,10.52,10.52,0.0,18.02,0.0,50.12,0.0,0.0,50.46,15.49,1.01,18.95,41.61,110.09,4.73,0.37,0.0,5.09,0.2,0.0,7.35,0.0,34.14,67.67,0.02,102.74,110.09,0.24,0.02,0.0,0.0,1.53,0.5,0.0,6.15,2.05,0.0,0.34,0.0,2.0,0.23,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,11.0,15.0,13.13,13.13,0.0,28.13,0.0,79.88,0.0,0.0,80.54,13.38,1.43,20.4,49.6,158.27,10.32,0.37,0.0,10.69,0.57,0.0,14.3,0.0,21.57,110.28,0.9,143.97,158.27,0.31,0.0,0.0,5.5,2.4,0.5,0.0,14.39,3.05,0.0,0.66,0.0,4.0,10.25,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,11.0,61.8,31.18,31.18,0.0,92.98,0.0,101.42,0.0,0.0,102.63,73.08,0.0,21.68,97.23,292.84,16.32,0.0,0.0,16.32,1.16,0.0,20.41,0.0,67.22,204.03,1.18,272.43,292.84,53.55,0.0,0.0,5.5,2.33,0.5,0.0,2.47,2.93,0.0,1.2,0.0,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,17.26,21.26,143.62,143.62,0.0,164.87,3.0,152.45,0.0,0.0,154.55,298.64,0.0,34.29,339.74,662.16,25.87,1.91,0.26,28.04,3.46,0.0,32.58,0.0,113.4,514.75,1.45,629.59,662.16,125.91,0.0,0.0,5.5,1.06,0.0,0.0,6.82,1.08,0.0,2.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,34.04,34.04,576.52,576.52,0.0,610.56,0.0,384.45,0.0,0.0,387.92,1451.22,0.0,81.03,1552.7,2551.19,53.42,3.36,0.12,56.9,6.81,0.0,204.38,0.0,268.21,2073.5,5.1,2346.81,2551.19,70.87,0.11,1.47,5.5,140.67,0.0,0.0,20.46,140.67,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,83.38,83.38,1840.58,1840.58,0.0,1923.96,0.0,489.23,4.72,0.0,493.95,4870.82,0.0,399.19,5364.76,7782.66,131.9,5.98,6.77,144.66,8.71,25.93,209.56,40.0,643.09,6394.04,495.98,7573.11,7782.66,179.23,1.05,0.0,39.54,0.34,0.0,40.0,94.75,0.32,29.95,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,168.23,168.23,2212.81,2212.81,0.0,2381.04,0.0,1071.74,12.89,0.0,1084.63,7231.36,37.06,1183.36,8611.17,12076.84,216.37,7.65,14.4,238.43,18.9,33.46,353.09,208.24,817.71,9662.15,1035.66,11723.75,12076.84,272.86,0.01,0.0,122.91,0.0,10.0,205.0,159.39,10.0,52.3,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,168.24,168.24,2274.67,2274.67,0.0,2442.91,0.0,1361.16,52.45,0.0,1413.61,6825.26,38.76,1931.55,8871.32,12727.85,202.7,7.79,30.71,241.21,46.83,152.98,488.84,692.57,883.61,9998.59,664.24,12239.01,12727.85,5.35,0.08,0.0,122.91,0.0,5.0,690.0,75.75,5.0,42.82,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,168.24,168.24,2323.53,2323.53,0.0,2491.77,0.0,1454.64,272.56,0.0,1727.2,5212.79,36.34,1270.77,6619.41,10838.38,191.12,6.21,4.52,201.86,28.9,136.42,443.41,790.6,833.26,8187.09,584.02,10394.97,10838.38,27.43,0.24,0.0,122.91,0.0,21.36,787.37,99.5,21.36,54.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,168.24,168.24,2459.13,2459.13,0.0,2627.37,0.0,1550.29,109.39,0.0,1659.68,5299.77,24.21,1673.46,7045.13,11332.18,167.11,4.32,0.88,172.32,29.62,131.23,586.63,211.82,682.61,9269.15,581.98,10745.55,11332.18,28.24,0.03,0.0,122.91,0.0,167.64,202.55,47.69,167.64,85.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
