Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22
Net Sales/Income from operations,2126.59,2396.57,2529.74,2403.26,2152.69,2358.57,2453.35,2300.21,1872.12,1936.23,2257.55,2061.25,1644.82
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,2126.59,2396.57,2529.74,2403.26,2152.69,2358.57,2453.35,2300.21,1872.12,1936.23,2257.55,2061.25,1644.82
EXPENDITURE,,,,,,,,,,,,,
Consumption of Raw Materials,216.76,179.72,182.12,204.24,213.15,205.21,229.96,213.41,163.93,161.4,206.28,179.44,219.92
Purchase of Traded Goods,384.25,445.6,484.31,503.96,477.13,500.36,538.46,555.98,463.62,460.35,462.17,479.69,620.53
Increase/Decrease in Stocks,-43.53,34.08,36.94,-21.71,-67.33,24.14,-2.08,19.91,21.0,28.74,143.32,74.83,-271.04
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,536.75,521.79,525.86,522.1,507.93,492.68,500.29,481.2,431.07,420.49,440.23,409.59,372.86
Depreciation,105.24,87.03,85.42,83.4,82.29,89.73,77.04,68.54,67.3,71.02,66.04,65.22,36.41
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,15.82,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,539.62,474.45,548.48,622.47,474.47,533.07,551.52,490.24,411.34,491.76,483.21,497.32,393.34
"P/L Before Other Inc. , Int., Excpt. Items & Tax",371.68,653.9,666.61,488.8,465.04,513.38,558.15,470.93,313.86,302.48,456.3,355.16,272.79
Other Income,219.32,69.82,105.76,94.83,83.85,67.23,58.12,57.44,42.46,32.4,69.15,18.78,8.15
"P/L Before Int., Excpt. Items & Tax",591.0,723.72,772.37,583.63,548.89,580.61,616.27,528.36,356.32,334.88,525.45,373.94,280.94
Interest,162.25,199.47,1.92,6.26,4.03,4.26,4.31,1.97,0.88,9.24,8.19,9.43,10.61
P/L Before Exceptional Items & Tax,428.75,524.25,770.45,577.37,544.86,576.35,611.96,526.39,355.43,325.64,517.25,364.51,270.32
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,428.75,524.25,770.45,577.37,544.86,576.35,611.96,526.39,355.43,325.64,517.25,364.51,270.32
Tax,46.29,107.87,168.01,93.12,90.69,89.28,139.08,117.11,74.45,76.76,97.02,66.35,52.84
P/L After Tax from Ordinary Activities,382.46,416.38,602.44,484.25,454.17,487.07,472.88,409.28,280.99,248.87,420.23,298.16,217.48
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,31.99,29.24,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,382.46,416.38,634.43,513.49,454.17,487.07,472.88,409.28,280.99,248.87,420.23,298.16,217.48
Equity Share Capital,41.26,40.06,40.06,40.06,40.06,40.06,40.06,40.06,40.06,40.06,40.06,40.06,40.06
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,
Basic EPS,9.27,10.35,15.83,12.82,11.34,12.16,11.8,10.22,7.01,6.21,10.49,7.44,5.43
Diluted EPS,9.25,10.33,15.8,12.8,11.32,12.14,11.79,10.21,7.01,6.21,10.49,7.44,5.43
EPS After Extra Ordinary,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,
