Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-12-31,292.04,292.04,15.67,29.98,43.51,10.02,22.03,43.42,127.42,13.5,140.92,6.02,134.9,134.9,33.97,100.93,100.93,24.79,4.07,4.07
2021-03-31,182.2,182.2,27.57,33.74,-22.77,10.22,21.62,53.12,58.69,8.26,66.95,6.07,60.88,60.88,16.73,44.15,44.15,24.79,1.78,1.78
2021-06-30,152.23,152.23,15.69,25.39,-3.11,10.37,19.7,38.07,46.13,18.31,64.44,5.5,58.95,58.95,15.29,43.65,43.65,24.27,1.8,0.0
2021-09-30,194.65,194.65,26.29,32.83,-12.83,12.07,20.74,47.73,67.82,8.26,76.09,6.18,69.91,69.91,17.69,52.22,52.22,24.24,2.15,2.13
2021-12-31,372.86,372.86,35.21,59.21,1.48,17.55,22.57,73.58,163.27,11.1,174.37,7.16,167.21,167.21,42.13,125.08,125.08,24.27,5.11,5.11
2022-03-31,289.01,289.01,38.02,53.22,-22.42,16.14,25.03,63.95,115.07,10.87,125.94,8.24,117.7,117.7,30.3,87.4,87.4,24.27,3.58,3.58
2022-06-30,317.17,317.17,33.71,42.89,-0.52,12.58,24.59,68.81,135.1,6.92,142.02,7.47,134.55,134.55,34.62,99.93,99.93,24.27,4.12,4.12
2022-09-30,241.96,241.96,40.78,56.49,-44.2,13.12,23.07,62.47,90.23,9.47,99.7,7.39,92.3,92.3,23.34,68.96,68.96,24.27,2.84,2.84
2022-12-31,430.65,430.65,43.67,72.1,1.18,14.86,23.43,79.71,195.7,8.75,204.45,7.18,197.27,197.27,50.33,146.94,146.94,24.28,6.05,6.05
2023-03-31,336.18,336.18,30.64,56.61,3.18,14.62,26.38,65.44,139.31,11.91,151.22,8.31,142.91,142.91,35.85,107.06,107.06,24.28,4.41,4.41
2023-06-30,311.22,311.22,29.27,33.82,24.08,14.96,29.27,60.93,118.9,14.68,133.57,9.4,124.17,124.17,31.84,92.33,92.33,24.28,3.8,3.8
2023-09-30,217.86,217.86,33.2,33.98,-9.66,14.6,31.81,53.02,60.91,14.79,75.71,10.68,65.03,65.03,16.04,48.99,48.99,24.28,2.02,2.02
2023-12-31,473.54,473.54,40.24,73.01,21.16,13.72,33.79,83.79,207.82,15.09,222.91,11.17,211.74,211.74,54.06,157.68,157.68,24.28,6.49,6.49
2024-03-31,362.27,362.27,42.2,64.9,-7.16,13.35,37.59,74.39,137.01,23.69,160.7,13.22,147.48,147.48,31.9,115.58,115.58,24.29,4.76,4.75
2024-06-30,239.49,239.49,31.31,29.12,2.5,14.59,36.98,49.48,75.52,20.93,96.45,13.92,82.54,82.54,20.59,61.95,61.95,24.29,2.55,2.55
2024-09-30,267.54,267.54,43.98,50.21,-28.3,14.45,37.26,65.48,84.45,18.82,103.27,13.72,89.55,89.55,23.14,66.4,66.4,24.29,2.73,2.73
2024-12-31,511.28,511.28,51.03,102.67,-10.41,15.38,39.13,110.43,203.06,22.39,225.46,13.95,211.51,211.51,53.54,157.98,157.98,24.29,6.5,6.5
2025-03-31,367.44,367.44,49.94,73.25,-26.15,15.35,39.46,89.32,126.27,22.06,148.33,13.62,134.7,134.7,33.6,101.11,101.11,24.29,4.16,4.16
