Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Equity Dividend Rate (%),Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,10956.95,243.39,11200.34,8376.04,566.84,-158.73,241.23,358.33,1283.69,532.94,188.62,721.56,45.93,675.63,675.63,174.34,501.29,501.29,144.46,0.0,17.35,17.35,13.23,45.79,15.66,100.0,54.21
2013-03-31,13056.26,247.75,13304.01,8225.73,440.35,63.45,387.45,815.89,2187.42,1183.72,398.99,1582.71,72.64,1510.07,1510.07,270.45,1239.62,1239.62,151.04,0.0,41.04,41.04,13.23,43.79,16.98,100.0,56.21
2013-06-30,9995.12,242.22,10237.34,6876.21,564.07,-74.67,295.11,480.16,1410.46,686.0,204.3,890.3,44.23,846.07,846.07,214.46,631.61,631.61,151.04,0.0,20.91,20.91,13.23,43.79,16.98,100.0,56.21
2013-09-30,10211.83,256.23,10468.06,6896.79,598.09,-230.52,372.33,499.17,1509.94,822.26,101.02,923.28,43.39,879.89,879.89,209.66,670.23,670.23,151.04,0.0,22.19,22.19,13.23,43.79,16.98,100.0,56.21
2013-12-31,10619.68,274.16,10893.84,7020.36,617.62,163.4,299.66,541.38,1438.01,813.41,116.95,930.36,44.8,885.56,885.56,204.41,681.15,681.15,151.04,0.0,22.55,22.55,13.23,43.79,16.98,100.0,56.21
2014-03-31,11818.13,283.26,12101.39,8066.32,651.63,160.3,401.01,563.69,1574.6,683.84,406.62,1090.46,43.43,1047.03,1047.03,246.98,800.05,800.05,151.04,240.0,26.48,26.48,13.23,43.79,16.98,100.0,56.21
2014-06-30,11073.51,296.13,11369.64,7702.09,630.26,-148.04,353.51,583.64,1503.62,744.56,296.53,1041.09,38.55,1002.54,1002.54,240.26,762.28,762.28,151.04,0.0,25.23,25.23,13.23,43.79,16.98,100.0,56.21
2014-09-30,11996.33,307.45,12303.78,8566.99,695.31,-487.44,369.82,598.85,1638.26,921.99,193.25,1115.24,34.79,1080.45,1080.45,217.91,862.54,862.54,151.04,0.0,28.55,28.55,13.23,43.79,16.98,100.0,56.21
2014-12-31,12263.14,312.63,12575.77,7887.46,655.42,283.19,375.02,627.84,1782.09,964.75,128.95,1093.7,30.02,1063.68,1063.68,261.52,802.16,802.16,151.04,0.0,26.55,26.55,13.23,43.79,16.98,100.0,56.21
2015-03-31,13272.55,352.29,13624.84,8642.12,684.2,-103.57,508.2,660.0,1729.6,1504.29,319.9,1824.19,102.66,1721.53,1721.53,437.29,1284.24,1284.24,151.04,500.0,42.51,42.51,13.23,43.79,16.98,100.0,56.21
2015-06-30,13078.3,298.6,13376.9,8151.0,714.3,148.7,467.7,671.6,1727.9,1495.7,206.5,1702.2,19.0,1683.2,1683.2,475.1,1208.1,1208.1,151.0,0.0,39.99,39.99,13.23,43.79,16.98,100.0,56.21
2015-09-30,15438.5,261.2,15699.7,9260.1,834.3,-822.7,411.2,669.4,3771.4,1576.0,473.6,2049.6,17.8,2031.8,2031.8,534.8,1497.0,1497.0,151.0,0.0,49.56,49.56,0.0,0.0,0.0,0.0,0.0
2015-12-31,14784.4,228.8,15013.2,8614.3,792.0,886.9,502.1,722.1,2072.7,1423.1,242.5,1665.6,24.4,1641.2,1641.2,458.2,1183.0,1183.0,151.0,0.0,39.16,39.16,0.0,0.0,0.0,0.0,0.0
2016-03-31,14964.7,279.1,15243.8,9408.7,866.1,-206.1,597.8,759.9,2248.0,1569.4,538.4,2107.8,20.3,2087.5,2087.5,611.3,1476.2,1476.2,151.0,0.0,48.87,48.87,0.0,0.0,0.0,0.0,0.0
2016-06-30,14654.5,272.8,14927.3,9042.0,880.3,203.1,579.0,638.9,2007.2,1576.8,483.3,2060.1,18.1,2042.0,2042.0,555.8,1486.2,1486.2,151.0,0.0,49.2,49.2,0.0,0.0,0.0,0.0,0.0
2016-09-30,17594.6,248.2,17842.8,10951.9,931.5,190.7,519.1,630.0,2212.2,2407.4,812.6,3220.0,19.7,3200.3,3200.3,802.3,2398.0,2398.0,151.0,0.0,79.38,79.38,0.0,0.0,0.0,0.0,0.0
2016-12-31,16623.6,241.2,16864.8,10926.6,991.7,-244.5,616.9,634.9,2085.1,1854.1,591.9,2446.0,29.0,2417.0,2417.0,672.5,1744.5,1744.5,151.0,0.0,57.75,57.75,0.0,0.0,0.0,0.0,0.0
2017-03-31,18005.2,328.2,18333.4,11617.7,1678.6,-529.4,616.0,701.0,2389.8,1859.7,444.9,2304.6,22.6,2282.0,2282.0,573.0,1709.0,1709.0,151.0,0.0,56.57,56.57,0.0,0.0,0.0,0.0,0.0
2017-06-30,17132.4,413.3,17545.7,10498.3,2146.5,-356.4,652.1,683.9,2274.0,1647.3,682.7,2330.0,31.3,2298.7,2298.7,742.3,1556.4,1556.4,151.0,0.0,51.52,51.52,0.0,0.0,0.0,0.0,0.0
2017-09-30,21438.1,330.1,21768.2,11863.8,2327.1,787.1,666.6,682.5,2446.1,2995.0,522.9,3517.9,15.0,3502.9,3502.9,1018.6,2484.3,2484.3,151.0,0.0,82.24,82.24,0.0,0.0,0.0,0.0,0.0
2017-12-31,18940.0,343.2,19283.2,10649.4,2436.4,246.5,686.9,689.0,2226.2,2348.8,244.9,2593.7,26.3,2567.4,2567.4,768.4,1799.0,1799.0,151.0,0.0,59.56,59.56,0.0,0.0,0.0,0.0,0.0
2018-03-31,20594.3,571.3,21165.6,11929.8,3083.0,-636.5,828.2,702.5,2946.1,2312.5,595.0,2907.5,273.1,2634.4,2634.4,752.3,1882.1,1882.1,151.0,0.0,62.3,62.3,0.0,0.0,0.0,0.0,0.0
2018-06-30,21810.7,648.7,22459.4,12003.3,3438.3,60.4,765.2,719.8,2841.1,2631.3,271.8,2903.1,20.7,2882.4,2882.4,907.1,1975.3,1975.3,151.0,0.0,65.39,65.39,0.0,0.0,0.0,0.0,0.0
2018-09-30,21551.9,881.3,22433.2,12544.5,3520.9,-780.5,791.7,721.2,2925.3,2710.1,526.6,3236.7,25.7,3211.0,3211.0,970.6,2240.4,2240.4,151.0,0.0,74.17,74.17,0.0,0.0,0.0,0.0,0.0
2018-12-31,18926.4,741.9,19668.3,10802.4,3212.6,28.7,881.1,767.7,2812.4,1163.4,917.3,2080.7,20.6,2060.1,2060.1,570.8,1489.3,1489.3,151.0,0.0,49.3,49.3,0.0,0.0,0.0,0.0,0.0
2019-03-31,20737.5,721.9,21459.4,9673.7,4847.7,902.2,816.9,810.2,2955.5,1453.2,867.7,2320.9,8.8,2312.1,2312.1,516.5,1795.6,1795.6,151.0,0.0,59.44,59.44,0.0,0.0,0.0,0.0,0.0
