headline,link,date_str,parsed_date_iso,sentiment_score
Why is Max Financial CLSA’s top pick in Life Insurance sector? 4 reasons are…,https://www.financialexpress.com/market/why-is-max-financial-clsas-top-pick-in-life-insurance-sector-4-reasons-are-3776801/,2025-03-13T15:56:04+05:30,2025-03-13T10:26:04,0.2023
Four reasons Jefferies sees big buying opportunity in hospitals; top 4 picks are…,https://www.financialexpress.com/market/four-reasons-jefferies-sees-big-buying-opportunity-in-hospitals-top-4-picks-are-3761005/,2025-02-26T14:36:28+05:30,2025-02-26T09:06:28,0.5574
Max Healthcare Q4 Results: Consolidated profit rises by 26.82% to Rs 319 crore; bed occupancy at 75%,https://www.financialexpress.com/business/industry-max-healthcare-q4-results-consolidated-profit-rises-by-26-82-to-rs-319-crore-bed-occupancy-at-75-3851160/,2025-05-20T16:38:33+05:30,2025-05-20T11:08:33,0.4404
Prioritize crafting state-level digital health visions aligned with local priorities: ISB’s Prof. Sarang Deo,https://www.financialexpress.com/business/healthcare-prioritize-crafting-state-level-digital-health-visions-aligned-with-local-priorities-mihms-prof-sarang-deo-3836008/,2025-05-07T15:20:22+05:30,2025-05-07T09:50:22,0.2263
Dahiya’s Disruption 2.0: The PB Fintech promoter is foraying into hospitals,https://www.financialexpress.com/business/industry/dahiyas-disruption-2-0-the-pb-fintech-promoter-is-foraying-into-hospitals/3786154/,2025-03-24T05:15:13+05:30,2025-03-23T23:45:13,-0.3612
Healthcare ripe for disruption,https://www.financialexpress.com/opinion/healthcare-ripe-for-disruption/3786142/,2025-03-24T05:13:31+05:30,2025-03-23T23:43:31,-0.3612
"Max Healthcare posts Q2FY25 profit growth of 1.9% at Rs 281.81 crore, revenue up 25.3% YoY",https://www.financialexpress.com/business/industry-max-healthcare-posts-q2fy25-profit-growth-of-1-9-at-rs-28181-crore-revenue-up-253-yoy-3657660/,2024-11-06T10:05:56+05:30,2024-11-06T04:35:56,0.6705
Max Healthcare collaborates with Lakshdeep Group to acquire controlling stake in Jaypee Healthcare Ltd,https://www.financialexpress.com/business/healthcare-max-healthcare-collaborates-with-lakshdeep-group-to-acquire-controlling-stake-in-jaypee-healthcare-ltd-3610423/,2024-09-13T16:22:46+05:30,2024-09-13T10:52:46,0.0
"Max Healthcare Q1 Results: Profit declines to Rs 236.27 crore YoY, announces plan to invest Rs 230 cr in 250-bed hospital in Mohali",https://www.financialexpress.com/business/industry-max-healthcare-q1-results-profit-declines-to-rs-236-27-crore-yoy-announces-plan-to-invest-rs-230-cr-in-250-bed-hospital-in-mohali-3571833/,2024-08-02T11:24:00+05:30,2024-08-02T05:54:00,0.4404
"Max Healthcare Q4 Results: Profit at Rs 251.54 crore, revenue up 17.2% YoY; Rs 1.5 divided announced",https://www.financialexpress.com/business/industry-max-healthcare-q4-results-profit-at-rs-251-54-crore-revenue-up-172-yoy-rs-15-divided-announced-3498544/,2024-05-23T11:24:33+05:30,2024-05-23T05:54:33,0.4404
"Max Healthcare Institute to invest Rs 5,000 crore on doubling bed capacity in 5 years",https://www.financialexpress.com/business/healthcare-max-healthcare-institute-to-invest-rs-5000-crore-on-doubling-bed-capacity-in-5-years-3458490/,2024-04-16T14:48:59+05:30,2024-04-16T09:18:59,0.0
