Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15
Net Sales/Income from operations,1864.85,1757.58,1711.62,1589.63,1567.05,1568.76,1570.93,1537.79,1610.48,1671.39,1562.66,1454.75,1086.77,1027.8,830.14,615.49,717.66,666.4,506.73,261.75,752.67,744.5,783.58,757.49,722.54,752.68,696.51,619.34,586.98,581.41,533.76,530.86,525.33,500.85,518.05,480.0,506.7,511.96,536.57,510.96
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.46,2.84,3.44,3.55,3.05,2.67,2.84
Total Income From Operations,1864.85,1757.58,1711.62,1589.63,1567.05,1568.76,1570.93,1537.79,1610.48,1671.39,1562.66,1454.75,1086.77,1027.8,830.14,615.49,717.66,666.4,506.73,261.75,752.67,744.5,783.58,757.49,722.54,752.68,696.51,619.34,586.98,581.41,533.76,530.86,525.33,504.31,520.89,483.44,510.25,515.01,539.24,513.8
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1213.08,1205.19,1080.01,959.76,951.7,923.06,899.28,843.86,1042.51,1240.96,1147.64,1004.53,707.04,765.52,382.18,191.04,256.96,214.4,177.13,98.72,298.51,354.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1229.62,--,--
Increase/Decrease in Stocks,0.2,-0.35,0.08,-0.05,-0.02,-0.02,-0.09,0.3,0.25,-0.31,-0.11,-0.62,0.27,-0.35,-0.27,-0.02,0.04,0.02,-0.07,0.11,0.02,0.08,-0.04,-0.01,0.05,-0.08,0.02,-0.1,-0.01,-0.03,-0.02,0.01,0.01,0.01,-0.02,0.04,0.04,0.02,0.02,-0.01
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,33.02,33.42,41.6,29.74,29.4,29.11,31.07,28.55,32.35,21.86,31.94,21.74,18.76,21.98,22.54,20.03,18.17,19.91,24.81,24.64,17.93,19.18,19.12,24.41,18.53,17.45,18.01,16.88,16.11,16.78,16.68,17.46,16.04,14.34,15.03,14.61,15.73,12.52,15.61,12.44
Depreciation,81.82,79.11,73.48,71.85,77.52,68.29,65.79,62.04,63.83,58.53,55.1,53.68,55.51,48.21,47.28,45.27,44.84,44.12,42.46,42.26,43.99,41.45,39.1,37.19,32.87,32.76,30.79,29.51,33.94,26.77,25.85,24.63,25.68,24.73,23.11,21.61,21.04,20.72,20.89,19.96
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
