Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,6943.84,6883.17,6760.37,7077.84,6215.05,6047.79,6087.56,6323.28,5725.39,5534.92,5719.0,5598.92,5200.29,4829.85,4831.65,4127.72,4737.68,4566.75,4186.35,2430.57,3625.18,4008.89,3947.57,4409.5,4073.45,4033.76,3928.16,3855.55,3865.38,3798.82,3591.11,3566.61,3338.44,3152.42,3226.03,3462.94,3386.48,3180.78,3250.61,3454.27,3310.61,3351.68,3359.91,3335.3,3297.4,3197.12,3145.7,3048.85,2904.77,3023.47
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23.48,23.46,19.03,--,19.43,22.75,22.9,1.42,1.33,1.21,1.68,1.51,3.45,1.75,2.61,1.53,2.28
Total Income From Operations,6943.84,6883.17,6760.37,7077.84,6215.05,6047.79,6087.56,6323.28,5725.39,5534.92,5719.0,5598.92,5200.29,4829.85,4831.65,4127.72,4737.68,4566.75,4186.35,2430.57,3625.18,4008.89,3947.57,4409.5,4073.45,4033.76,3928.16,3855.55,3865.38,3798.82,3591.11,3566.61,3338.44,3175.9,3249.49,3481.97,3386.48,3200.21,3273.36,3477.17,3312.03,3353.01,3361.12,3336.98,3298.91,3200.57,3147.45,3051.46,2906.3,3025.75
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,4679.74,4634.06,4715.77,4319.4,3871.45,3742.99,3715.28,3722.03,3619.85,3750.76,4112.98,4043.31,3244.28,2989.14,3804.67,3216.36,2874.71,2624.38,2249.08,1105.46,2137.89,2312.82,2407.83,2603.19,2588.21,2712.49,2600.12,2319.58,2212.86,2195.77,2198.02,2340.28,2119.94,1919.26,1914.53,1725.45,1727.79,1813.51,1879.44,1818.67,1892.1,2031.4,2057.0,1990.04,2165.64,2086.22,2046.35,1912.49,1823.47,2018.52
Purchase of Traded Goods,6.97,6.73,6.73,7.67,5.81,5.82,5.49,4.1,8.81,2.38,11.43,12.61,6.26,4.68,0.94,5.13,7.17,4.86,2.85,0.9,6.67,4.25,5.59,5.79,2.8,5.99,10.09,10.98,9.3,7.39,4.82,23.38,10.15,13.15,9.09,9.99,8.47,4.84,7.29,3.78,9.44,5.06,7.27,7.26,6.55,40.14,57.77,54.16,7.82,5.38
Increase/Decrease in Stocks,-247.61,-37.35,-430.15,114.01,-80.93,-128.39,-114.81,141.72,-22.7,3.28,-102.08,-218.13,278.12,223.91,-688.35,-658.6,32.03,-106.27,81.5,352.1,-72.14,76.19,-66.44,87.27,-109.33,-244.84,-243.06,-11.37,65.0,15.98,-48.69,43.75,-132.6,-120.83,-128.86,160.21,135.17,-70.58,-102.62,118.84,-0.05,-95.71,-65.2,129.88,-5.06,-40.44,-92.71,16.41,49.8,-0.23
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,458.85,455.34,463.67,443.99,466.78,436.89,431.44,413.03,400.95,401.48,391.35,365.09,367.0,372.46,378.05,354.43,352.08,392.94,333.1,309.75,344.09,337.95,329.99,308.48,286.37,297.92,288.1,271.89,271.92,276.75,269.51,256.47,252.78,250.67,254.86,224.84,222.08,222.66,208.5,211.93,199.03,202.23,180.33,191.24,185.81,175.31,180.42,152.7,135.95,134.42
Depreciation,430.97,414.27,407.9,394.26,384.19,359.12,349.96,331.73,328.46,314.91,308.31,296.92,310.25,294.59,295.83,300.74,296.97,283.07,283.93,272.95,266.45,248.97,237.2,228.0,214.56,205.2,199.77,186.74,186.71,177.82,173.96,166.85,162.19,154.13,150.7,142.12,139.91,127.43,124.58,117.43,109.42,116.0,111.03,106.31,106.41,99.34,96.72,93.42,93.6,89.19
